cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
839602fffffffff,23.0,2.0,0.0,0.0
839603fffffffff,3.0,0.0,0.0,0.0
839609fffffffff,13.0,2.0,0.0,0.0
83960bfffffffff,12.0,0.0,0.0,0.0
839614fffffffff,11.0,0.0,0.0,0.0
839615fffffffff,3.0,0.0,0.0,0.0
839618fffffffff,1.0,0.0,0.0,0.0
83961cfffffffff,2.0,0.0,0.0,0.0
839620fffffffff,42.0,13.0,0.0,0.0
839621fffffffff,25.0,4.0,0.0,0.0
839622fffffffff,8.0,1.0,0.0,0.0
839623fffffffff,31.0,0.0,0.0,0.0
839625fffffffff,2.0,0.0,0.0,0.0
839626fffffffff,6.0,0.0,0.0,0.0
839628fffffffff,21.0,3.0,0.0,0.0
839629fffffffff,4.0,0.0,0.0,0.0
83962bfffffffff,30.0,0.0,0.0,0.0
83962cfffffffff,42.0,18.0,0.0,0.0
83962dfffffffff,11.0,5.0,0.0,0.0
83962efffffffff,9.0,0.0,0.0,0.0
839633fffffffff,53.0,12.0,0.0,0.0
839635fffffffff,1.0,0.0,0.0,0.0
839636fffffffff,8.0,0.0,0.0,0.0
839656fffffffff,3.0,1.0,0.0,0.0
839675fffffffff,3.0,0.0,0.0,0.0
839683fffffffff,2.0,0.0,0.0,0.0
839686fffffffff,3.0,0.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0,0.0
839690fffffffff,79.0,4.0,0.0,0.0
839692fffffffff,100.0,13.0,0.0,0.0
839693fffffffff,121.0,14.0,0.0,0.0
839694fffffffff,2.0,0.0,0.0,0.0
839696fffffffff,1.0,0.0,0.0,0.0
83969afffffffff,67.0,7.0,0.0,0.0
83969bfffffffff,1.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0
8396a1fffffffff,6.0,0.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0,0.0
8396b1fffffffff,31.0,4.0,0.0,0.0
8396b4fffffffff,29.0,2.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0,0.0
8396b6fffffffff,64.0,6.0,0.0,0.0
8396e4fffffffff,2.0,0.0,0.0,0.0
839700fffffffff,3.0,0.0,0.0,0.0
839702fffffffff,3.0,0.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0,0.0
839705fffffffff,1.0,0.0,0.0,0.0
839706fffffffff,2.0,0.0,0.0,0.0
839708fffffffff,2.0,0.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0,0.0
839710fffffffff,2.0,0.0,0.0,0.0
839711fffffffff,51.0,6.0,0.0,0.0
839713fffffffff,11.0,1.0,0.0,0.0
839715fffffffff,49.0,0.0,0.0,0.0
839719fffffffff,4.0,0.0,0.0,0.0
83971bfffffffff,3.0,0.0,0.0,0.0
83971cfffffffff,7.0,0.0,0.0,0.0
839723fffffffff,2.0,0.0,0.0,0.0
839724fffffffff,3.0,0.0,0.0,0.0
839728fffffffff,4.0,0.0,0.0,0.0
839729fffffffff,3.0,0.0,0.0,0.0
83972cfffffffff,32.0,5.0,0.0,0.0
83972dfffffffff,6.0,0.0,0.0,0.0
83972efffffffff,76.0,15.0,0.0,0.0
839735fffffffff,6.0,0.0,0.0,0.0
839740fffffffff,3.0,0.0,0.0,0.0
839741fffffffff,61.0,5.0,0.0,0.0
839743fffffffff,83.0,11.0,0.0,0.0
83974afffffffff,357.0,76.0,0.0,0.0
83974bfffffffff,52.0,19.0,0.0,0.0
83974efffffffff,167.0,38.0,0.0,0.0
839750fffffffff,2.0,0.0,0.0,0.0
839751fffffffff,339.0,28.0,0.0,0.0
839758fffffffff,1.0,1.0,0.0,0.0
83975bfffffffff,6.0,0.0,0.0,0.0
83975cfffffffff,140.0,8.0,0.0,0.0
83975dfffffffff,27.0,3.0,0.0,0.0
83975efffffffff,8.0,3.0,0.0,0.0
839771fffffffff,2.0,2.0,0.0,0.0
839772fffffffff,7.0,0.0,0.0,0.0
839788fffffffff,4.0,0.0,0.0,0.0
839789fffffffff,1.0,0.0,0.0,0.0
83978cfffffffff,1.0,0.0,0.0,0.0
839791fffffffff,3.0,0.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0,0.0
8397a8fffffffff,1.0,0.0,0.0,0.0
8397aafffffffff,58.0,18.0,0.0,0.0
8397abfffffffff,1.0,0.0,0.0,0.0
8397acfffffffff,3.0,0.0,0.0,0.0
8397adfffffffff,4.0,0.0,0.0,0.0
83ac8afffffffff,16.0,8.0,0.0,0.0
83ac8efffffffff,3.0,1.0,0.0,0.0
83ac96fffffffff,34.0,3.0,0.0,0.0
83ac9dfffffffff,4.0,0.0,0.0,0.0
83ad12fffffffff,3.0,0.0,0.0,0.0
83ad32fffffffff,19.0,0.0,0.0,0.0
83ad36fffffffff,289.0,61.0,0.0,0.0
83ada2fffffffff,8.0,0.0,0.0,0.0
83ada3fffffffff,4.0,0.0,0.0,0.0
83adaafffffffff,2.0,0.0,0.0,0.0
83adaefffffffff,6.0,0.0,0.0,0.0
83adb5fffffffff,3.0,0.0,0.0,0.0
83bc09fffffffff,8.0,2.0,0.0,0.0
83bc0bfffffffff,5.0,0.0,0.0,0.0
83bc19fffffffff,4.0,0.0,0.0,0.0
83bc1bfffffffff,30.0,4.0,0.0,0.0
83bc41fffffffff,2.0,0.0,0.0,0.0
83bc42fffffffff,2.0,2.0,0.0,0.0
83bc43fffffffff,7.0,0.0,0.0,0.0
