cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
8365a2fffffffff,13.0,13.0,0.0
8365a3fffffffff,11.0,11.0,0.0
8365aafffffffff,3.0,2.0,0.0
8365b0fffffffff,520.0,520.0,0.0
8365b1fffffffff,1.0,1.0,0.0
8365b2fffffffff,151.0,151.0,0.0
8365b3fffffffff,255.0,255.0,0.0
8365b4fffffffff,5.0,5.0,0.0
8365b5fffffffff,194.0,194.0,0.0
8365b6fffffffff,121.0,121.0,0.0
836802fffffffff,17.0,2.0,9.0
836810fffffffff,24.0,4.0,19.0
836811fffffffff,34.0,18.0,11.0
836812fffffffff,4.0,0.0,4.0
836815fffffffff,116.0,65.0,28.0
836818fffffffff,305.0,10.0,248.0
83681afffffffff,7.0,0.0,0.0
83681bfffffffff,6.0,6.0,0.0
83681cfffffffff,167.0,32.0,83.0
83681dfffffffff,9.0,0.0,3.0
836828fffffffff,92.0,92.0,0.0
83682dfffffffff,4.0,4.0,0.0
83682efffffffff,2.0,2.0,0.0
836846fffffffff,1.0,1.0,0.0
836876fffffffff,2.0,2.0,0.0
836888fffffffff,2.0,0.0,2.0
83688afffffffff,8.0,0.0,8.0
836896fffffffff,26.0,0.0,26.0
83689afffffffff,1.0,0.0,1.0
8368a5fffffffff,1.0,0.0,1.0
8368acfffffffff,2.0,0.0,0.0
8368cefffffffff,1.0,0.0,1.0
8368f6fffffffff,6.0,0.0,6.0
836930fffffffff,2.0,2.0,0.0
836934fffffffff,9.0,9.0,0.0
836936fffffffff,6.0,6.0,0.0
83699afffffffff,5.0,5.0,0.0
83699bfffffffff,1.0,0.0,1.0
838c10fffffffff,164.0,0.0,164.0
838c12fffffffff,14.0,0.0,14.0
838c13fffffffff,29.0,0.0,29.0
838c14fffffffff,1.0,0.0,1.0
838c88fffffffff,2.0,0.0,2.0
838c8bfffffffff,2.0,0.0,2.0
838c96fffffffff,6.0,0.0,6.0
838cadfffffffff,24.0,0.0,24.0
838cb2fffffffff,2.0,0.0,2.0
838cb3fffffffff,1.0,0.0,1.0
838cc2fffffffff,12.0,0.0,12.0
838cd0fffffffff,1.0,0.0,1.0
838cd2fffffffff,22.0,0.0,22.0
838cd3fffffffff,5.0,0.0,5.0
838cd5fffffffff,19.0,0.0,19.0
838cdcfffffffff,4.0,0.0,4.0
838cf5fffffffff,3.0,0.0,3.0
838d80fffffffff,1.0,0.0,1.0
838d84fffffffff,3.0,0.0,3.0
838d8cfffffffff,18.0,0.0,18.0
838d8dfffffffff,2.0,0.0,2.0
838d92fffffffff,2.0,0.0,2.0
838d9afffffffff,22.0,0.0,22.0
838da2fffffffff,51.0,0.0,51.0
838da6fffffffff,28.0,0.0,28.0
838db0fffffffff,3.0,0.0,3.0
838db1fffffffff,2.0,0.0,2.0
838db4fffffffff,6.0,0.0,6.0
838db5fffffffff,333.0,0.0,333.0
839404fffffffff,21.0,0.0,21.0
839420fffffffff,1.0,0.0,1.0
839421fffffffff,9.0,0.0,9.0
839423fffffffff,7.0,0.0,7.0
839426fffffffff,1.0,0.0,1.0
83942cfffffffff,3.0,0.0,3.0
83942dfffffffff,9.0,0.0,9.0
83942efffffffff,2.0,0.0,2.0
839431fffffffff,5.0,0.0,5.0
839466fffffffff,7.0,0.0,7.0
839500fffffffff,4.0,0.0,4.0
83950afffffffff,3.0,0.0,2.0
839512fffffffff,3.0,0.0,3.0
839513fffffffff,4.0,0.0,4.0
839518fffffffff,42.0,0.0,42.0
83951afffffffff,58.0,0.0,58.0
83951dfffffffff,3.0,0.0,3.0
83951efffffffff,94.0,0.0,94.0
839553fffffffff,12.0,0.0,12.0
839558fffffffff,2.0,0.0,2.0
83955afffffffff,2.0,0.0,2.0
8395a4fffffffff,238.0,0.0,238.0
8395a5fffffffff,44.0,0.0,44.0
8395a9fffffffff,25.0,0.0,25.0
8395adfffffffff,5.0,0.0,5.0
