cell_id,Melanochlora sultanea,Melanochlora sultanea [sultanea Group],Melanochlora sultanea gayeti
8464343ffffffff,11.0,5.0,0.0
8464359ffffffff,4.0,0.0,0.0
8464821ffffffff,3.0,3.0,0.0
8464825ffffffff,41.0,7.0,0.0
846482bffffffff,2.0,0.0,0.0
846485dffffffff,1.0,0.0,0.0
84648a5ffffffff,2.0,0.0,0.0
84648ebffffffff,4.0,0.0,0.0
846490dffffffff,2.0,0.0,0.0
8464911ffffffff,7.0,2.0,0.0
8464953ffffffff,1.0,0.0,0.0
84649cdffffffff,4.0,4.0,0.0
84649e3ffffffff,2.0,0.0,0.0
8464a03ffffffff,6.0,0.0,0.0
8464a11ffffffff,3.0,2.0,0.0
8464a15ffffffff,16.0,0.0,0.0
8464a35ffffffff,2.0,0.0,0.0
8464a3dffffffff,7.0,0.0,0.0
8464a5bffffffff,1.0,0.0,0.0
8464b03ffffffff,2.0,0.0,0.0
8464b0bffffffff,2.0,0.0,0.0
8464b25ffffffff,5.0,0.0,0.0
8464b55ffffffff,31.0,0.0,0.0
8464b5dffffffff,17.0,3.0,0.0
8465005ffffffff,24.0,2.0,0.0
846500bffffffff,368.0,30.0,0.0
8465029ffffffff,4.0,0.0,0.0
846502bffffffff,4.0,1.0,0.0
846502dffffffff,1.0,0.0,0.0
8465031ffffffff,2.0,0.0,0.0
8465033ffffffff,12.0,0.0,0.0
8465039ffffffff,3.0,0.0,0.0
8465051ffffffff,3.0,0.0,0.0
8465055ffffffff,87.0,4.0,0.0
8465057ffffffff,1.0,0.0,0.0
846505dffffffff,13.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0
8465183ffffffff,3.0,0.0,0.0
8465189ffffffff,1.0,0.0,0.0
84651c3ffffffff,1.0,0.0,0.0
84651cbffffffff,2.0,0.0,0.0
84651cdffffffff,76.0,31.0,0.0
8465897ffffffff,4.0,0.0,0.0
846589bffffffff,2.0,0.0,0.0
8465993ffffffff,232.0,54.0,0.0
846599bffffffff,3.0,0.0,0.0
8469341ffffffff,4.0,0.0,1.0
8469345ffffffff,78.0,0.0,25.0
8469347ffffffff,2.0,0.0,2.0
