cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
834993fffffffff,8.0,4.0,0.0
834994fffffffff,3.0,0.0,0.0
834995fffffffff,344.0,42.0,0.0
834996fffffffff,1149.0,161.0,0.0
834998fffffffff,538.0,21.0,0.0
83499afffffffff,6.0,0.0,0.0
83499bfffffffff,79.0,2.0,0.0
83499cfffffffff,101.0,0.0,0.0
83499dfffffffff,39.0,0.0,0.0
83499efffffffff,435.0,0.0,0.0
8349a8fffffffff,156.0,0.0,0.0
8349a9fffffffff,591.0,14.0,0.0
8349aafffffffff,26.0,2.0,0.0
8349b1fffffffff,29.0,0.0,0.0
8349b5fffffffff,40.0,0.0,0.0
8349b6fffffffff,11.0,0.0,0.0
835f48fffffffff,19.0,0.0,4.0
835f49fffffffff,4.0,0.0,0.0
835f4afffffffff,57.0,0.0,2.0
835f4bfffffffff,80.0,0.0,12.0
836601fffffffff,309.0,0.0,60.0
836608fffffffff,830.0,0.0,57.0
83660afffffffff,5.0,0.0,0.0
83660bfffffffff,511.0,0.0,7.0
83660cfffffffff,192.0,0.0,11.0
83660dfffffffff,70.0,0.0,0.0
836618fffffffff,827.0,0.0,42.0
836619fffffffff,1915.0,0.0,29.0
83661bfffffffff,2941.0,0.0,231.0
83661dfffffffff,801.0,0.0,68.0
836621fffffffff,730.0,0.0,192.0
836629fffffffff,430.0,0.0,44.0
83662afffffffff,11.0,0.0,0.0
83662bfffffffff,72.0,0.0,5.0
83662dfffffffff,40.0,0.0,0.0
83662efffffffff,36.0,0.0,0.0
836656fffffffff,3.0,0.0,0.0
8366c0fffffffff,79.0,0.0,2.0
8366c2fffffffff,14.0,0.0,0.0
8366c4fffffffff,376.0,0.0,0.0
8366c6fffffffff,2509.0,0.0,99.0
8366d0fffffffff,2.0,0.0,0.0
8366d1fffffffff,30.0,0.0,8.0
8366d5fffffffff,241.0,0.0,8.0
8366dafffffffff,111.0,0.0,25.0
8366defffffffff,6047.0,0.0,2859.0
8366e0fffffffff,670.0,0.0,69.0
8366e2fffffffff,150.0,0.0,0.0
8366e3fffffffff,26.0,0.0,0.0
8366e4fffffffff,269.0,0.0,22.0
8366e5fffffffff,880.0,0.0,50.0
8366e6fffffffff,4205.0,0.0,347.0
8366f0fffffffff,4.0,0.0,0.0
8366f1fffffffff,1743.0,0.0,95.0
8366f3fffffffff,5.0,0.0,0.0
8366f5fffffffff,662.0,0.0,4.0
836741fffffffff,1501.0,0.0,84.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,254.0,0.0,24.0
83674cfffffffff,858.0,0.0,36.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,378.0,0.0,14.0
836751fffffffff,6.0,0.0,0.0
836753fffffffff,8.0,0.0,0.0
836758fffffffff,4.0,0.0,0.0
83675afffffffff,102.0,0.0,5.0
83675cfffffffff,61.0,0.0,2.0
83675efffffffff,91.0,0.0,0.0
83676bfffffffff,1.0,0.0,0.0
836d04fffffffff,111.0,0.0,0.0
836d05fffffffff,588.0,200.0,0.0
836d14fffffffff,2.0,0.0,0.0
836d20fffffffff,19.0,0.0,0.0
836d21fffffffff,174.0,46.0,0.0
836d22fffffffff,37.0,0.0,0.0
836d23fffffffff,1165.0,205.0,0.0
836d24fffffffff,2.0,0.0,0.0
836d25fffffffff,17.0,4.0,0.0
836d2afffffffff,39.0,4.0,0.0
836d2cfffffffff,125.0,30.0,0.0
836d2dfffffffff,193.0,68.0,0.0
836d2efffffffff,73.0,4.0,0.0
836d30fffffffff,186.0,5.0,0.0
836d31fffffffff,88.0,2.0,0.0
836d33fffffffff,242.0,30.0,0.0
836d34fffffffff,28.0,0.0,0.0
836d35fffffffff,150.0,7.0,0.0
836d36fffffffff,36.0,0.0,0.0
838b21fffffffff,10.0,0.0,2.0
838b2cfffffffff,74.0,0.0,4.0
838b2dfffffffff,3.0,0.0,0.0
838b61fffffffff,371.0,0.0,137.0
838b6cfffffffff,421.0,0.0,100.0
838b75fffffffff,36.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e61fffffffff,7.0,0.0,1.0
838e64fffffffff,368.0,0.0,69.0
838e65fffffffff,78.0,0.0,23.0
838e6cfffffffff,10.0,0.0,4.0
838f29fffffffff,4.0,0.0,0.0
838f2dfffffffff,119.0,0.0,60.0
838f40fffffffff,175.0,0.0,45.0
838f42fffffffff,95.0,0.0,40.0
838f43fffffffff,3.0,0.0,3.0
838f46fffffffff,530.0,0.0,173.0
838f48fffffffff,4.0,0.0,0.0
838f4afffffffff,78.0,0.0,5.0
838f50fffffffff,6.0,0.0,0.0
838f51fffffffff,3.0,0.0,0.0
838f54fffffffff,288.0,0.0,66.0
838f55fffffffff,776.0,0.0,254.0
838f59fffffffff,1.0,0.0,1.0
838f5cfffffffff,12.0,0.0,0.0
838f5dfffffffff,59.0,0.0,1.0
838f70fffffffff,122.0,0.0,45.0
838f72fffffffff,1065.0,0.0,541.0
838f73fffffffff,220.0,0.0,83.0
838f74fffffffff,71.0,0.0,17.0
838f76fffffffff,187.0,0.0,20.0
83b324fffffffff,3.0,0.0,0.0
83b325fffffffff,23.0,0.0,8.0
