cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
841f91bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841f981ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
841fa35ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841fa37ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841faa7ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
841faadffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841fac5ffffffff,5.0,5.0,0.0,0.0,0.0,0.0
841fb01ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
841fb07ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841fb47ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842c043ffffffff,33.0,0.0,4.0,0.0,0.0,0.0
842c203ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842c2a1ffffffff,3.0,0.0,1.0,0.0,0.0,0.0
842c4cdffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842c56dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842c5cdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842c833ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842c903ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
842c933ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842c93bffffffff,9.0,0.0,2.0,0.0,0.0,0.0
842cc6bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842ce41ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
842ce4bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842cf35ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
842d03bffffffff,1.0,1.0,0.0,0.0,0.0,0.0
842d0e5ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
842d107ffffffff,3.0,0.0,3.0,0.0,0.0,0.0
842d14bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842d32bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
842d32dffffffff,2.0,0.0,2.0,0.0,0.0,0.0
842d331ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842da81ffffffff,9.0,0.0,4.0,0.0,0.0,0.0
842db01ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
842db05ffffffff,6.0,0.0,1.0,0.0,0.0,0.0
