cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
8466d01ffffffff,2.0,0.0,0.0
8466d03ffffffff,34.0,0.0,0.0
8466d07ffffffff,2.0,0.0,0.0
8466d0bffffffff,2163.0,0.0,175.0
8466d19ffffffff,7.0,0.0,1.0
8466d1bffffffff,328.0,0.0,4.0
8466d23ffffffff,2.0,0.0,0.0
8466d27ffffffff,3.0,0.0,0.0
8466d31ffffffff,3006.0,0.0,398.0
8466d35ffffffff,1398.0,0.0,209.0
8466d37ffffffff,106.0,0.0,9.0
8466d39ffffffff,4.0,0.0,0.0
8466d3dffffffff,67.0,0.0,26.0
8466d55ffffffff,6.0,0.0,0.0
8466da1ffffffff,6.0,0.0,0.0
8466da7ffffffff,16.0,0.0,0.0
8466dadffffffff,190.0,0.0,45.0
8466de1ffffffff,1092.0,0.0,142.0
8466de3ffffffff,1.0,0.0,0.0
8466de7ffffffff,3.0,0.0,0.0
8466de9ffffffff,38.0,0.0,1.0
8466debffffffff,55.0,0.0,10.0
8466dedffffffff,20.0,0.0,0.0
8466e03ffffffff,10.0,0.0,0.0
8466e0bffffffff,12.0,0.0,0.0
8466e2dffffffff,9.0,0.0,0.0
8466e55ffffffff,29.0,0.0,0.0
8466e57ffffffff,15.0,0.0,0.0
8466e59ffffffff,7.0,0.0,0.0
8466e65ffffffff,19.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e6dffffffff,13.0,0.0,0.0
8466f01ffffffff,2.0,0.0,0.0
8466f03ffffffff,227.0,0.0,7.0
8466f15ffffffff,3.0,0.0,0.0
8466f1dffffffff,687.0,0.0,19.0
8466f3bffffffff,3.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,14.0,0.0,0.0
8466f57ffffffff,168.0,0.0,0.0
8466f59ffffffff,1.0,0.0,0.0
8466f5bffffffff,2.0,0.0,0.0
8466f5dffffffff,1.0,0.0,0.0
848b611ffffffff,2.0,0.0,1.0
848b613ffffffff,1.0,0.0,0.0
848b617ffffffff,1055.0,0.0,25.0
848b639ffffffff,9.0,0.0,0.0
848b63bffffffff,6.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6c1ffffffff,5.0,0.0,0.0
848b6c5ffffffff,3.0,0.0,0.0
848b6cdffffffff,26.0,0.0,0.0
848b75bffffffff,3.0,0.0,0.0
848e641ffffffff,3.0,0.0,0.0
848e643ffffffff,2.0,0.0,0.0
848e649ffffffff,59.0,0.0,0.0
848e64bffffffff,5.0,0.0,0.0
848e651ffffffff,33.0,0.0,0.0
848e655ffffffff,4.0,0.0,0.0
848f0dbffffffff,461.0,0.0,72.0
848f291ffffffff,18.0,0.0,0.0
848f293ffffffff,1.0,0.0,0.0
848f295ffffffff,32.0,0.0,0.0
848f29bffffffff,6.0,0.0,0.0
848f2bbffffffff,61.0,0.0,5.0
848f2c9ffffffff,3.0,0.0,0.0
848f2cbffffffff,9.0,0.0,0.0
848f2cdffffffff,45.0,0.0,0.0
848f2d3ffffffff,15.0,0.0,0.0
848f401ffffffff,6.0,0.0,0.0
848f431ffffffff,1.0,0.0,0.0
848f439ffffffff,44.0,0.0,6.0
848f463ffffffff,8.0,0.0,0.0
848f465ffffffff,36.0,0.0,6.0
848f467ffffffff,6.0,0.0,0.0
848f46dffffffff,1.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f4a5ffffffff,2.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f4e5ffffffff,3.0,0.0,0.0
848f541ffffffff,4.0,0.0,0.0
848f549ffffffff,7.0,0.0,0.0
848f54bffffffff,2.0,0.0,0.0
848f559ffffffff,7.0,0.0,0.0
848f5d9ffffffff,1.0,0.0,0.0
848f5ddffffffff,10.0,0.0,0.0
848f705ffffffff,49.0,0.0,9.0
848f70dffffffff,5.0,0.0,0.0
848f721ffffffff,26.0,0.0,0.0
848f729ffffffff,686.0,0.0,101.0
848f72bffffffff,135.0,0.0,21.0
848f733ffffffff,130.0,0.0,3.0
848f737ffffffff,12.0,0.0,0.0
848f745ffffffff,40.0,0.0,3.0
848f74dffffffff,8.0,0.0,0.0
848f763ffffffff,19.0,0.0,0.0
848f765ffffffff,7.0,0.0,0.0
848f769ffffffff,3.0,0.0,0.0
848f76bffffffff,42.0,0.0,0.0
