cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
8466d39ffffffff,66.0,0.0,0.0,0.0
8466d3dffffffff,49.0,0.0,0.0,0.0
8466d51ffffffff,16.0,0.0,0.0,0.0
8466d53ffffffff,44.0,0.0,0.0,0.0
8466d55ffffffff,4.0,0.0,0.0,0.0
8466d59ffffffff,10.0,0.0,0.0,0.0
8466d5bffffffff,12.0,0.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0,0.0
8466dadffffffff,10.0,0.0,0.0,0.0
8466de1ffffffff,1310.0,0.0,37.0,0.0
8466de9ffffffff,2.0,0.0,0.0,0.0
8466debffffffff,4.0,0.0,1.0,0.0
8466dedffffffff,36.0,0.0,1.0,0.0
8466e01ffffffff,11.0,0.0,0.0,0.0
8466e03ffffffff,8.0,0.0,0.0,0.0
8466e07ffffffff,8.0,0.0,0.0,0.0
8466e09ffffffff,98.0,0.0,0.0,0.0
8466e0bffffffff,294.0,0.0,0.0,0.0
8466e0dffffffff,5.0,0.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0,0.0
8466e27ffffffff,10.0,0.0,0.0,0.0
8466e2dffffffff,102.0,0.0,0.0,0.0
8466e3dffffffff,13.0,0.0,0.0,0.0
8466e41ffffffff,10.0,0.0,0.0,0.0
8466e43ffffffff,73.0,0.0,0.0,0.0
8466e47ffffffff,477.0,0.0,3.0,0.0
8466e4bffffffff,1.0,0.0,0.0,0.0
8466e51ffffffff,23.0,0.0,0.0,0.0
8466e55ffffffff,175.0,0.0,0.0,0.0
8466e59ffffffff,28.0,0.0,0.0,0.0
8466e5dffffffff,18.0,0.0,0.0,0.0
8466e61ffffffff,62.0,0.0,0.0,0.0
8466e63ffffffff,32.0,0.0,0.0,0.0
8466e65ffffffff,2366.0,35.0,0.0,0.0
8466e67ffffffff,109.0,0.0,0.0,0.0
8466e69ffffffff,53.0,0.0,0.0,0.0
8466e6bffffffff,1.0,0.0,0.0,0.0
8466e6dffffffff,1170.0,3.0,0.0,0.0
8466f03ffffffff,98.0,0.0,0.0,0.0
8466f0bffffffff,38.0,0.0,0.0,0.0
8466f11ffffffff,5.0,0.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0,0.0
8466f15ffffffff,293.0,5.0,0.0,0.0
8466f17ffffffff,57.0,0.0,0.0,0.0
8466f19ffffffff,276.0,0.0,0.0,0.0
8466f1bffffffff,3.0,0.0,0.0,0.0
8466f1dffffffff,5040.0,33.0,0.0,0.0
8466f33ffffffff,9.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0
8466f3bffffffff,9.0,0.0,0.0,0.0
8466f51ffffffff,24.0,0.0,0.0,0.0
8466f53ffffffff,334.0,0.0,0.0,0.0
8466f57ffffffff,841.0,0.0,0.0,0.0
8466f59ffffffff,221.0,0.0,0.0,0.0
8466f5bffffffff,440.0,0.0,0.0,0.0
8466f5dffffffff,51.0,0.0,0.0,0.0
8467413ffffffff,24.0,0.0,0.0,0.0
8467417ffffffff,59.0,0.0,0.0,0.0
846743bffffffff,2.0,0.0,0.0,0.0
84674e9ffffffff,45.0,0.0,0.0,0.0
84674edffffffff,72.0,0.0,0.0,0.0
8467519ffffffff,21.0,0.0,0.0,0.0
84675a5ffffffff,43.0,0.0,0.0,0.0
84675adffffffff,97.0,0.0,0.0,0.0
84675c7ffffffff,2.0,0.0,0.0,0.0
84675e7ffffffff,12.0,0.0,0.0,0.0
84675ebffffffff,77.0,0.0,0.0,0.0
848b203ffffffff,21.0,0.0,0.0,0.0
848b205ffffffff,6.0,0.0,0.0,0.0
848b211ffffffff,6.0,0.0,0.0,0.0
848b213ffffffff,5.0,0.0,0.0,0.0
848b215ffffffff,2.0,0.0,0.0,0.0
848b2c1ffffffff,9.0,0.0,0.0,0.0
848b2c5ffffffff,7.0,0.0,0.0,0.0
848b2cdffffffff,22.0,0.0,0.0,0.0
848b2d9ffffffff,1.0,0.0,0.0,0.0
848b2dbffffffff,13.0,0.0,0.0,0.0
848b611ffffffff,7.0,0.0,0.0,0.0
848b613ffffffff,14.0,0.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,1319.0,0.0,0.0,17.0
848b639ffffffff,2.0,0.0,0.0,0.0
848b665ffffffff,10.0,0.0,0.0,0.0
848b6c1ffffffff,18.0,0.0,0.0,0.0
848b6c5ffffffff,16.0,0.0,0.0,0.0
848b6c9ffffffff,14.0,0.0,0.0,0.0
848b6cdffffffff,478.0,0.0,0.0,0.0
848b74bffffffff,1.0,0.0,0.0,0.0
848b759ffffffff,4.0,0.0,0.0,0.0
848b75bffffffff,39.0,0.0,0.0,0.0
848e60bffffffff,2.0,0.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0,0.0
848e641ffffffff,50.0,0.0,0.0,0.0
848e643ffffffff,3.0,0.0,0.0,0.0
848e649ffffffff,138.0,0.0,0.0,0.0
848e64bffffffff,89.0,0.0,0.0,0.0
848e651ffffffff,95.0,0.0,0.0,0.0
848e657ffffffff,2.0,0.0,0.0,0.0
848e6c1ffffffff,13.0,0.0,0.0,0.0
848e6c9ffffffff,18.0,0.0,0.0,0.0
848e6cbffffffff,5.0,0.0,0.0,0.0
848e6cdffffffff,1.0,0.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0,0.0
848f0d3ffffffff,16.0,0.0,0.0,0.0
848f0d9ffffffff,1.0,0.0,0.0,0.0
848f0dbffffffff,365.0,0.0,0.0,0.0
848f291ffffffff,26.0,0.0,0.0,0.0
848f293ffffffff,4.0,0.0,0.0,0.0
848f295ffffffff,24.0,0.0,0.0,0.0
848f29bffffffff,6.0,0.0,0.0,0.0
848f2bbffffffff,60.0,0.0,0.0,0.0
848f2d3ffffffff,16.0,0.0,0.0,0.0
848f2d5ffffffff,3.0,0.0,0.0,0.0
848f421ffffffff,8.0,0.0,0.0,0.0
848f425ffffffff,23.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0
848f42dffffffff,11.0,0.0,0.0,0.0
848f461ffffffff,6.0,0.0,0.0,0.0
848f463ffffffff,2.0,0.0,0.0,0.0
848f465ffffffff,36.0,0.0,0.0,0.0
848f467ffffffff,7.0,0.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0,0.0
848f4a5ffffffff,27.0,0.0,0.0,0.0
848f4a7ffffffff,6.0,0.0,0.0,0.0
848f4e5ffffffff,2.0,0.0,0.0,0.0
848f541ffffffff,12.0,0.0,0.0,0.0
848f549ffffffff,51.0,0.0,0.0,0.0
848f54bffffffff,15.0,0.0,0.0,0.0
848f54dffffffff,4.0,0.0,0.0,0.0
848f553ffffffff,11.0,0.0,0.0,0.0
848f559ffffffff,87.0,0.0,0.0,0.0
848f55bffffffff,6.0,0.0,0.0,0.0
848f55dffffffff,2.0,0.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0,0.0
848f5cbffffffff,6.0,0.0,0.0,0.0
848f5cdffffffff,1.0,0.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0,0.0
848f5ddffffffff,5.0,0.0,0.0,0.0
848f705ffffffff,17.0,0.0,0.0,0.0
848f70dffffffff,2.0,0.0,0.0,0.0
848f721ffffffff,75.0,0.0,0.0,0.0
848f727ffffffff,12.0,0.0,0.0,0.0
848f729ffffffff,46.0,0.0,0.0,0.0
848f72bffffffff,3.0,0.0,0.0,0.0
848f72dffffffff,4.0,0.0,0.0,0.0
848f733ffffffff,781.0,0.0,0.0,0.0
848f745ffffffff,6.0,0.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0,0.0
848f765ffffffff,6.0,0.0,0.0,0.0
848f767ffffffff,2.0,0.0,0.0,0.0
848f769ffffffff,5.0,0.0,0.0,0.0
848f76bffffffff,43.0,0.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0,0.0
84b3241ffffffff,4.0,0.0,0.0,0.0
84b324bffffffff,2.0,0.0,0.0,0.0
84b3253ffffffff,86.0,0.0,0.0,0.0
84b3257ffffffff,12.0,0.0,0.0,0.0
84b325bffffffff,5.0,0.0,0.0,0.0
84b325dffffffff,2.0,0.0,0.0,0.0
