cell_id,Enicurus leschenaulti,Enicurus leschenaulti sinensis/indicus,Enicurus leschenaulti frontalis/chaseni,Enicurus leschenaulti leschenaulti
836518fffffffff,1.0,0.0,1.0,0.0
83651cfffffffff,11.0,0.0,1.0,0.0
836522fffffffff,8.0,0.0,0.0,0.0
836526fffffffff,86.0,0.0,0.0,0.0
83652dfffffffff,1.0,0.0,0.0,0.0
836589fffffffff,2.0,0.0,0.0,0.0
836599fffffffff,76.0,22.0,0.0,0.0
8365b6fffffffff,5.0,0.0,0.0,0.0
836802fffffffff,21.0,0.0,21.0,0.0
836811fffffffff,13.0,0.0,12.0,0.0
836812fffffffff,3.0,0.0,3.0,0.0
836818fffffffff,220.0,4.0,163.0,0.0
836819fffffffff,1.0,0.0,0.0,0.0
83681afffffffff,1.0,0.0,0.0,0.0
83681cfffffffff,46.0,0.0,38.0,0.0
83681efffffffff,13.0,0.0,6.0,0.0
83689afffffffff,2.0,0.0,0.0,0.0
8368abfffffffff,1.0,0.0,1.0,0.0
836934fffffffff,12.0,0.0,0.0,0.0
838c10fffffffff,112.0,0.0,0.0,51.0
838c13fffffffff,1.0,0.0,0.0,0.0
838c1afffffffff,4.0,0.0,0.0,0.0
838cd5fffffffff,4.0,0.0,0.0,0.0
838cf4fffffffff,2.0,0.0,0.0,0.0
838d84fffffffff,1.0,0.0,0.0,0.0
838d85fffffffff,2.0,0.0,0.0,2.0
838d8cfffffffff,12.0,0.0,0.0,7.0
838da2fffffffff,4.0,0.0,0.0,2.0
838da3fffffffff,3.0,0.0,0.0,3.0
838db5fffffffff,109.0,0.0,0.0,45.0
8395a4fffffffff,27.0,0.0,0.0,6.0
