cell_id,Tachybaptus ruficollis,Tachybaptus ruficollis [ruficollis Group],Tachybaptus ruficollis [tricolor Group]
823187fffffffff,860.0,126.0,0.0
82318ffffffffff,224.0,5.0,0.0
823197fffffffff,23.0,0.0,0.0
82319ffffffffff,9.0,0.0,0.0
8231affffffffff,1670.0,186.0,0.0
8231b7fffffffff,4.0,0.0,0.0
823807fffffffff,1.0,0.0,0.0
823817fffffffff,20.0,0.0,0.0
823827fffffffff,1470.0,60.0,0.0
823837fffffffff,107.0,20.0,0.0
823847fffffffff,5.0,0.0,0.0
82384ffffffffff,4.0,0.0,0.0
823867fffffffff,46.0,3.0,0.0
82386ffffffffff,72.0,0.0,0.0
823877fffffffff,42.0,0.0,0.0
8238cffffffffff,1.0,0.0,0.0
823907fffffffff,5181.0,9.0,0.0
82390ffffffffff,5310.0,10.0,0.0
823917fffffffff,6791.0,119.0,0.0
82391ffffffffff,6792.0,244.0,0.0
823927fffffffff,2845.0,4.0,0.0
82392ffffffffff,6251.0,19.0,0.0
823937fffffffff,2712.0,20.0,0.0
823947fffffffff,2296.0,0.0,0.0
82394ffffffffff,10.0,0.0,0.0
823957fffffffff,4025.0,4.0,0.0
82395ffffffffff,19.0,0.0,0.0
823967fffffffff,152.0,7.0,0.0
82396ffffffffff,580.0,31.0,0.0
823977fffffffff,4583.0,0.0,0.0
823987fffffffff,110.0,12.0,0.0
82398ffffffffff,98.0,10.0,0.0
823997fffffffff,194.0,22.0,0.0
82399ffffffffff,5.0,0.0,0.0
8239affffffffff,395.0,107.0,0.0
823c07fffffffff,4.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0
823c17fffffffff,29.0,0.0,0.0
823c1ffffffffff,521.0,0.0,0.0
823c37fffffffff,86.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,453.0,0.0,0.0
823c77fffffffff,2.0,0.0,0.0
823c87fffffffff,67.0,0.0,0.0
823c8ffffffffff,208.0,0.0,0.0
823c97fffffffff,532.0,0.0,0.0
823c9ffffffffff,242.0,0.0,0.0
823ca7fffffffff,111.0,0.0,0.0
823caffffffffff,300.0,0.0,0.0
823cb7fffffffff,1375.0,0.0,0.0
823cc7fffffffff,114.0,0.0,0.0
823ccffffffffff,27.0,2.0,0.0
823cdffffffffff,11.0,2.0,0.0
823ce7fffffffff,287.0,0.0,0.0
823ceffffffffff,227.0,0.0,0.0
823cf7fffffffff,1371.0,7.0,0.0
823d07fffffffff,32.0,0.0,0.0
823d17fffffffff,1192.0,0.0,0.0
823d27fffffffff,2.0,0.0,0.0
823d37fffffffff,507.0,0.0,0.0
823d87fffffffff,1624.0,0.0,0.0
823d8ffffffffff,293.0,0.0,0.0
823d97fffffffff,524.0,0.0,0.0
823d9ffffffffff,450.0,0.0,0.0
823da7fffffffff,4644.0,0.0,0.0
823daffffffffff,357.0,0.0,0.0
823db7fffffffff,923.0,0.0,0.0
823e47fffffffff,10.0,4.0,0.0
823e5ffffffffff,121.0,5.0,0.0
823e67fffffffff,29.0,1.0,0.0
823e6ffffffffff,2406.0,239.0,0.0
823e77fffffffff,20.0,0.0,0.0
823f2ffffffffff,167.0,0.0,0.0
823f37fffffffff,42.0,0.0,0.0
823f47fffffffff,16.0,0.0,0.0
823f4ffffffffff,69.0,10.0,0.0
823f67fffffffff,521.0,21.0,0.0
823f6ffffffffff,271.0,4.0,0.0
823f77fffffffff,78.0,0.0,0.0
