cell_id,Campethera abingoni,Campethera abingoni chrysura,Campethera abingoni [abingoni Group]
83aca4fffffffff,6.0,0.0,2.0
83aca6fffffffff,22.0,0.0,0.0
83acaafffffffff,4.0,0.0,4.0
83acb1fffffffff,31.0,0.0,8.0
83acb3fffffffff,3.0,0.0,0.0
83ad82fffffffff,5.0,0.0,0.0
83ad86fffffffff,12.0,0.0,6.0
83ad9dfffffffff,1.0,0.0,0.0
83ada2fffffffff,10.0,0.0,1.0
83adb0fffffffff,4.0,0.0,1.0
83adb2fffffffff,14.0,0.0,4.0
83adb3fffffffff,1.0,0.0,1.0
83adb4fffffffff,2.0,0.0,0.0
83adb5fffffffff,3.0,0.0,0.0
83bc0afffffffff,2.0,0.0,0.0
83bc19fffffffff,15.0,0.0,4.0
83bc1bfffffffff,44.0,0.0,4.0
83bc89fffffffff,26.0,0.0,15.0
83bc99fffffffff,2.0,0.0,0.0
83bc9bfffffffff,1.0,0.0,0.0
83bcc1fffffffff,2.0,0.0,0.0
83bcc2fffffffff,3.0,0.0,0.0
83bcc3fffffffff,23.0,0.0,8.0
83bcc4fffffffff,7.0,0.0,0.0
83bcc6fffffffff,2.0,0.0,0.0
83bccafffffffff,3.0,0.0,0.0
83bcccfffffffff,3.0,0.0,0.0
83bcd0fffffffff,196.0,0.0,38.0
83bcd1fffffffff,34.0,0.0,0.0
83bcd2fffffffff,499.0,0.0,119.0
83bcd3fffffffff,27.0,0.0,3.0
83bcd4fffffffff,40.0,0.0,0.0
83bcd5fffffffff,1.0,0.0,0.0
83bcd6fffffffff,74.0,0.0,15.0
83bcd8fffffffff,14.0,0.0,4.0
83bcd9fffffffff,24.0,0.0,10.0
83bcdafffffffff,2.0,0.0,0.0
83bcdcfffffffff,112.0,0.0,21.0
83bcddfffffffff,37.0,0.0,8.0
83bcdefffffffff,48.0,0.0,7.0
83bce2fffffffff,8.0,0.0,0.0
83bce6fffffffff,15.0,0.0,5.0
83bce8fffffffff,2.0,0.0,0.0
83bce9fffffffff,35.0,0.0,15.0
83bcedfffffffff,2.0,0.0,0.0
83bcf0fffffffff,51.0,0.0,10.0
83bcf1fffffffff,9.0,0.0,0.0
83bcf2fffffffff,520.0,0.0,83.0
83bcf3fffffffff,11.0,0.0,4.0
83bcf4fffffffff,71.0,0.0,13.0
83bcf5fffffffff,162.0,0.0,48.0
83bcf6fffffffff,387.0,0.0,96.0
