cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
8427427ffffffff,2.0,0.0,0.0,0.0
842743dffffffff,1.0,0.0,0.0,0.0
8427445ffffffff,14.0,0.0,0.0,0.0
842744bffffffff,1.0,0.0,0.0,0.0
8427459ffffffff,2.0,0.0,0.0,0.0
8427461ffffffff,1.0,0.0,0.0,0.0
8427463ffffffff,4.0,0.0,0.0,0.0
8427467ffffffff,1.0,0.0,0.0,0.0
842746dffffffff,2.0,0.0,0.0,0.0
8427481ffffffff,14.0,0.0,0.0,0.0
8427485ffffffff,13.0,0.0,0.0,0.0
8427487ffffffff,16.0,0.0,0.0,0.0
842748bffffffff,1.0,0.0,0.0,0.0
842748dffffffff,100.0,0.0,0.0,0.0
8427495ffffffff,1.0,0.0,0.0,0.0
8427497ffffffff,1.0,0.0,0.0,0.0
8427499ffffffff,52.0,0.0,0.0,0.0
842749bffffffff,9.0,0.0,0.0,0.0
842749dffffffff,2.0,0.0,0.0,0.0
84274abffffffff,1.0,0.0,0.0,0.0
84274b1ffffffff,2.0,0.0,0.0,0.0
84274b3ffffffff,2.0,0.0,0.0,0.0
84274b5ffffffff,20.0,0.0,0.0,0.0
84274b9ffffffff,5.0,0.0,0.0,0.0
84274c1ffffffff,4.0,0.0,0.0,0.0
84274c7ffffffff,1.0,0.0,0.0,0.0
84274cbffffffff,2.0,0.0,0.0,0.0
84274d1ffffffff,2.0,0.0,0.0,0.0
84274d3ffffffff,26.0,0.0,0.0,0.0
84274d5ffffffff,5.0,0.0,0.0,0.0
84274d7ffffffff,1.0,0.0,0.0,0.0
84274d9ffffffff,1.0,0.0,0.0,0.0
84274dbffffffff,33.0,0.0,0.0,0.0
84274e1ffffffff,1.0,0.0,0.0,0.0
84274e3ffffffff,28.0,0.0,0.0,0.0
84274e9ffffffff,3.0,0.0,0.0,0.0
8427501ffffffff,1.0,0.0,0.0,0.0
8427503ffffffff,2.0,0.0,0.0,0.0
8427513ffffffff,4.0,0.0,0.0,0.0
8427519ffffffff,12.0,0.0,0.0,0.0
842751dffffffff,1.0,0.0,0.0,0.0
8427521ffffffff,2.0,0.0,0.0,0.0
8427541ffffffff,1.0,0.0,0.0,0.0
8427569ffffffff,5.0,0.0,0.0,0.0
8427581ffffffff,10.0,0.0,0.0,0.0
8427583ffffffff,2.0,0.0,0.0,0.0
842758dffffffff,2.0,0.0,0.0,0.0
8427593ffffffff,4.0,0.0,0.0,0.0
8427597ffffffff,1.0,0.0,0.0,0.0
842759dffffffff,4.0,0.0,0.0,0.0
84275a1ffffffff,3.0,0.0,0.0,0.0
84275a3ffffffff,4.0,0.0,0.0,0.0
84275a9ffffffff,2.0,0.0,0.0,0.0
84275adffffffff,2.0,0.0,0.0,0.0
84275b5ffffffff,5.0,0.0,0.0,0.0
84275b7ffffffff,2.0,0.0,0.0,0.0
84275b9ffffffff,4.0,0.0,0.0,0.0
84275c5ffffffff,7.0,0.0,0.0,0.0
84275c9ffffffff,12.0,0.0,0.0,0.0
84275cdffffffff,7.0,0.0,0.0,0.0
84275d1ffffffff,2.0,0.0,0.0,0.0
84275d3ffffffff,15.0,0.0,0.0,0.0
84275d9ffffffff,2.0,0.0,0.0,0.0
84275e5ffffffff,1.0,0.0,0.0,0.0
84275e9ffffffff,4.0,0.0,0.0,0.0
8427631ffffffff,20.0,0.0,0.0,0.0
8427633ffffffff,1.0,0.0,0.0,0.0
842763bffffffff,3.0,0.0,0.0,0.0
8427691ffffffff,5.0,0.0,0.0,0.0
8427693ffffffff,2.0,0.0,0.0,0.0
84276a3ffffffff,2.0,0.0,0.0,0.0
84276a7ffffffff,4.0,0.0,0.0,0.0
84276a9ffffffff,2.0,0.0,0.0,0.0
84276b5ffffffff,13.0,0.0,0.0,0.0
84276b7ffffffff,18.0,0.0,0.0,0.0
84276bdffffffff,29.0,0.0,0.0,0.0
84276d3ffffffff,2.0,0.0,0.0,0.0
84276d7ffffffff,2.0,0.0,2.0,0.0
84276e3ffffffff,2.0,0.0,0.0,0.0
84276e5ffffffff,4.0,0.0,0.0,0.0
8427711ffffffff,3.0,0.0,0.0,0.0
8427715ffffffff,2.0,0.0,0.0,0.0
842771dffffffff,13.0,0.0,0.0,0.0
8427737ffffffff,2.0,0.0,0.0,0.0
842773bffffffff,2.0,0.0,0.0,0.0
8427889ffffffff,1.0,0.0,0.0,0.0
842788dffffffff,13.0,3.0,0.0,0.0
84278d5ffffffff,1.0,0.0,0.0,0.0
8427987ffffffff,2.0,0.0,0.0,0.0
8427995ffffffff,3.0,0.0,0.0,0.0
8427997ffffffff,2.0,0.0,0.0,0.0
84279abffffffff,16.0,0.0,0.0,0.0
8427ab7ffffffff,1.0,0.0,0.0,0.0
8427ad3ffffffff,6.0,0.0,0.0,0.0
8428023ffffffff,16.0,0.0,0.0,0.0
842802bffffffff,27.0,1.0,0.0,0.0
842802dffffffff,5.0,0.0,0.0,0.0
8428063ffffffff,4.0,0.0,0.0,0.0
8428065ffffffff,1.0,0.0,0.0,0.0
8428067ffffffff,13.0,0.0,0.0,0.0
8428103ffffffff,1.0,0.0,0.0,0.0
842810bffffffff,4.0,0.0,0.0,0.0
8428111ffffffff,2.0,0.0,0.0,0.0
8428119ffffffff,2.0,0.0,0.0,0.0
8428133ffffffff,8.0,0.0,0.0,0.0
842813bffffffff,13.0,0.0,0.0,0.0
8428149ffffffff,10.0,0.0,0.0,0.0
842814bffffffff,8.0,0.0,0.0,0.0
8428151ffffffff,4.0,0.0,0.0,0.0
8428153ffffffff,15.0,0.0,0.0,0.0
8428157ffffffff,2.0,0.0,0.0,0.0
842818bffffffff,7.0,3.0,2.0,0.0
8428195ffffffff,2.0,0.0,0.0,0.0
84281b3ffffffff,1.0,0.0,0.0,0.0
