cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
84484a5ffffffff,23.0,0.0,0.0
84484a7ffffffff,2.0,0.0,0.0
8448715ffffffff,5.0,0.0,0.0
8448731ffffffff,1.0,0.0,0.0
8448733ffffffff,2.0,0.0,0.0
8448835ffffffff,1.0,0.0,0.0
84488d1ffffffff,150.0,0.0,0.0
8448907ffffffff,8.0,0.0,0.0
8448923ffffffff,11.0,0.0,0.0
844893dffffffff,2.0,0.0,0.0
8448955ffffffff,17.0,0.0,0.0
8448959ffffffff,2.0,0.0,0.0
8448a21ffffffff,4.0,0.0,0.0
8448b15ffffffff,17.0,0.0,0.0
8448b23ffffffff,57.0,0.0,0.0
8448b2bffffffff,27.0,0.0,0.0
8448b37ffffffff,2.0,0.0,0.0
8448b39ffffffff,13.0,0.0,0.0
8448b3dffffffff,60.0,0.0,0.0
8448b5bffffffff,1.0,0.0,0.0
8448d43ffffffff,4.0,0.0,0.0
8448e33ffffffff,2.0,0.0,0.0
8448e85ffffffff,2.0,0.0,0.0
8448e8dffffffff,1.0,0.0,0.0
8448ec7ffffffff,29.0,0.0,0.0
8448ee3ffffffff,1.0,0.0,0.0
8448ee5ffffffff,4.0,0.0,0.0
8448eebffffffff,7.0,0.0,0.0
8449839ffffffff,3.0,0.0,0.0
8449959ffffffff,1.0,0.0,0.0
8449963ffffffff,2.0,0.0,0.0
8449965ffffffff,4.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
844996dffffffff,3.0,0.0,0.0
84499c9ffffffff,1.0,0.0,0.0
845e5cbffffffff,2.0,0.0,0.0
8466025ffffffff,5.0,0.0,0.0
8466107ffffffff,8.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
846615bffffffff,6.0,0.0,0.0
8466163ffffffff,1.0,0.0,0.0
8466167ffffffff,7.0,0.0,0.0
8466183ffffffff,5.0,0.0,0.0
846618bffffffff,1.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0
84661b1ffffffff,7.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0
84661cdffffffff,4.0,0.0,0.0
8466203ffffffff,7.0,0.0,0.0
8466217ffffffff,3.0,0.0,0.0
846622bffffffff,14.0,0.0,0.0
846656dffffffff,6.0,0.0,0.0
8466849ffffffff,2.0,0.0,0.0
8466a03ffffffff,2.0,0.0,0.0
8466a0bffffffff,14.0,0.0,0.0
8466a1dffffffff,6.0,0.0,0.0
8466a27ffffffff,8.0,0.0,0.0
8466a33ffffffff,7.0,0.0,0.0
8466a39ffffffff,3.0,0.0,0.0
8466a51ffffffff,4.0,0.0,0.0
8466a65ffffffff,11.0,0.0,0.0
8466aedffffffff,4.0,0.0,0.0
8466b0bffffffff,1.0,0.0,0.0
8466b4dffffffff,1.0,0.0,0.0
8466b53ffffffff,9.0,0.0,0.0
8466b5bffffffff,5.0,0.0,0.0
8466c05ffffffff,4.0,0.0,0.0
8466c0dffffffff,5.0,0.0,0.0
8466c21ffffffff,23.0,0.0,0.0
8466c29ffffffff,2.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0
8466c49ffffffff,6.0,0.0,0.0
8466d1bffffffff,2.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0
8466d33ffffffff,2.0,0.0,0.0
8466d3dffffffff,2.0,0.0,0.0
8466d53ffffffff,2.0,0.0,0.0
8466dadffffffff,10.0,0.0,0.0
8466dc3ffffffff,6.0,0.0,0.0
8466de3ffffffff,5.0,0.0,0.0
8466de5ffffffff,2.0,0.0,0.0
8466e03ffffffff,1.0,0.0,0.0
8466e09ffffffff,1.0,0.0,0.0
8466e0bffffffff,1.0,0.0,0.0
8466e1dffffffff,1.0,0.0,0.0
8466e29ffffffff,2.0,0.0,0.0
8466e43ffffffff,11.0,0.0,0.0
8466e57ffffffff,12.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466e63ffffffff,6.0,0.0,0.0
8466e67ffffffff,3.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0
8467835ffffffff,4.0,0.0,0.0
846783dffffffff,1.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
846d05bffffffff,13.0,0.0,0.0
846d21dffffffff,1.0,0.0,0.0
846d231ffffffff,2.0,0.0,0.0
846d239ffffffff,7.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0
846d295ffffffff,6.0,0.0,0.0
846d2a9ffffffff,1.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d319ffffffff,1.0,0.0,0.0
846d32bffffffff,11.0,0.0,0.0
846d33dffffffff,2.0,0.0,0.0
846d34dffffffff,3.0,0.0,0.0
846d35dffffffff,2.0,0.0,0.0
846d605ffffffff,2.0,0.0,0.0
846d609ffffffff,2.0,0.0,0.0
846d617ffffffff,2.0,0.0,0.0
846d663ffffffff,2.0,0.0,0.0
846d667ffffffff,1.0,0.0,0.0
846d681ffffffff,8.0,0.0,0.0
846d683ffffffff,4.0,0.0,0.0
846d685ffffffff,1.0,0.0,0.0
846d693ffffffff,13.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0
846d69bffffffff,2.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0
846d6edffffffff,3.0,0.0,0.0
846d743ffffffff,2.0,0.0,0.0
846d759ffffffff,2.0,0.0,0.0
848a459ffffffff,1.0,0.0,0.0
848b20bffffffff,1.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b231ffffffff,1.0,0.0,0.0
848b2c5ffffffff,1.0,0.0,0.0
848b709ffffffff,2.0,0.0,0.0
848b751ffffffff,2.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
848f401ffffffff,2.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0
