cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
8466a0bffffffff,588.0,0.0,0.0,164.0,0.0
8466a29ffffffff,10.0,0.0,0.0,6.0,0.0
8466a2dffffffff,142.0,0.0,0.0,65.0,0.0
8466a57ffffffff,419.0,0.0,0.0,121.0,0.0
8466b41ffffffff,1918.0,0.0,0.0,42.0,0.0
8466b43ffffffff,39.0,0.0,0.0,0.0,0.0
8466b45ffffffff,1715.0,0.0,0.0,120.0,0.0
8466b47ffffffff,11.0,0.0,0.0,0.0,0.0
8466b49ffffffff,88.0,0.0,0.0,0.0,0.0
8466b4dffffffff,939.0,0.0,0.0,0.0,0.0
8466b51ffffffff,1017.0,0.0,0.0,302.0,0.0
8466b53ffffffff,6.0,0.0,0.0,0.0,0.0
8466b55ffffffff,344.0,0.0,0.0,0.0,0.0
8466b5bffffffff,142.0,0.0,0.0,44.0,0.0
8466b5dffffffff,234.0,0.0,0.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0,0.0,0.0
84679a7ffffffff,22.0,0.0,0.0,0.0,0.0
846d049ffffffff,2.0,0.0,0.0,0.0,0.0
846d04bffffffff,7.0,0.0,0.0,0.0,0.0
846d059ffffffff,71.0,0.0,12.0,0.0,0.0
846d05bffffffff,736.0,0.0,365.0,0.0,0.0
846d141ffffffff,2.0,1.0,0.0,0.0,0.0
846d14bffffffff,6.0,0.0,0.0,0.0,0.0
846d207ffffffff,105.0,0.0,10.0,0.0,0.0
846d211ffffffff,2.0,0.0,0.0,0.0,0.0
846d21bffffffff,67.0,0.0,23.0,0.0,0.0
846d223ffffffff,12.0,0.0,5.0,0.0,0.0
846d22bffffffff,2.0,0.0,0.0,0.0,0.0
846d231ffffffff,23.0,0.0,4.0,0.0,0.0
846d237ffffffff,2.0,0.0,0.0,0.0,0.0
846d239ffffffff,64.0,0.0,39.0,0.0,0.0
846d23bffffffff,4.0,0.0,0.0,0.0,0.0
846d23dffffffff,109.0,0.0,36.0,0.0,0.0
846d283ffffffff,160.0,0.0,0.0,0.0,0.0
846d287ffffffff,292.0,0.0,0.0,0.0,0.0
846d289ffffffff,5.0,0.0,0.0,0.0,0.0
846d28dffffffff,10.0,0.0,0.0,0.0,0.0
846d291ffffffff,413.0,0.0,0.0,0.0,0.0
846d295ffffffff,420.0,0.0,0.0,0.0,0.0
846d297ffffffff,23.0,0.0,0.0,0.0,0.0
846d299ffffffff,5.0,0.0,0.0,0.0,0.0
846d29bffffffff,3.0,0.0,0.0,0.0,0.0
846d2a9ffffffff,252.0,0.0,51.0,0.0,0.0
846d2abffffffff,176.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,1261.0,0.0,0.0,0.0,0.0
846d2c1ffffffff,1.0,0.0,0.0,0.0,0.0
846d2c5ffffffff,2.0,0.0,0.0,0.0,0.0
846d2c7ffffffff,54.0,0.0,0.0,0.0,0.0
846d2c9ffffffff,7.0,0.0,0.0,0.0,0.0
846d2d1ffffffff,407.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,529.0,0.0,0.0,0.0,0.0
846d2d5ffffffff,3.0,0.0,0.0,0.0,0.0
846d2d7ffffffff,1298.0,0.0,0.0,0.0,0.0
846d2dbffffffff,6.0,0.0,0.0,0.0,0.0
846d2e5ffffffff,11.0,0.0,2.0,0.0,0.0
846d2e7ffffffff,1.0,0.0,0.0,0.0,0.0
846d2ebffffffff,58.0,0.0,18.0,0.0,0.0
846d303ffffffff,8.0,0.0,0.0,0.0,0.0
846d305ffffffff,237.0,0.0,95.0,0.0,0.0
846d307ffffffff,27.0,0.0,2.0,0.0,0.0
846d333ffffffff,4.0,3.0,0.0,0.0,0.0
846d335ffffffff,5.0,3.0,0.0,0.0,0.0
846d337ffffffff,765.0,583.0,0.0,0.0,0.0
846d34bffffffff,16.0,0.0,10.0,0.0,0.0
846d35dffffffff,110.0,0.0,19.0,0.0,0.0
846d361ffffffff,2.0,0.0,2.0,0.0,0.0
846d363ffffffff,1.0,0.0,1.0,0.0,0.0
846d369ffffffff,6.0,0.0,0.0,0.0,0.0
846d36dffffffff,24.0,0.0,2.0,0.0,0.0
846d619ffffffff,1.0,0.0,1.0,0.0,0.0
846d641ffffffff,5.0,0.0,0.0,0.0,0.0
846d643ffffffff,8.0,0.0,0.0,0.0,0.0
846d645ffffffff,10.0,0.0,0.0,0.0,0.0
846d64bffffffff,28.0,0.0,0.0,0.0,0.0
846d64dffffffff,144.0,0.0,0.0,0.0,0.0
846d651ffffffff,939.0,0.0,54.0,0.0,0.0
846d653ffffffff,548.0,0.0,19.0,0.0,0.0
846d655ffffffff,142.0,0.0,0.0,0.0,0.0
846d657ffffffff,14.0,0.0,0.0,0.0,0.0
846d659ffffffff,12.0,0.0,0.0,0.0,0.0
846d65bffffffff,16.0,0.0,0.0,0.0,0.0
846d65dffffffff,45.0,0.0,9.0,0.0,0.0
846d665ffffffff,22.0,0.0,0.0,0.0,0.0
846d66dffffffff,285.0,0.0,0.0,0.0,0.0
846d681ffffffff,42.0,0.0,0.0,0.0,0.0
846d68bffffffff,55.0,0.0,0.0,0.0,0.0
846d68dffffffff,8.0,0.0,0.0,0.0,0.0
846d691ffffffff,983.0,0.0,0.0,0.0,0.0
846d693ffffffff,217.0,0.0,0.0,0.0,0.0
846d695ffffffff,24.0,0.0,0.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0,0.0,0.0
846d69bffffffff,2158.0,0.0,0.0,0.0,0.0
846d69dffffffff,5404.0,0.0,0.0,0.0,0.0
846d741ffffffff,247.0,0.0,0.0,0.0,0.0
846d745ffffffff,28.0,0.0,0.0,0.0,0.0
846d749ffffffff,118.0,0.0,0.0,0.0,0.0
846d74bffffffff,4.0,0.0,0.0,0.0,0.0
846d759ffffffff,8.0,0.0,0.0,0.0,0.0
