cell_id,Sylvietta brachyura,Sylvietta brachyura brachyura/carnapi,Sylvietta brachyura leucopsis
8458cd9ffffffff,3.0,0.0,0.0
8458db5ffffffff,2.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0
8458debffffffff,3.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0
8458e2dffffffff,44.0,0.0,0.0
8458e67ffffffff,15.0,0.0,0.0
8458f5bffffffff,6.0,0.0,0.0
84598bbffffffff,1.0,0.0,0.0
845991bffffffff,1.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
8459985ffffffff,8.0,2.0,0.0
84599a5ffffffff,3.0,0.0,0.0
84599e5ffffffff,18.0,1.0,0.0
84599e7ffffffff,9.0,0.0,0.0
846a109ffffffff,1.0,0.0,0.0
846a459ffffffff,2.0,0.0,0.0
846a49dffffffff,2.0,0.0,0.0
846a4b3ffffffff,2.0,0.0,0.0
846a581ffffffff,4.0,0.0,0.0
846a583ffffffff,3.0,0.0,0.0
846a5a9ffffffff,25.0,0.0,0.0
846a5b5ffffffff,1.0,0.0,0.0
846a5bbffffffff,5.0,0.0,0.0
846a619ffffffff,3.0,0.0,0.0
846a697ffffffff,14.0,0.0,0.0
846ac03ffffffff,4.0,0.0,0.0
846ac0bffffffff,5.0,0.0,0.0
846ac11ffffffff,1.0,0.0,0.0
846ac1dffffffff,6.0,0.0,0.0
846ac31ffffffff,4.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac3dffffffff,16.0,0.0,0.0
846ac53ffffffff,1.0,0.0,0.0
846ac89ffffffff,1.0,0.0,0.0
846acc9ffffffff,1.0,0.0,0.0
846accbffffffff,7.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,3.0,0.0,0.0
846ace5ffffffff,9.0,0.0,0.0
846adc9ffffffff,3.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0
846ae15ffffffff,2.0,0.0,0.0
846ae85ffffffff,37.0,0.0,0.0
846aea1ffffffff,31.0,0.0,0.0
846aea3ffffffff,11.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
846aea9ffffffff,17.0,0.0,0.0
846aeabffffffff,5.0,0.0,0.0
846aeb7ffffffff,1.0,0.0,0.0
846aee3ffffffff,53.0,0.0,0.0
846b127ffffffff,4.0,0.0,0.0
846bac9ffffffff,1.0,0.0,0.0
84750d1ffffffff,1.0,0.0,0.0
8475201ffffffff,31.0,1.0,0.0
8475203ffffffff,4.0,1.0,0.0
8475207ffffffff,94.0,4.0,0.0
847521dffffffff,3.0,0.0,0.0
8475293ffffffff,34.0,1.0,0.0
847529bffffffff,33.0,5.0,0.0
84752abffffffff,1.0,0.0,0.0
84752adffffffff,2.0,0.0,0.0
84752d3ffffffff,3.0,0.0,0.0
8475313ffffffff,1.0,0.0,0.0
8475761ffffffff,1.0,0.0,0.0
8475769ffffffff,1.0,0.0,0.0
847a401ffffffff,82.0,0.0,11.0
847a403ffffffff,11.0,0.0,0.0
847a405ffffffff,18.0,0.0,1.0
847a407ffffffff,139.0,0.0,10.0
847a40dffffffff,6.0,0.0,0.0
847a413ffffffff,202.0,0.0,0.0
847a41bffffffff,19.0,0.0,0.0
847a41dffffffff,9.0,0.0,0.0
847a46dffffffff,5.0,0.0,0.0
847a483ffffffff,9.0,0.0,0.0
847a495ffffffff,3.0,0.0,0.0
847a4b1ffffffff,5.0,0.0,0.0
847a4b5ffffffff,2.0,0.0,0.0
847a4bdffffffff,4.0,0.0,0.0
847a4d1ffffffff,1.0,0.0,0.0
847a4e3ffffffff,6.0,0.0,0.0
847a503ffffffff,2.0,0.0,0.0
847a531ffffffff,2.0,0.0,0.0
847a533ffffffff,2.0,0.0,0.0
847a559ffffffff,2.0,0.0,0.0
847a58bffffffff,1.0,0.0,0.0
847a58dffffffff,1.0,0.0,0.0
847a5d5ffffffff,1.0,0.0,0.0
847a601ffffffff,3.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0
847a609ffffffff,31.0,0.0,0.0
847a60bffffffff,16.0,0.0,0.0
847a611ffffffff,5.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0
847a615ffffffff,10.0,0.0,0.0
847a619ffffffff,6.0,0.0,0.0
847a61bffffffff,5.0,0.0,0.0
847a61dffffffff,14.0,0.0,0.0
847a641ffffffff,42.0,0.0,0.0
847a643ffffffff,8.0,0.0,0.0
847a645ffffffff,5.0,0.0,0.0
847a647ffffffff,6.0,0.0,0.0
847a651ffffffff,7.0,0.0,0.0
847a653ffffffff,23.0,0.0,0.0
847a655ffffffff,7.0,0.0,0.0
847a659ffffffff,25.0,0.0,0.0
847a65bffffffff,13.0,0.0,0.0
847a669ffffffff,3.0,0.0,0.0
847a6c1ffffffff,2.0,0.0,0.0
847a6dbffffffff,1.0,0.0,0.0
847a6e1ffffffff,7.0,0.0,0.0
847a6ebffffffff,2.0,0.0,0.0
847a715ffffffff,2.0,0.0,0.0
847a751ffffffff,1.0,0.0,0.0
847ac15ffffffff,5.0,0.0,0.0
847ac81ffffffff,4.0,0.0,0.0
847ac83ffffffff,3.0,0.0,0.0
847ac87ffffffff,2.0,0.0,0.0
847ac8bffffffff,13.0,0.0,0.0
847aca1ffffffff,2.0,0.0,0.0
847aca3ffffffff,6.0,0.0,0.0
847aca5ffffffff,4.0,0.0,0.0
847acabffffffff,6.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0
847accdffffffff,3.0,0.0,0.0
847acd3ffffffff,2.0,0.0,0.0
847acd5ffffffff,3.0,0.0,0.0
847acd7ffffffff,4.0,0.0,0.0
847ad91ffffffff,23.0,0.0,0.0
847ad93ffffffff,33.0,0.0,0.0
847ad95ffffffff,10.0,0.0,0.0
847ad97ffffffff,15.0,0.0,0.0
847ad99ffffffff,80.0,0.0,0.0
847ad9dffffffff,10.0,0.0,0.0
847ada9ffffffff,2.0,0.0,0.0
847ae81ffffffff,17.0,0.0,0.0
847ae85ffffffff,16.0,0.0,0.0
847ae8bffffffff,6.0,0.0,0.0
847ae91ffffffff,2.0,0.0,0.0
847ae99ffffffff,10.0,0.0,0.0
847ae9bffffffff,3.0,0.0,0.0
847aea3ffffffff,9.0,0.0,0.0
847aeabffffffff,6.0,0.0,0.0
847aed9ffffffff,2.0,0.0,0.0
847b4b1ffffffff,7.0,0.0,0.0
847b4b7ffffffff,4.0,0.0,0.0
847b4bbffffffff,2.0,0.0,0.0
847b5bbffffffff,1.0,0.0,0.0
84828b5ffffffff,2.0,0.0,0.0
8496901ffffffff,8.0,0.0,0.0
8496907ffffffff,7.0,0.0,0.0
8496921ffffffff,2.0,0.0,0.0
8496925ffffffff,51.0,0.0,0.0
849692bffffffff,4.0,0.0,0.0
849692dffffffff,37.0,0.0,0.0
8496933ffffffff,3.0,0.0,0.0
849693dffffffff,9.0,0.0,0.0
