cell_id,Campethera maculosa,Campethera maculosa maculosa,Campethera maculosa permista,Campethera maculosa [cailliautii Group]
8483921ffffffff,1.0,0.0,0.0,0.0
8483a89ffffffff,7.0,0.0,0.0,0.0
8483ac3ffffffff,7.0,0.0,0.0,0.0
8496009ffffffff,4.0,0.0,0.0,2.0
8496015ffffffff,5.0,0.0,0.0,0.0
849602dffffffff,13.0,0.0,0.0,5.0
8496047ffffffff,2.0,0.0,0.0,1.0
8496093ffffffff,1.0,0.0,0.0,0.0
849609dffffffff,1.0,0.0,0.0,0.0
84960bbffffffff,5.0,0.0,0.0,0.0
84960edffffffff,2.0,0.0,0.0,1.0
8496131ffffffff,2.0,0.0,0.0,0.0
849615dffffffff,2.0,0.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0,0.0
8496283ffffffff,1.0,0.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0,0.0
84962abffffffff,2.0,0.0,0.0,0.0
84962b9ffffffff,4.0,0.0,0.0,0.0
84962e5ffffffff,7.0,0.0,0.0,2.0
84962edffffffff,4.0,0.0,0.0,0.0
8496365ffffffff,9.0,0.0,0.0,0.0
8496569ffffffff,2.0,0.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0,0.0
8496907ffffffff,3.0,0.0,0.0,0.0
849692bffffffff,2.0,0.0,0.0,0.0
8496931ffffffff,1.0,0.0,0.0,0.0
8496933ffffffff,2.0,0.0,0.0,0.0
849693dffffffff,2.0,0.0,0.0,0.0
8496a01ffffffff,2.0,0.0,0.0,0.0
8496a59ffffffff,5.0,0.0,0.0,2.0
8496aa9ffffffff,2.0,0.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0,0.0
8496b47ffffffff,6.0,0.0,0.0,0.0
8496b63ffffffff,4.0,0.0,0.0,0.0
8496b6dffffffff,3.0,0.0,0.0,0.0
8497003ffffffff,1.0,0.0,0.0,0.0
849702bffffffff,9.0,0.0,0.0,0.0
8497035ffffffff,9.0,0.0,0.0,0.0
849703dffffffff,3.0,0.0,0.0,0.0
8497101ffffffff,2.0,0.0,0.0,0.0
8497103ffffffff,8.0,0.0,0.0,0.0
8497107ffffffff,14.0,0.0,0.0,0.0
8497119ffffffff,13.0,0.0,0.0,1.0
849711dffffffff,10.0,0.0,0.0,0.0
8497157ffffffff,1.0,0.0,0.0,0.0
84971c1ffffffff,26.0,0.0,0.0,4.0
84971c3ffffffff,2.0,0.0,0.0,0.0
84971cbffffffff,5.0,0.0,0.0,0.0
8497357ffffffff,1.0,0.0,0.0,0.0
84978b9ffffffff,4.0,0.0,0.0,0.0
84978d1ffffffff,1.0,0.0,0.0,0.0
84978d9ffffffff,1.0,0.0,0.0,0.0
849799bffffffff,2.0,0.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0,0.0
8497a89ffffffff,1.0,0.0,0.0,0.0
8497aabffffffff,2.0,0.0,0.0,2.0
84bc991ffffffff,7.0,0.0,0.0,0.0
