cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
830998fffffffff,24.0,0.0,1.0
830999fffffffff,2.0,0.0,0.0
83099afffffffff,7.0,0.0,0.0
83099bfffffffff,21.0,0.0,6.0
83099efffffffff,14.0,0.0,0.0
8309a0fffffffff,95.0,4.0,0.0
8309a4fffffffff,165.0,16.0,0.0
8309a5fffffffff,21.0,2.0,0.0
8309a6fffffffff,145.0,24.0,2.0
8309abfffffffff,1.0,0.0,0.0
831126fffffffff,7.0,0.0,0.0
831801fffffffff,118.0,6.0,0.0
831804fffffffff,3.0,0.0,0.0
831805fffffffff,384.0,78.0,0.0
83180cfffffffff,65.0,3.0,0.0
831820fffffffff,22.0,2.0,0.0
831823fffffffff,186.0,37.0,0.0
831824fffffffff,12.0,0.0,0.0
831825fffffffff,85.0,5.0,0.0
831828fffffffff,112.0,12.0,0.0
831829fffffffff,77.0,6.0,0.0
83182afffffffff,57.0,4.0,0.0
83182cfffffffff,244.0,7.0,0.0
83182dfffffffff,36.0,3.0,0.0
83182efffffffff,283.0,108.0,0.0
831840fffffffff,2.0,0.0,0.0
831844fffffffff,47.0,4.0,0.0
831845fffffffff,33.0,0.0,0.0
831846fffffffff,157.0,2.0,0.0
831849fffffffff,7.0,0.0,0.0
83184afffffffff,136.0,0.0,0.0
83184bfffffffff,10.0,0.0,0.0
831859fffffffff,2.0,0.0,0.0
83185bfffffffff,8.0,0.0,0.0
831860fffffffff,19.0,0.0,0.0
831862fffffffff,133.0,25.0,0.0
831864fffffffff,3.0,0.0,0.0
831866fffffffff,39.0,0.0,0.0
83186afffffffff,8.0,0.0,0.0
831870fffffffff,263.0,28.0,0.0
831871fffffffff,48.0,2.0,0.0
831872fffffffff,27.0,6.0,0.0
831873fffffffff,128.0,17.0,0.0
831874fffffffff,60.0,8.0,0.0
831875fffffffff,17.0,0.0,0.0
831876fffffffff,391.0,80.0,0.0
831901fffffffff,48.0,2.0,0.0
831905fffffffff,4.0,0.0,0.0
831908fffffffff,284.0,25.0,0.0
831909fffffffff,82.0,3.0,0.0
83190afffffffff,12.0,0.0,0.0
83190bfffffffff,118.0,7.0,0.0
83190cfffffffff,203.0,7.0,0.0
83190dfffffffff,14.0,2.0,0.0
83190efffffffff,102.0,10.0,0.0
83191dfffffffff,14.0,2.0,0.0
831922fffffffff,16.0,0.0,0.0
831926fffffffff,134.0,0.0,0.0
831928fffffffff,87.0,13.0,0.0
831929fffffffff,36.0,3.0,0.0
83192afffffffff,61.0,23.0,0.0
83192bfffffffff,171.0,71.0,0.0
83192cfffffffff,92.0,0.0,0.0
831940fffffffff,285.0,14.0,10.0
831941fffffffff,435.0,0.0,72.0
831942fffffffff,19.0,0.0,2.0
831943fffffffff,50.0,0.0,20.0
831946fffffffff,170.0,7.0,3.0
831948fffffffff,989.0,80.0,5.0
83194afffffffff,147.0,5.0,0.0
83194bfffffffff,24.0,0.0,0.0
83194cfffffffff,190.0,0.0,12.0
83194dfffffffff,126.0,0.0,1.0
83194efffffffff,318.0,5.0,15.0
831950fffffffff,314.0,18.0,0.0
831951fffffffff,80.0,12.0,0.0
831952fffffffff,37.0,2.0,0.0
831953fffffffff,168.0,29.0,0.0
831954fffffffff,3.0,0.0,0.0
831955fffffffff,18.0,5.0,2.0
831956fffffffff,403.0,10.0,0.0
831958fffffffff,59.0,0.0,0.0
831959fffffffff,325.0,2.0,3.0
83195afffffffff,124.0,4.0,0.0
83195bfffffffff,234.0,29.0,0.0
83195dfffffffff,13.0,0.0,3.0
83195efffffffff,14.0,0.0,0.0
831963fffffffff,1.0,0.0,0.0
831968fffffffff,167.0,0.0,0.0
831969fffffffff,2.0,0.0,0.0
83196bfffffffff,88.0,0.0,0.0
83196cfffffffff,4.0,0.0,0.0
83196dfffffffff,74.0,0.0,0.0
831972fffffffff,318.0,8.0,2.0
831973fffffffff,245.0,21.0,8.0
831976fffffffff,127.0,3.0,0.0
831f00fffffffff,15.0,0.0,9.0
831f01fffffffff,1.0,0.0,0.0
831f04fffffffff,1.0,0.0,0.0
831f05fffffffff,45.0,0.0,0.0
831f06fffffffff,29.0,0.0,0.0
831f0cfffffffff,2.0,0.0,0.0
831f0efffffffff,1.0,0.0,0.0
831f14fffffffff,52.0,0.0,0.0
831f20fffffffff,14.0,0.0,1.0
831f21fffffffff,45.0,0.0,0.0
831f22fffffffff,8.0,0.0,0.0
831f23fffffffff,10.0,0.0,1.0
831f24fffffffff,21.0,0.0,2.0
831f25fffffffff,25.0,0.0,0.0
831f26fffffffff,10.0,0.0,0.0
831f28fffffffff,17.0,0.0,0.0
831f29fffffffff,17.0,0.0,0.0
831f2afffffffff,43.0,0.0,28.0
831f2dfffffffff,2.0,0.0,0.0
831f2efffffffff,9.0,0.0,0.0
831f30fffffffff,4.0,0.0,0.0
831f31fffffffff,25.0,0.0,7.0
831f32fffffffff,22.0,0.0,0.0
831f33fffffffff,237.0,0.0,13.0
831f35fffffffff,17.0,0.0,4.0
831f60fffffffff,2.0,0.0,0.0
831f71fffffffff,3.0,0.0,0.0
831f72fffffffff,125.0,0.0,0.0
831f75fffffffff,5.0,0.0,0.0
831fa4fffffffff,3.0,0.0,0.0
833920fffffffff,6.0,0.0,0.0
833922fffffffff,2.0,0.0,0.0
833924fffffffff,10.0,0.0,0.0
833925fffffffff,9.0,0.0,0.0
83392dfffffffff,76.0,0.0,0.0
