cell_id,Indicator minor,Indicator minor conirostris/ussheri,Indicator minor [minor Group]
837519fffffffff,1.0,1.0,0.0
837520fffffffff,68.0,0.0,58.0
837522fffffffff,2.0,0.0,2.0
837528fffffffff,1.0,0.0,0.0
837529fffffffff,20.0,3.0,16.0
83752afffffffff,13.0,9.0,4.0
837530fffffffff,2.0,0.0,2.0
837574fffffffff,1.0,0.0,1.0
8375a8fffffffff,1.0,1.0,0.0
837a40fffffffff,67.0,0.0,62.0
837a41fffffffff,119.0,0.0,112.0
837a45fffffffff,44.0,0.0,39.0
837a48fffffffff,62.0,0.0,59.0
837a49fffffffff,1.0,0.0,1.0
837a4bfffffffff,4.0,0.0,4.0
837a4cfffffffff,130.0,54.0,59.0
837a4dfffffffff,47.0,8.0,37.0
837a53fffffffff,1.0,0.0,0.0
837a5efffffffff,1.0,0.0,0.0
837a60fffffffff,23.0,0.0,21.0
837a61fffffffff,19.0,0.0,15.0
837a63fffffffff,9.0,0.0,9.0
837a64fffffffff,13.0,0.0,13.0
837a65fffffffff,83.0,0.0,78.0
837a68fffffffff,65.0,0.0,51.0
837a69fffffffff,2.0,0.0,2.0
837a6afffffffff,78.0,0.0,71.0
837a6bfffffffff,23.0,0.0,22.0
837a6cfffffffff,1.0,0.0,1.0
837a6dfffffffff,14.0,0.0,13.0
837a6efffffffff,132.0,0.0,115.0
837ac1fffffffff,10.0,0.0,10.0
837ac8fffffffff,77.0,0.0,67.0
837acafffffffff,2.0,0.0,2.0
837acbfffffffff,2.0,0.0,2.0
837accfffffffff,2.0,0.0,2.0
837acdfffffffff,34.0,0.0,31.0
837ad9fffffffff,6.0,0.0,6.0
837ae9fffffffff,1.0,0.0,0.0
837aeafffffffff,3.0,0.0,0.0
837aebfffffffff,1.0,0.0,1.0
837aedfffffffff,10.0,0.0,10.0
837b48fffffffff,9.0,0.0,9.0
837b4afffffffff,10.0,0.0,10.0
837b4bfffffffff,14.0,0.0,11.0
837b4cfffffffff,1.0,0.0,0.0
837b4dfffffffff,7.0,0.0,2.0
837b59fffffffff,19.0,0.0,14.0
837b5bfffffffff,4.0,0.0,4.0
837b6bfffffffff,1.0,0.0,0.0
83828bfffffffff,2.0,2.0,0.0
83828dfffffffff,1.0,1.0,0.0
8382d3fffffffff,6.0,6.0,0.0
838320fffffffff,2.0,0.0,2.0
838326fffffffff,2.0,0.0,2.0
838335fffffffff,3.0,0.0,3.0
839600fffffffff,5.0,0.0,5.0
839601fffffffff,6.0,0.0,6.0
839602fffffffff,4.0,0.0,4.0
839604fffffffff,2.0,0.0,2.0
839609fffffffff,5.0,0.0,5.0
839615fffffffff,9.0,0.0,9.0
839620fffffffff,9.0,0.0,8.0
839621fffffffff,5.0,0.0,4.0
839622fffffffff,2.0,0.0,2.0
839623fffffffff,24.0,0.0,17.0
839624fffffffff,1.0,0.0,1.0
839626fffffffff,6.0,0.0,6.0
839628fffffffff,6.0,0.0,5.0
839629fffffffff,2.0,0.0,2.0
83962bfffffffff,6.0,0.0,6.0
83962cfffffffff,17.0,0.0,17.0
83962dfffffffff,1.0,0.0,1.0
83962efffffffff,10.0,0.0,8.0
839633fffffffff,8.0,0.0,7.0
839636fffffffff,6.0,0.0,5.0
839670fffffffff,1.0,0.0,0.0
839690fffffffff,32.0,0.0,32.0
839692fffffffff,116.0,0.0,100.0
839693fffffffff,45.0,0.0,37.0
83969afffffffff,6.0,0.0,2.0
8396a5fffffffff,3.0,0.0,3.0
8396a8fffffffff,2.0,0.0,2.0
8396acfffffffff,2.0,0.0,2.0
8396adfffffffff,3.0,0.0,2.0
8396b0fffffffff,4.0,0.0,4.0
8396b1fffffffff,33.0,0.0,30.0
8396b4fffffffff,4.0,0.0,4.0
8396b5fffffffff,10.0,0.0,6.0
8396b6fffffffff,7.0,0.0,7.0
839700fffffffff,3.0,0.0,3.0
839701fffffffff,1.0,0.0,0.0
839702fffffffff,28.0,0.0,28.0
839703fffffffff,21.0,0.0,20.0
839706fffffffff,2.0,0.0,2.0
83970afffffffff,2.0,0.0,2.0
839710fffffffff,7.0,0.0,7.0
839711fffffffff,17.0,0.0,17.0
839713fffffffff,5.0,0.0,5.0
839719fffffffff,27.0,0.0,25.0
83971bfffffffff,2.0,0.0,2.0
83971cfffffffff,23.0,0.0,20.0
83971dfffffffff,6.0,0.0,6.0
839724fffffffff,2.0,0.0,2.0
839728fffffffff,8.0,0.0,8.0
839729fffffffff,8.0,0.0,7.0
83972cfffffffff,4.0,0.0,3.0
83972dfffffffff,24.0,0.0,20.0
83972efffffffff,26.0,0.0,24.0
839731fffffffff,1.0,0.0,0.0
839735fffffffff,2.0,0.0,2.0
839741fffffffff,8.0,0.0,7.0
839743fffffffff,10.0,0.0,5.0
839748fffffffff,1.0,0.0,0.0
83974afffffffff,103.0,0.0,93.0
83974bfffffffff,8.0,0.0,6.0
83974efffffffff,36.0,0.0,30.0
839750fffffffff,4.0,0.0,4.0
839751fffffffff,83.0,0.0,63.0
839753fffffffff,4.0,0.0,4.0
839758fffffffff,2.0,0.0,2.0
83975cfffffffff,31.0,0.0,27.0
839772fffffffff,16.0,0.0,15.0
839789fffffffff,4.0,0.0,4.0
83978bfffffffff,1.0,0.0,1.0
83978dfffffffff,8.0,0.0,8.0
839793fffffffff,2.0,0.0,2.0
8397a8fffffffff,8.0,0.0,7.0
8397aafffffffff,1.0,0.0,1.0
83ac81fffffffff,7.0,0.0,7.0
83ac86fffffffff,7.0,0.0,7.0
83ac96fffffffff,11.0,0.0,11.0
83aca1fffffffff,2.0,0.0,2.0
83aca2fffffffff,4.0,0.0,3.0
83aca3fffffffff,21.0,0.0,15.0
83aca4fffffffff,2.0,0.0,2.0
83aca6fffffffff,8.0,0.0,6.0
83acb1fffffffff,7.0,0.0,6.0
83acb3fffffffff,4.0,0.0,2.0
83ad32fffffffff,12.0,0.0,12.0
83ad36fffffffff,24.0,0.0,22.0
83bc09fffffffff,3.0,0.0,1.0
83bc0bfffffffff,6.0,0.0,6.0
83bc19fffffffff,4.0,0.0,4.0
83bc1bfffffffff,11.0,0.0,8.0
83bc41fffffffff,2.0,0.0,2.0
83bc42fffffffff,2.0,0.0,2.0
83bc45fffffffff,3.0,0.0,3.0
83bc46fffffffff,8.0,0.0,6.0
83bc48fffffffff,1.0,0.0,1.0
83bc49fffffffff,2.0,0.0,1.0
83bc4dfffffffff,4.0,0.0,4.0
83bc54fffffffff,2.0,0.0,0.0
83bc68fffffffff,17.0,0.0,13.0
83bc69fffffffff,2.0,0.0,2.0
83bc6afffffffff,32.0,0.0,30.0
83bc6bfffffffff,3.0,0.0,3.0
83bc71fffffffff,3.0,0.0,3.0
83bc73fffffffff,8.0,0.0,8.0
83bc89fffffffff,2.0,0.0,2.0
83bc99fffffffff,13.0,0.0,9.0
83bcc1fffffffff,2.0,0.0,0.0
83bcc2fffffffff,1.0,0.0,1.0
83bcc3fffffffff,54.0,0.0,49.0
83bcc4fffffffff,6.0,0.0,6.0
83bcc6fffffffff,1.0,0.0,1.0
83bccafffffffff,4.0,0.0,4.0
83bccefffffffff,2.0,0.0,0.0
83bcd0fffffffff,79.0,0.0,54.0
83bcd1fffffffff,13.0,0.0,13.0
83bcd2fffffffff,64.0,0.0,58.0
83bcd3fffffffff,20.0,0.0,14.0
83bcd4fffffffff,10.0,0.0,10.0
83bcd5fffffffff,1.0,0.0,1.0
83bcd6fffffffff,33.0,0.0,28.0
83bcd8fffffffff,8.0,0.0,8.0
83bcd9fffffffff,6.0,0.0,6.0
83bcdafffffffff,3.0,0.0,3.0
83bcdcfffffffff,110.0,0.0,102.0
83bcddfffffffff,5.0,0.0,4.0
83bcdefffffffff,7.0,0.0,7.0
83bce6fffffffff,24.0,0.0,24.0
83bce8fffffffff,2.0,0.0,1.0
83bce9fffffffff,1.0,0.0,1.0
83bceafffffffff,3.0,0.0,3.0
83bcf0fffffffff,7.0,0.0,6.0
83bcf1fffffffff,7.0,0.0,6.0
83bcf2fffffffff,133.0,0.0,113.0
83bcf3fffffffff,1.0,0.0,1.0
83bcf4fffffffff,19.0,0.0,17.0
83bcf5fffffffff,115.0,0.0,98.0
83bcf6fffffffff,81.0,0.0,65.0
