cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
834842fffffffff,69.0,0.0,0.0
834843fffffffff,38.0,0.0,0.0
834846fffffffff,41.0,0.0,0.0
83484afffffffff,122.0,0.0,0.0
834850fffffffff,7.0,0.0,0.0
834852fffffffff,43.0,0.0,0.0
834853fffffffff,5.0,0.0,0.0
834854fffffffff,13.0,0.0,0.0
834855fffffffff,123.0,0.0,0.0
834856fffffffff,476.0,0.0,0.0
834858fffffffff,48.0,0.0,0.0
834859fffffffff,208.0,0.0,0.0
83485afffffffff,139.0,0.0,0.0
83485bfffffffff,422.0,0.0,0.0
83485cfffffffff,97.0,0.0,0.0
83485dfffffffff,206.0,0.0,0.0
83485efffffffff,112.0,0.0,0.0
834870fffffffff,2.0,0.0,0.0
834871fffffffff,171.0,0.0,0.0
834872fffffffff,414.0,0.0,9.0
834873fffffffff,259.0,0.0,0.0
834876fffffffff,18.0,0.0,0.0
834880fffffffff,748.0,0.0,0.0
834881fffffffff,66.0,0.0,0.0
834882fffffffff,527.0,0.0,0.0
834883fffffffff,902.0,0.0,0.0
834884fffffffff,81.0,0.0,0.0
834885fffffffff,9.0,0.0,0.0
834886fffffffff,637.0,0.0,0.0
834888fffffffff,423.0,0.0,0.0
834889fffffffff,215.0,0.0,0.0
83488afffffffff,250.0,0.0,0.0
83488bfffffffff,688.0,0.0,0.0
83488cfffffffff,137.0,0.0,0.0
83488dfffffffff,1386.0,0.0,0.0
83488efffffffff,946.0,0.0,0.0
834891fffffffff,19.0,0.0,0.0
834895fffffffff,87.0,0.0,0.0
834898fffffffff,78.0,0.0,0.0
834899fffffffff,77.0,0.0,0.0
83489cfffffffff,13.0,0.0,0.0
83489dfffffffff,46.0,0.0,0.0
8348a0fffffffff,205.0,0.0,0.0
8348a1fffffffff,2.0,0.0,0.0
8348a2fffffffff,226.0,0.0,0.0
8348a3fffffffff,12.0,0.0,0.0
8348a6fffffffff,317.0,0.0,0.0
8348aafffffffff,4.0,0.0,0.0
8348abfffffffff,4382.0,0.0,0.0
8348acfffffffff,5.0,0.0,0.0
8348aefffffffff,5.0,0.0,0.0
8348b1fffffffff,2020.0,0.0,0.0
8348b2fffffffff,386.0,0.0,0.0
8348b3fffffffff,1097.0,0.0,0.0
8348b5fffffffff,4.0,0.0,0.0
8348c0fffffffff,557.0,0.0,0.0
8348c1fffffffff,42.0,0.0,0.0
8348c2fffffffff,151.0,0.0,0.0
8348c3fffffffff,94.0,0.0,0.0
8348c4fffffffff,37.0,0.0,0.0
8348c5fffffffff,12289.0,0.0,0.0
8348c6fffffffff,1642.0,0.0,0.0
8348ccfffffffff,17.0,0.0,0.0
8348cdfffffffff,118.0,0.0,0.0
8348d0fffffffff,32.0,0.0,0.0
8348d1fffffffff,33.0,0.0,0.0
8348d2fffffffff,9.0,0.0,0.0
8348d3fffffffff,20.0,0.0,0.0
8348d4fffffffff,226.0,0.0,0.0
8348d5fffffffff,79.0,0.0,0.0
8348d6fffffffff,50.0,0.0,0.0
8348d8fffffffff,750.0,0.0,0.0
8348dafffffffff,10.0,0.0,0.0
8348dcfffffffff,112.0,0.0,0.0
8348ddfffffffff,37.0,0.0,0.0
8348defffffffff,43.0,0.0,0.0
8348e0fffffffff,12.0,0.0,0.0
8348e1fffffffff,55.0,0.0,0.0
8348e2fffffffff,14.0,0.0,0.0
8348e3fffffffff,586.0,0.0,0.0
8348e4fffffffff,18.0,0.0,0.0
8348e5fffffffff,178.0,0.0,0.0
8348e8fffffffff,32087.0,0.0,0.0
8348e9fffffffff,669.0,0.0,0.0
8348eafffffffff,1489.0,0.0,0.0
8348ebfffffffff,7180.0,0.0,0.0
8348ecfffffffff,2557.0,0.0,0.0
8348edfffffffff,1124.0,0.0,0.0
8348eefffffffff,9735.0,0.0,0.0
8348f0fffffffff,3.0,0.0,0.0
8348f2fffffffff,1979.0,0.0,0.0
8348f3fffffffff,178.0,0.0,0.0
8348f4fffffffff,8.0,0.0,0.0
8348f5fffffffff,13.0,0.0,0.0
8348f6fffffffff,528.0,0.0,0.0
834980fffffffff,62.0,0.0,0.0
834981fffffffff,13.0,0.0,0.0
834982fffffffff,378.0,7.0,0.0
834983fffffffff,453.0,2.0,0.0
834988fffffffff,251.0,0.0,0.0
83498afffffffff,6.0,0.0,0.0
83498bfffffffff,20.0,0.0,0.0
83498cfffffffff,23.0,0.0,0.0
83498efffffffff,221.0,0.0,0.0
834991fffffffff,16.0,0.0,0.0
834995fffffffff,629.0,0.0,0.0
834998fffffffff,4.0,0.0,0.0
834999fffffffff,5.0,0.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499cfffffffff,16.0,0.0,0.0
83499dfffffffff,44.0,0.0,0.0
8349aafffffffff,5.0,0.0,0.0
