cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
8466b1dffffffff,2.0,2.0,0.0
8466b41ffffffff,245.0,0.0,0.0
8466b43ffffffff,100.0,0.0,0.0
8466b45ffffffff,17.0,0.0,0.0
8466b47ffffffff,38.0,0.0,0.0
8466b49ffffffff,94.0,0.0,0.0
8466b4dffffffff,355.0,0.0,0.0
8466b51ffffffff,838.0,30.0,0.0
8466b53ffffffff,162.0,12.0,0.0
8466b55ffffffff,1790.0,0.0,0.0
8466b57ffffffff,16.0,0.0,0.0
8466b5bffffffff,257.0,17.0,0.0
8466b5dffffffff,156.0,0.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d07ffffffff,40.0,0.0,18.0
8466d0bffffffff,1.0,0.0,0.0
8466d23ffffffff,9.0,0.0,8.0
8466d27ffffffff,7.0,0.0,1.0
8466d35ffffffff,6.0,0.0,0.0
8466f03ffffffff,7.0,0.0,0.0
8466f0bffffffff,7.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
8466f35ffffffff,2.0,0.0,0.0
8466f57ffffffff,7.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
8467941ffffffff,2.0,0.0,0.0
8467945ffffffff,3.0,0.0,0.0
8467961ffffffff,58.0,0.0,0.0
84679a5ffffffff,67.0,0.0,0.0
846d049ffffffff,6.0,0.0,0.0
846d04bffffffff,8.0,0.0,0.0
846d059ffffffff,56.0,5.0,0.0
846d05bffffffff,393.0,162.0,0.0
846d141ffffffff,4.0,0.0,0.0
846d149ffffffff,1.0,0.0,0.0
846d14bffffffff,1.0,1.0,0.0
846d207ffffffff,7.0,0.0,0.0
846d219ffffffff,1.0,0.0,0.0
846d21bffffffff,23.0,14.0,0.0
846d223ffffffff,27.0,2.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d237ffffffff,2.0,2.0,0.0
846d23dffffffff,148.0,31.0,0.0
846d283ffffffff,6.0,0.0,0.0
846d287ffffffff,65.0,0.0,0.0
846d291ffffffff,5.0,0.0,0.0
846d293ffffffff,2.0,0.0,0.0
846d295ffffffff,336.0,0.0,0.0
846d297ffffffff,67.0,0.0,0.0
846d2a1ffffffff,2.0,0.0,0.0
846d2a9ffffffff,67.0,7.0,0.0
846d2abffffffff,46.0,0.0,0.0
846d2adffffffff,3.0,0.0,0.0
846d2b9ffffffff,1348.0,0.0,0.0
846d2bdffffffff,14.0,0.0,0.0
846d2c1ffffffff,3.0,3.0,0.0
846d2c3ffffffff,8.0,0.0,0.0
846d2c5ffffffff,2.0,0.0,0.0
846d2c7ffffffff,43.0,0.0,0.0
846d2c9ffffffff,22.0,8.0,0.0
846d2cbffffffff,7.0,2.0,0.0
846d2d1ffffffff,63.0,0.0,0.0
846d2d3ffffffff,19.0,0.0,0.0
846d2d7ffffffff,9.0,0.0,0.0
846d2ddffffffff,4.0,0.0,0.0
846d2e3ffffffff,1.0,0.0,0.0
846d2e5ffffffff,41.0,14.0,0.0
846d2ebffffffff,13.0,0.0,0.0
846d303ffffffff,35.0,0.0,0.0
846d305ffffffff,164.0,16.0,0.0
846d307ffffffff,20.0,8.0,0.0
846d30dffffffff,52.0,6.0,0.0
846d315ffffffff,10.0,0.0,0.0
846d319ffffffff,3.0,2.0,0.0
846d323ffffffff,2.0,0.0,0.0
846d325ffffffff,1.0,0.0,0.0
846d32bffffffff,200.0,12.0,0.0
846d333ffffffff,5.0,0.0,0.0
846d335ffffffff,44.0,16.0,0.0
846d337ffffffff,638.0,81.0,0.0
846d34bffffffff,38.0,7.0,0.0
846d35bffffffff,4.0,0.0,0.0
846d35dffffffff,272.0,24.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d363ffffffff,8.0,0.0,0.0
846d369ffffffff,1.0,0.0,0.0
846d36dffffffff,51.0,1.0,0.0
846d609ffffffff,4.0,0.0,0.0
846d61bffffffff,3.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0
846d653ffffffff,24.0,0.0,0.0
846d655ffffffff,59.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,5.0,0.0,0.0
846d681ffffffff,117.0,0.0,0.0
846d689ffffffff,8.0,0.0,0.0
846d68bffffffff,407.0,0.0,0.0
846d68dffffffff,18.0,0.0,0.0
846d691ffffffff,530.0,0.0,0.0
846d693ffffffff,32.0,0.0,0.0
846d695ffffffff,11.0,0.0,0.0
846d697ffffffff,1.0,0.0,0.0
846d699ffffffff,5.0,0.0,0.0
846d69bffffffff,84.0,0.0,0.0
846d69dffffffff,3709.0,0.0,0.0
846d6d5ffffffff,8.0,0.0,0.0
846d741ffffffff,129.0,0.0,0.0
846d743ffffffff,2.0,0.0,0.0
846d745ffffffff,31.0,0.0,0.0
846d749ffffffff,11.0,0.0,0.0
846d74bffffffff,100.0,0.0,0.0
846d759ffffffff,5.0,0.0,0.0
