cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
8312c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,446.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,664.0,0.0,0.0,31.0,0.0,0.0
8312ccfffffffff,8650.0,0.0,0.0,0.0,0.0,0.0
8312cdfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,95.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,184.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,632.0,0.0,0.0,2.0,0.0,0.0
8312d2fffffffff,124.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,542.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
8312d5fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,276.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,415.0,0.0,0.0,1.0,0.0,0.0
8312d9fffffffff,332.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,391.0,0.0,0.0,11.0,0.0,0.0
8312dbfffffffff,824.0,0.0,0.0,65.0,0.0,0.0
8312dcfffffffff,185.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,2260.0,0.0,0.0,2.0,0.0,0.0
8312defffffffff,972.0,0.0,0.0,29.0,0.0,0.0
8312e0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8312e1fffffffff,894.0,0.0,0.0,0.0,0.0,0.0
8312e2fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8312e3fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8312e4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312e5fffffffff,94.0,0.0,0.0,0.0,0.0,0.0
8312e6fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8312e8fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
8312e9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,138.0,0.0,0.0,0.0,0.0,0.0
8312ebfffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8312ecfffffffff,1851.0,0.0,0.0,0.0,0.0,0.0
8312edfffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8312eefffffffff,173.0,0.0,0.0,0.0,0.0,0.0
8312f0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
