cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
84441a9ffffffff,4.0,0.0,0.0,2.0,0.0
84441abffffffff,4.0,0.0,0.0,0.0,0.0
84441b3ffffffff,4.0,0.0,0.0,2.0,0.0
84441b7ffffffff,7.0,0.0,0.0,5.0,0.0
84441e7ffffffff,1.0,0.0,0.0,0.0,0.0
8444509ffffffff,5.0,0.0,0.0,5.0,0.0
844450dffffffff,1.0,0.0,0.0,1.0,0.0
8444555ffffffff,2.0,0.0,0.0,0.0,0.0
8444559ffffffff,2.0,0.0,0.0,0.0,0.0
844455bffffffff,12.0,0.0,0.0,0.0,0.0
8444567ffffffff,1.0,0.0,0.0,0.0,0.0
8444633ffffffff,1.0,0.0,0.0,0.0,0.0
84446c1ffffffff,18.0,0.0,0.0,1.0,0.0
84446c5ffffffff,6.0,0.0,0.0,6.0,0.0
84446e5ffffffff,6.0,0.0,0.0,4.0,0.0
84446e9ffffffff,4.0,0.0,0.0,0.0,0.0
8444713ffffffff,1.0,0.0,0.0,0.0,0.0
8444717ffffffff,2.0,0.0,0.0,0.0,0.0
8444731ffffffff,2.0,0.0,0.0,0.0,0.0
844473bffffffff,7.0,0.0,0.0,0.0,0.0
8444a11ffffffff,4.0,0.0,0.0,0.0,0.0
8444a5bffffffff,2.0,0.0,0.0,0.0,0.0
8444a81ffffffff,2.0,0.0,0.0,0.0,0.0
8444a8dffffffff,4.0,0.0,0.0,0.0,0.0
8444ae9ffffffff,14.0,4.0,0.0,0.0,0.0
8444d01ffffffff,6.0,2.0,0.0,0.0,0.0
8444d07ffffffff,8.0,0.0,0.0,0.0,0.0
8444d0bffffffff,1.0,0.0,0.0,0.0,0.0
8444d2bffffffff,2.0,0.0,0.0,0.0,0.0
8444d55ffffffff,1.0,0.0,0.0,0.0,0.0
8444d5dffffffff,8.0,0.0,0.0,0.0,0.0
8444e47ffffffff,2.0,0.0,0.0,0.0,0.0
8444e67ffffffff,2.0,0.0,0.0,0.0,0.0
8444f05ffffffff,4.0,4.0,0.0,0.0,0.0
8444f07ffffffff,5.0,0.0,0.0,0.0,0.0
8444f31ffffffff,26.0,2.0,0.0,0.0,0.0
8444f37ffffffff,6.0,0.0,0.0,0.0,0.0
8444f3dffffffff,18.0,0.0,0.0,0.0,0.0
8444f59ffffffff,4.0,0.0,0.0,2.0,0.0
8444f63ffffffff,6.0,0.0,0.0,0.0,0.0
8448903ffffffff,1.0,0.0,0.0,1.0,0.0
844890bffffffff,4.0,0.0,0.0,2.0,0.0
8448939ffffffff,7.0,0.0,0.0,0.0,0.0
844893dffffffff,3.0,0.0,0.0,0.0,0.0
8448951ffffffff,14.0,0.0,0.0,0.0,0.0
8448955ffffffff,17.0,0.0,0.0,0.0,0.0
8448957ffffffff,6.0,0.0,0.0,0.0,0.0
8448b23ffffffff,52.0,0.0,0.0,10.0,0.0
8448b2bffffffff,7.0,0.0,0.0,0.0,0.0
8448b35ffffffff,51.0,0.0,0.0,0.0,0.0
8448b3dffffffff,25.0,0.0,0.0,0.0,0.0
