cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
8340a1fffffffff,8.0,0.0,0.0,0.0
8340a4fffffffff,13.0,0.0,0.0,0.0
8340a5fffffffff,2.0,0.0,0.0,0.0
8340a6fffffffff,32.0,3.0,0.0,0.0
8340a8fffffffff,3.0,0.0,0.0,0.0
8340acfffffffff,7.0,1.0,0.0,0.0
8340aefffffffff,2.0,0.0,0.0,0.0
8340b2fffffffff,2.0,0.0,0.0,0.0
8340b5fffffffff,88.0,0.0,0.0,0.0
8340c4fffffffff,9.0,0.0,0.0,0.0
8340c6fffffffff,13.0,0.0,0.0,0.0
8340d0fffffffff,4.0,0.0,0.0,0.0
8340e0fffffffff,2.0,0.0,0.0,0.0
8340e1fffffffff,108.0,16.0,0.0,0.0
8340e2fffffffff,18.0,0.0,0.0,0.0
8340e3fffffffff,295.0,44.0,0.0,0.0
8340e5fffffffff,12.0,1.0,0.0,0.0
8340e6fffffffff,1.0,1.0,0.0,0.0
8340ecfffffffff,5.0,2.0,0.0,0.0
8340eefffffffff,5.0,0.0,0.0,0.0
8340f1fffffffff,3.0,0.0,0.0,0.0
8340f3fffffffff,1.0,0.0,0.0,0.0
834103fffffffff,635.0,73.0,4.0,0.0
834108fffffffff,14.0,2.0,3.0,0.0
834109fffffffff,39.0,0.0,12.0,0.0
83410afffffffff,2.0,0.0,0.0,0.0
83410efffffffff,4.0,0.0,0.0,0.0
834110fffffffff,11.0,0.0,0.0,0.0
834111fffffffff,20.0,2.0,0.0,0.0
834112fffffffff,12.0,0.0,0.0,0.0
834116fffffffff,8.0,0.0,0.0,0.0
834118fffffffff,124.0,5.0,0.0,0.0
834119fffffffff,41.0,0.0,0.0,0.0
83411afffffffff,16.0,4.0,0.0,0.0
83411bfffffffff,4.0,0.0,0.0,0.0
83411cfffffffff,4635.0,1432.0,0.0,0.0
83411dfffffffff,225.0,12.0,5.0,0.0
83411efffffffff,4.0,0.0,0.0,0.0
834133fffffffff,1.0,0.0,0.0,0.0
834142fffffffff,46.0,0.0,4.0,0.0
834143fffffffff,25.0,1.0,4.0,0.0
834150fffffffff,8.0,0.0,4.0,0.0
834152fffffffff,5.0,0.0,0.0,0.0
834153fffffffff,7.0,0.0,5.0,0.0
834154fffffffff,47.0,4.0,28.0,0.0
83415cfffffffff,5.0,0.0,0.0,0.0
83415efffffffff,34.0,10.0,4.0,0.0
834160fffffffff,2.0,0.0,0.0,0.0
83416afffffffff,1.0,0.0,0.0,0.0
834170fffffffff,22.0,0.0,16.0,0.0
834171fffffffff,298.0,3.0,198.0,0.0
834172fffffffff,48.0,0.0,27.0,0.0
834173fffffffff,67.0,1.0,55.0,0.0
834174fffffffff,4.0,0.0,4.0,0.0
834175fffffffff,29.0,0.0,15.0,0.0
834176fffffffff,2.0,0.0,2.0,0.0
834182fffffffff,3.0,0.0,0.0,0.0
834183fffffffff,79.0,6.0,0.0,0.0
834184fffffffff,7.0,0.0,0.0,0.0
834185fffffffff,59.0,0.0,0.0,0.0
834186fffffffff,8.0,0.0,0.0,0.0
834189fffffffff,27.0,1.0,0.0,0.0
83418afffffffff,1.0,1.0,0.0,0.0
83418bfffffffff,14.0,0.0,0.0,0.0
83418cfffffffff,2.0,0.0,0.0,0.0
83418dfffffffff,2.0,0.0,0.0,0.0
83418efffffffff,7.0,0.0,0.0,0.0
834190fffffffff,33.0,17.0,0.0,0.0
834191fffffffff,168.0,18.0,0.0,0.0
834192fffffffff,246.0,131.0,0.0,0.0
834193fffffffff,7.0,2.0,0.0,0.0
834194fffffffff,20.0,9.0,0.0,0.0
834195fffffffff,4.0,3.0,0.0,0.0
834196fffffffff,6.0,3.0,0.0,0.0
834198fffffffff,4.0,0.0,0.0,0.0
834199fffffffff,4.0,0.0,0.0,0.0
83419afffffffff,8.0,2.0,0.0,0.0
83419bfffffffff,8.0,0.0,0.0,0.0
83419cfffffffff,7.0,0.0,0.0,0.0
83419dfffffffff,121.0,8.0,0.0,0.0
83419efffffffff,8.0,3.0,0.0,0.0
8341a0fffffffff,779.0,356.0,0.0,0.0
8341a2fffffffff,2.0,2.0,0.0,0.0
8341a3fffffffff,5.0,1.0,0.0,0.0
8341a4fffffffff,4828.0,2430.0,0.0,0.0
8341a5fffffffff,5264.0,2966.0,0.0,0.0
8341a6fffffffff,7.0,0.0,0.0,0.0
8341a9fffffffff,6.0,0.0,0.0,0.0
8341abfffffffff,6.0,0.0,0.0,0.0
8341adfffffffff,3.0,0.0,0.0,0.0
8341b0fffffffff,3.0,0.0,0.0,0.0
8341b1fffffffff,1.0,1.0,0.0,0.0
8341b2fffffffff,42.0,12.0,0.0,0.0
8341b3fffffffff,33.0,16.0,0.0,0.0
8341b4fffffffff,5270.0,1426.0,0.0,0.0
8341b5fffffffff,4544.0,1118.0,0.0,0.0
8341b6fffffffff,45.0,38.0,0.0,0.0
834a24fffffffff,16.0,0.0,0.0,0.0
834a26fffffffff,307.0,0.0,0.0,21.0
834b12fffffffff,16.0,0.0,0.0,0.0
834b19fffffffff,6.0,0.0,0.0,0.0
834b30fffffffff,96.0,56.0,0.0,0.0
834b32fffffffff,32.0,16.0,0.0,0.0
834b34fffffffff,69.0,42.0,0.0,0.0
834b35fffffffff,72.0,36.0,0.0,0.0
834b36fffffffff,13.0,2.0,0.0,0.0
834b84fffffffff,7.0,0.0,0.0,0.0
834b86fffffffff,135.0,0.0,0.0,14.0
834ba0fffffffff,32864.0,0.0,0.0,2955.0
834ba1fffffffff,10722.0,0.0,0.0,1058.0
834ba2fffffffff,40370.0,0.0,0.0,2650.0
834ba3fffffffff,1928.0,0.0,0.0,152.0
834ba5fffffffff,5453.0,0.0,0.0,587.0
834ba6fffffffff,1195.0,0.0,0.0,76.0
834ba8fffffffff,53.0,0.0,0.0,3.0
834baefffffffff,4.0,0.0,0.0,0.0
834bb1fffffffff,19459.0,0.0,0.0,3000.0
834bb5fffffffff,13695.0,0.0,0.0,2888.0
