cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
84265b5ffffffff,6.0,0.0,0.0,0.0
84265dbffffffff,2.0,0.0,0.0,0.0
84265e7ffffffff,2.0,0.0,0.0,2.0
8426607ffffffff,2.0,0.0,0.0,0.0
8426611ffffffff,2.0,0.0,0.0,0.0
842661bffffffff,2.0,0.0,0.0,0.0
8426621ffffffff,2.0,0.0,0.0,0.0
8426623ffffffff,2.0,0.0,0.0,0.0
8426625ffffffff,7.0,0.0,0.0,0.0
8426641ffffffff,3.0,0.0,0.0,0.0
8426645ffffffff,4.0,0.0,0.0,0.0
8426647ffffffff,4.0,0.0,0.0,2.0
842664bffffffff,4.0,0.0,0.0,0.0
842664dffffffff,62.0,0.0,0.0,6.0
8426657ffffffff,1.0,0.0,0.0,0.0
842665bffffffff,7.0,0.0,0.0,0.0
8426661ffffffff,2.0,0.0,0.0,0.0
8426665ffffffff,2.0,0.0,0.0,0.0
8426669ffffffff,29.0,0.0,0.0,2.0
842666bffffffff,4.0,0.0,0.0,0.0
8426689ffffffff,1.0,0.0,0.0,0.0
842669bffffffff,6.0,0.0,0.0,0.0
84266a1ffffffff,2.0,0.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0,0.0
84266b3ffffffff,2.0,0.0,0.0,0.0
84266c5ffffffff,5.0,0.0,0.0,0.0
84266cdffffffff,7.0,0.0,0.0,0.0
84266d5ffffffff,3.0,0.0,0.0,0.0
84266dbffffffff,4.0,0.0,0.0,0.0
84266e1ffffffff,2.0,0.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0,0.0
8426745ffffffff,7.0,0.0,0.0,0.0
8426747ffffffff,7.0,0.0,0.0,0.0
8426759ffffffff,3.0,0.0,0.0,0.0
842675dffffffff,2.0,0.0,0.0,0.0
842680bffffffff,1.0,0.0,0.0,0.0
8426811ffffffff,3.0,0.0,0.0,0.0
8426813ffffffff,18.0,0.0,3.0,0.0
8426817ffffffff,2.0,0.0,1.0,0.0
8426819ffffffff,30.0,0.0,5.0,0.0
842681bffffffff,51.0,0.0,0.0,0.0
8426833ffffffff,7.0,0.0,0.0,0.0
8426837ffffffff,1.0,0.0,0.0,0.0
842683bffffffff,2.0,0.0,0.0,0.0
8426853ffffffff,12.0,0.0,0.0,0.0
8426857ffffffff,2.0,0.0,1.0,0.0
8426859ffffffff,10.0,0.0,0.0,0.0
8426881ffffffff,44.0,2.0,4.0,2.0
8426885ffffffff,1.0,0.0,0.0,0.0
8426887ffffffff,4.0,0.0,0.0,0.0
8426889ffffffff,24.0,2.0,4.0,0.0
842688bffffffff,1.0,0.0,0.0,0.0
842688dffffffff,8.0,0.0,0.0,0.0
8426893ffffffff,11.0,2.0,3.0,0.0
842689dffffffff,6.0,0.0,0.0,0.0
84268a3ffffffff,2.0,2.0,0.0,0.0
84268a9ffffffff,2.0,0.0,0.0,0.0
84268abffffffff,2.0,0.0,2.0,0.0
84268adffffffff,3.0,1.0,2.0,0.0
84268bbffffffff,1.0,0.0,0.0,0.0
84268c5ffffffff,6.0,0.0,0.0,0.0
84268c7ffffffff,14.0,2.0,0.0,0.0
84268cdffffffff,105.0,2.0,4.0,0.0
84268d1ffffffff,3.0,0.0,0.0,1.0
84268d3ffffffff,2.0,0.0,0.0,0.0
84268d5ffffffff,21.0,8.0,2.0,1.0
84268d7ffffffff,4.0,0.0,0.0,0.0
84268dbffffffff,7.0,0.0,2.0,0.0
84268e3ffffffff,3.0,0.0,0.0,0.0
84268e7ffffffff,3.0,0.0,0.0,0.0
84268e9ffffffff,2.0,0.0,0.0,0.0
84268edffffffff,2.0,0.0,0.0,0.0
8426905ffffffff,6.0,0.0,0.0,0.0
8426909ffffffff,2.0,0.0,2.0,0.0
842691bffffffff,4.0,0.0,0.0,0.0
842692bffffffff,1.0,0.0,0.0,0.0
8426943ffffffff,2.0,0.0,0.0,0.0
8426953ffffffff,2.0,0.0,0.0,0.0
8426955ffffffff,2.0,0.0,0.0,0.0
8426961ffffffff,92.0,0.0,9.0,0.0
8426963ffffffff,24.0,0.0,5.0,0.0
8426967ffffffff,1.0,0.0,0.0,0.0
