cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
84be549ffffffff,4.0,0.0,4.0
84be54dffffffff,4.0,0.0,4.0
84be551ffffffff,5.0,0.0,5.0
84be557ffffffff,2.0,0.0,2.0
84be55dffffffff,4.0,0.0,4.0
84be561ffffffff,14.0,0.0,14.0
84be565ffffffff,5.0,0.0,5.0
84be569ffffffff,14.0,0.0,14.0
84be56bffffffff,2.0,0.0,2.0
84be5d3ffffffff,2.0,0.0,2.0
84be601ffffffff,5.0,0.0,5.0
84be605ffffffff,57.0,0.0,57.0
84be607ffffffff,167.0,0.0,167.0
84be60dffffffff,57.0,0.0,57.0
84be613ffffffff,61.0,0.0,61.0
84be617ffffffff,278.0,0.0,278.0
84be621ffffffff,49.0,0.0,49.0
84be623ffffffff,516.0,0.0,513.0
84be625ffffffff,4.0,0.0,4.0
84be627ffffffff,81.0,0.0,80.0
84be629ffffffff,216.0,0.0,216.0
84be62bffffffff,303.0,0.0,301.0
84be62dffffffff,19.0,0.0,19.0
84be631ffffffff,397.0,0.0,397.0
84be633ffffffff,399.0,0.0,397.0
84be635ffffffff,674.0,0.0,673.0
84be637ffffffff,78.0,0.0,78.0
84be639ffffffff,167.0,0.0,167.0
84be63bffffffff,786.0,0.0,786.0
84be63dffffffff,932.0,0.0,932.0
84be661ffffffff,14.0,0.0,14.0
84be663ffffffff,118.0,0.0,118.0
84be667ffffffff,39.0,0.0,39.0
84be681ffffffff,12.0,0.0,12.0
84be683ffffffff,59.0,0.0,59.0
84be68dffffffff,56.0,0.0,56.0
84be695ffffffff,31.0,18.0,13.0
84be6a1ffffffff,70.0,0.0,69.0
84be6a3ffffffff,2.0,0.0,2.0
84be6a5ffffffff,10.0,0.0,10.0
84be6a7ffffffff,10.0,0.0,10.0
84be6a9ffffffff,8.0,0.0,8.0
84be6adffffffff,16.0,0.0,16.0
84be6b1ffffffff,47.0,31.0,13.0
84be6b3ffffffff,8.0,6.0,0.0
84be6b5ffffffff,7.0,0.0,7.0
84be6b7ffffffff,9.0,4.0,3.0
84be6b9ffffffff,5.0,0.0,5.0
84be6bbffffffff,50.0,47.0,2.0
84be6bdffffffff,1.0,0.0,1.0
84be6c5ffffffff,6.0,0.0,6.0
84be6e1ffffffff,12.0,0.0,12.0
84be6e5ffffffff,83.0,0.0,83.0
84be6e9ffffffff,195.0,0.0,195.0
84be6ebffffffff,45.0,0.0,44.0
84be6edffffffff,127.0,0.0,127.0
84be701ffffffff,12.0,0.0,12.0
84be703ffffffff,5.0,0.0,5.0
84be705ffffffff,6.0,0.0,6.0
84be707ffffffff,6.0,0.0,6.0
84be709ffffffff,2.0,0.0,2.0
84be70dffffffff,5.0,0.0,5.0
84be711ffffffff,17.0,0.0,17.0
84be713ffffffff,125.0,0.0,125.0
84be715ffffffff,9.0,0.0,9.0
84be717ffffffff,272.0,0.0,272.0
84be719ffffffff,3.0,0.0,3.0
84be71bffffffff,53.0,0.0,53.0
84be71dffffffff,26.0,0.0,26.0
84be721ffffffff,241.0,0.0,241.0
84be723ffffffff,11.0,0.0,11.0
84be725ffffffff,204.0,0.0,204.0
84be727ffffffff,4.0,0.0,4.0
84be729ffffffff,54.0,0.0,54.0
84be72bffffffff,4.0,0.0,4.0
84be72dffffffff,1859.0,0.0,1858.0
84be735ffffffff,15.0,0.0,15.0
84be737ffffffff,9.0,0.0,9.0
84be739ffffffff,14.0,0.0,14.0
84be73bffffffff,19.0,0.0,19.0
84be741ffffffff,133.0,0.0,133.0
84be743ffffffff,36.0,0.0,36.0
84be745ffffffff,50.0,0.0,50.0
84be747ffffffff,20.0,0.0,20.0
84be749ffffffff,130.0,0.0,130.0
84be74bffffffff,400.0,0.0,400.0
84be74dffffffff,714.0,0.0,714.0
84be751ffffffff,239.0,0.0,237.0
84be753ffffffff,3.0,0.0,3.0
84be755ffffffff,23.0,0.0,23.0
84be757ffffffff,2.0,0.0,2.0
84be759ffffffff,87.0,0.0,87.0
84be75bffffffff,28.0,0.0,28.0
84be75dffffffff,259.0,0.0,259.0
84be761ffffffff,2.0,0.0,2.0
84be763ffffffff,1.0,0.0,1.0
84be765ffffffff,20.0,0.0,20.0
84be767ffffffff,16.0,0.0,16.0
84be769ffffffff,94.0,0.0,94.0
84be76bffffffff,24.0,0.0,24.0
84be76dffffffff,68.0,0.0,67.0
84be881ffffffff,2.0,0.0,2.0
84be883ffffffff,251.0,0.0,251.0
84be887ffffffff,90.0,0.0,90.0
84be88bffffffff,634.0,0.0,633.0
84be891ffffffff,16.0,0.0,16.0
84be895ffffffff,9.0,0.0,9.0
84be897ffffffff,4.0,0.0,4.0
84be899ffffffff,16.0,0.0,16.0
84be89bffffffff,209.0,0.0,209.0
84be89dffffffff,201.0,0.0,201.0
84be8a3ffffffff,2.0,0.0,2.0
84be8b1ffffffff,3.0,0.0,3.0
84be8b3ffffffff,7.0,0.0,7.0
84be8b5ffffffff,11.0,0.0,11.0
84be8b7ffffffff,25.0,0.0,25.0
84be8b9ffffffff,7.0,0.0,7.0
84be8bdffffffff,9.0,0.0,9.0
84be8d1ffffffff,3890.0,0.0,3890.0
84be8d3ffffffff,152.0,0.0,152.0
