cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
8445287ffffffff,81.0,0.0,14.0,0.0,0.0
8445289ffffffff,360.0,0.0,3.0,0.0,0.0
844528dffffffff,57.0,0.0,1.0,0.0,0.0
8445293ffffffff,1.0,0.0,0.0,0.0,0.0
8445297ffffffff,1.0,0.0,0.0,0.0,0.0
84452a1ffffffff,31.0,0.0,4.0,0.0,0.0
84452a3ffffffff,31.0,0.0,9.0,0.0,0.0
84452a5ffffffff,618.0,0.0,10.0,0.0,0.0
84452a7ffffffff,38.0,0.0,5.0,0.0,0.0
84452a9ffffffff,88.0,0.0,3.0,0.0,0.0
84452abffffffff,21.0,0.0,2.0,0.0,0.0
84452adffffffff,2700.0,0.0,345.0,0.0,0.0
84452b3ffffffff,2.0,0.0,0.0,0.0,0.0
84452b5ffffffff,5.0,0.0,0.0,0.0,0.0
84452b9ffffffff,50.0,0.0,3.0,0.0,0.0
84452bdffffffff,108.0,0.0,5.0,0.0,0.0
84452c1ffffffff,24.0,0.0,0.0,0.0,0.0
84452c3ffffffff,38.0,0.0,0.0,0.0,0.0
84452c5ffffffff,192.0,0.0,33.0,0.0,0.0
84452c7ffffffff,182.0,0.0,0.0,0.0,0.0
84452c9ffffffff,9.0,0.0,2.0,0.0,0.0
84452cbffffffff,3.0,0.0,0.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0,0.0,0.0
84452e1ffffffff,1199.0,0.0,58.0,0.0,0.0
84452e3ffffffff,202.0,0.0,3.0,0.0,0.0
84452e5ffffffff,326.0,0.0,34.0,0.0,0.0
84452e7ffffffff,60.0,0.0,0.0,0.0,0.0
84452e9ffffffff,2.0,0.0,0.0,0.0,0.0
84452ebffffffff,483.0,0.0,82.0,0.0,0.0
84452edffffffff,8.0,0.0,0.0,0.0,0.0
8445313ffffffff,485.0,0.0,0.0,0.0,0.0
8445315ffffffff,2.0,0.0,0.0,0.0,0.0
8445317ffffffff,226.0,0.0,0.0,0.0,0.0
8445319ffffffff,4.0,0.0,0.0,0.0,0.0
844531bffffffff,185.0,0.0,0.0,0.0,0.0
8445321ffffffff,24.0,0.0,0.0,0.0,0.0
844532bffffffff,12.0,0.0,0.0,0.0,0.0
844554dffffffff,4.0,0.0,0.0,0.0,0.0
8445721ffffffff,633.0,0.0,7.0,0.0,0.0
8445723ffffffff,40.0,0.0,0.0,0.0,0.0
8445725ffffffff,451.0,0.0,0.0,0.0,0.0
8445727ffffffff,272.0,0.0,0.0,0.0,0.0
8445729ffffffff,7.0,0.0,0.0,0.0,0.0
844572dffffffff,5.0,0.0,0.0,0.0,0.0
8445749ffffffff,72.0,0.0,0.0,0.0,0.0
844574dffffffff,11.0,0.0,2.0,0.0,0.0
8445761ffffffff,9.0,0.0,0.0,0.0,0.0
8445765ffffffff,1.0,0.0,0.0,0.0,0.0
8445767ffffffff,15.0,0.0,0.0,0.0,0.0
8445769ffffffff,2.0,0.0,0.0,0.0,0.0
8448017ffffffff,4.0,0.0,0.0,0.0,0.0
84480e1ffffffff,3.0,0.0,0.0,0.0,0.0
8448305ffffffff,2.0,0.0,0.0,0.0,0.0
8448329ffffffff,2.0,0.0,0.0,0.0,0.0
844833bffffffff,2.0,0.0,0.0,0.0,0.0
8448361ffffffff,2.0,0.0,0.0,0.0,0.0
8448363ffffffff,193.0,7.0,0.0,0.0,0.0
8448369ffffffff,5.0,0.0,0.0,0.0,0.0
8466b69ffffffff,2.0,0.0,0.0,0.0,0.0
8467801ffffffff,16.0,0.0,0.0,3.0,0.0
8467805ffffffff,57.0,0.0,0.0,10.0,0.0
8467933ffffffff,2.0,0.0,0.0,0.0,0.0
846793bffffffff,7.0,0.0,0.0,0.0,0.0
8467943ffffffff,2.0,0.0,0.0,0.0,0.0
8467945ffffffff,1.0,0.0,0.0,0.0,0.0
846795dffffffff,7.0,0.0,0.0,0.0,0.0
8467963ffffffff,4.0,0.0,0.0,0.0,0.0
84679adffffffff,5.0,0.0,0.0,0.0,0.0
84679edffffffff,3.0,0.0,0.0,0.0,0.0
8467b21ffffffff,1.0,0.0,0.0,0.0,0.0
8467b29ffffffff,1.0,0.0,0.0,0.0,0.0
846d041ffffffff,6.0,0.0,0.0,0.0,0.0
846d043ffffffff,4.0,0.0,0.0,0.0,0.0
846d051ffffffff,12.0,0.0,0.0,0.0,0.0
846d053ffffffff,64.0,0.0,22.0,0.0,0.0
846d05dffffffff,5.0,0.0,0.0,0.0,0.0
846d243ffffffff,14.0,0.0,0.0,0.0,0.0
846d247ffffffff,6.0,0.0,0.0,0.0,0.0
846d251ffffffff,4.0,0.0,0.0,0.0,0.0
846d253ffffffff,2.0,0.0,0.0,0.0,0.0
846d25dffffffff,12.0,0.0,0.0,0.0,0.0
846d2a1ffffffff,4.0,0.0,0.0,0.0,0.0
846d2a3ffffffff,101.0,0.0,3.0,0.0,0.0
846d2b1ffffffff,36.0,0.0,0.0,0.0,0.0
846d2b3ffffffff,37.0,0.0,0.0,0.0,0.0
846d2b5ffffffff,3.0,0.0,0.0,0.0,0.0
846d2bbffffffff,13.0,0.0,0.0,0.0,0.0
846d601ffffffff,10.0,0.0,0.0,0.0,0.0
846d605ffffffff,79.0,0.0,0.0,0.0,0.0
846d607ffffffff,3.0,0.0,0.0,0.0,0.0
846d60dffffffff,57.0,0.0,0.0,0.0,0.0
846d615ffffffff,2.0,0.0,0.0,0.0,0.0
846d639ffffffff,2.0,0.0,0.0,0.0,0.0
846d661ffffffff,17.0,0.0,0.0,0.0,0.0
846d663ffffffff,42.0,0.0,0.0,0.0,0.0
846d667ffffffff,21.0,0.0,0.0,0.0,0.0
846d683ffffffff,17.0,0.0,0.0,0.0,0.0
846d687ffffffff,4.0,0.0,0.0,0.0,0.0
846d695ffffffff,351.0,0.0,0.0,0.0,0.0
846d697ffffffff,1071.0,0.0,0.0,0.0,0.0
846d6abffffffff,13.0,0.0,0.0,0.0,0.0
846d6b1ffffffff,2.0,0.0,0.0,0.0,0.0
846d6b9ffffffff,99.0,0.0,0.0,0.0,0.0
846d6bbffffffff,250.0,0.0,0.0,0.0,0.0
846d6bdffffffff,20.0,0.0,0.0,0.0,0.0
846d745ffffffff,71.0,0.0,0.0,0.0,0.0
846d747ffffffff,7.0,0.0,0.0,0.0,0.0
846d751ffffffff,33.0,0.0,0.0,0.0,0.0
846d75bffffffff,27.0,0.0,0.0,0.0,0.0
846d75dffffffff,61.0,0.0,0.0,0.0,0.0
846d769ffffffff,64.0,0.0,0.0,0.0,0.0
846d76dffffffff,37.0,0.0,0.0,0.0,0.0
