cell_id,Chiroxiphia pareola,Chiroxiphia pareola pareola/atlantica,Chiroxiphia pareola napensis,Chiroxiphia pareola regina
838a1afffffffff,25.0,0.0,0.0,2.0
838a21fffffffff,4.0,0.0,0.0,0.0
838a23fffffffff,4.0,0.0,0.0,2.0
838a31fffffffff,46.0,0.0,0.0,12.0
838a33fffffffff,6.0,0.0,0.0,0.0
838a45fffffffff,20.0,0.0,0.0,0.0
838a48fffffffff,3.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,1.0
838a63fffffffff,52.0,0.0,0.0,1.0
838a68fffffffff,3.0,0.0,0.0,0.0
838a69fffffffff,53.0,0.0,0.0,0.0
838a6dfffffffff,7.0,0.0,0.0,0.0
838a73fffffffff,3.0,0.0,0.0,0.0
838a80fffffffff,8.0,0.0,0.0,0.0
838a81fffffffff,2.0,0.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0,0.0
838a8efffffffff,1.0,0.0,0.0,0.0
838a92fffffffff,4.0,0.0,0.0,0.0
838a9cfffffffff,26.0,0.0,0.0,0.0
838aa8fffffffff,6.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0,0.0
838aadfffffffff,5.0,0.0,0.0,0.0
838adafffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,39.0,0.0,0.0,2.0
838af2fffffffff,1.0,0.0,0.0,0.0
838af4fffffffff,58.0,0.0,0.0,4.0
838b40fffffffff,53.0,0.0,0.0,3.0
838b44fffffffff,100.0,0.0,0.0,12.0
838b46fffffffff,56.0,0.0,0.0,0.0
838b53fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,3.0,0.0,0.0,0.0
838b62fffffffff,3.0,0.0,0.0,0.0
838b63fffffffff,115.0,0.0,0.0,4.0
838b6efffffffff,4.0,0.0,0.0,0.0
838b71fffffffff,49.0,0.0,0.0,0.0
838b83fffffffff,3.0,0.0,0.0,0.0
838b88fffffffff,2.0,0.0,0.0,0.0
838b96fffffffff,9.0,0.0,0.0,0.0
838b98fffffffff,1.0,0.0,0.0,0.0
838b99fffffffff,3.0,0.0,0.0,0.0
838b9dfffffffff,107.0,0.0,0.0,0.0
838f40fffffffff,46.0,0.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0,0.0
838f6bfffffffff,14.0,0.0,0.0,0.0
838f6efffffffff,2.0,0.0,0.0,0.0
838f74fffffffff,4.0,0.0,0.0,0.0
83a596fffffffff,179.0,0.0,0.0,0.0
83a859fffffffff,3.0,0.0,0.0,0.0
83a89efffffffff,4.0,0.0,0.0,0.0
83a8c9fffffffff,8.0,0.0,0.0,0.0
