cell_id,Myiotriccus ornatus,Myiotriccus ornatus ornatus/stellatus,Myiotriccus ornatus phoenicurus/aureiventris
8466f15ffffffff,5.0,0.0,0.0
8466f19ffffffff,3.0,0.0,0.0
8466f1dffffffff,758.0,36.0,0.0
8466f33ffffffff,7.0,0.0,0.0
8466f3bffffffff,7.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,10.0,0.0,0.0
8466f57ffffffff,154.0,0.0,0.0
8466f59ffffffff,11.0,1.0,0.0
8466f5bffffffff,2.0,0.0,0.0
8466f5dffffffff,5.0,0.0,0.0
848b617ffffffff,176.0,0.0,3.0
848b639ffffffff,6.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6cbffffffff,6.0,0.0,0.0
848e641ffffffff,1.0,0.0,0.0
848e649ffffffff,7.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0
848e651ffffffff,2.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f0dbffffffff,575.0,42.0,0.0
848f291ffffffff,17.0,0.0,0.0
848f295ffffffff,97.0,0.0,0.0
848f297ffffffff,5.0,0.0,0.0
848f2a9ffffffff,3.0,0.0,0.0
848f2bbffffffff,60.0,0.0,0.0
848f2cbffffffff,5.0,0.0,0.0
848f2cdffffffff,2.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f2ddffffffff,3.0,0.0,0.0
848f401ffffffff,3.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f429ffffffff,2.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0
848f465ffffffff,19.0,0.0,3.0
848f46bffffffff,1.0,0.0,0.0
848f487ffffffff,6.0,0.0,0.0
848f4adffffffff,22.0,0.0,0.0
848f4e5ffffffff,21.0,0.0,0.0
848f5d9ffffffff,7.0,0.0,0.0
848f705ffffffff,162.0,0.0,28.0
848f70dffffffff,2.0,0.0,0.0
848f721ffffffff,3.0,0.0,0.0
848f729ffffffff,381.0,0.0,38.0
848f72bffffffff,288.0,0.0,50.0
848f733ffffffff,279.0,0.0,13.0
848f737ffffffff,17.0,0.0,0.0
848f745ffffffff,36.0,0.0,0.0
848f74dffffffff,4.0,0.0,0.0
848f761ffffffff,3.0,0.0,0.0
848f763ffffffff,18.0,0.0,2.0
848f765ffffffff,10.0,0.0,0.0
848f76bffffffff,48.0,0.0,0.0
