cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
828f57fffffffff,62.0,0.0,0.0,4.0,0.0,0.0,0.0
828f5ffffffffff,43.0,0.0,0.0,4.0,0.0,0.0,0.0
828f77fffffffff,119.0,0.0,19.0,0.0,0.0,0.0,0.0
82a817fffffffff,41.0,0.0,0.0,0.0,0.0,11.0,0.0
82a837fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82a85ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82a86ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82a887fffffffff,19.0,0.0,0.0,0.0,0.0,1.0,0.0
82a88ffffffffff,18.0,0.0,0.0,0.0,0.0,5.0,0.0
82a8a7fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8affffffffff,55.0,0.0,0.0,0.0,0.0,16.0,0.0
82a8c7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82a907fffffffff,9.0,0.0,0.0,0.0,0.0,4.0,0.0
82a90ffffffffff,10.0,0.0,0.0,0.0,0.0,3.0,0.0
82a91ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
82b207fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82b20ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0
82b227fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b22ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82b247fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
82b24ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
82b257fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82b25ffffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
82b267fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
82b277fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,738.0,0.0,0.0,0.0,14.0,0.0,0.0
82b2cffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2effffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
82b307fffffffff,175.0,0.0,0.0,33.0,0.0,0.0,0.0
82b30ffffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
82b327fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
82b32ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82b337fffffffff,33.0,0.0,0.0,1.0,0.0,0.0,0.0
82b347fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
82b34ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82b357fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
82b35ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b36ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82b377fffffffff,8.0,0.0,0.0,1.0,0.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82c22ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
82c32ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82c347fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82c357fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82c367fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82c36ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82c377fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce17fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce87fffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce8ffffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce97fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
82ce9ffffffffff,78.0,0.0,0.0,0.0,0.0,0.0,0.0
82cea7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
82ceaffffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
82cf17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82cf87fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82cf8ffffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0
82cfa7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82cfaffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
