cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
838130fffffffff,47.0,0.0,0.0
838132fffffffff,20.0,0.0,0.0
838133fffffffff,79.0,0.0,0.0
838134fffffffff,4.0,0.0,0.0
838136fffffffff,11.0,0.0,0.0
838140fffffffff,3.0,0.0,0.0
838143fffffffff,1.0,0.0,0.0
838145fffffffff,2.0,0.0,0.0
83814afffffffff,29.0,0.0,0.0
83814dfffffffff,18.0,0.0,0.0
83814efffffffff,20.0,0.0,0.0
83815dfffffffff,4.0,0.0,0.0
83815efffffffff,3.0,0.0,0.0
838162fffffffff,3.0,0.0,0.0
838163fffffffff,5.0,0.0,0.0
838166fffffffff,4.0,0.0,0.0
838170fffffffff,2.0,0.0,0.0
838171fffffffff,59.0,0.0,0.0
838175fffffffff,2.0,0.0,0.0
838180fffffffff,5.0,0.0,0.0
838181fffffffff,235.0,0.0,0.0
838183fffffffff,23.0,0.0,0.0
838185fffffffff,12.0,0.0,0.0
8381a1fffffffff,4.0,0.0,0.0
838a00fffffffff,2.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,6.0,0.0,0.0
838a31fffffffff,2.0,2.0,0.0
838a33fffffffff,4.0,0.0,0.0
838a35fffffffff,2.0,0.0,0.0
838a45fffffffff,9.0,0.0,0.0
838a4bfffffffff,7.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a80fffffffff,4.0,0.0,0.0
838a8cfffffffff,5.0,0.0,0.0
838a8dfffffffff,4.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838aabfffffffff,4.0,0.0,0.0
838adafffffffff,2.0,0.0,0.0
838af0fffffffff,11.0,0.0,0.0
838af2fffffffff,58.0,7.0,0.0
838af4fffffffff,10.0,0.0,0.0
838af6fffffffff,220.0,7.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1cfffffffff,1.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b2afffffffff,2.0,0.0,0.0
838b84fffffffff,47.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b98fffffffff,3.0,0.0,0.0
838b99fffffffff,30.0,0.0,0.0
838b9dfffffffff,287.0,0.0,0.0
838ba0fffffffff,3.0,0.0,0.0
838ba6fffffffff,8.0,0.0,0.0
838bb5fffffffff,44.0,0.0,0.0
83a596fffffffff,20.0,0.0,0.0
83a802fffffffff,5.0,0.0,0.0
83a804fffffffff,3.0,0.0,0.0
83a805fffffffff,9.0,0.0,0.0
83a806fffffffff,415.0,119.0,0.0
83a80bfffffffff,4.0,0.0,0.0
83a80cfffffffff,1.0,1.0,0.0
83a810fffffffff,1005.0,164.0,0.0
83a811fffffffff,9.0,2.0,0.0
83a812fffffffff,669.0,164.0,0.0
83a813fffffffff,85.0,39.0,0.0
83a814fffffffff,207.0,117.0,0.0
83a815fffffffff,324.0,93.0,0.0
83a816fffffffff,3.0,1.0,0.0
83a818fffffffff,12.0,10.0,0.0
83a819fffffffff,5.0,0.0,0.0
83a81afffffffff,10.0,4.0,0.0
83a81bfffffffff,14.0,2.0,0.0
83a81cfffffffff,53.0,5.0,0.0
83a81dfffffffff,3.0,3.0,0.0
83a81efffffffff,358.0,39.0,0.0
83a821fffffffff,6.0,0.0,0.0
83a822fffffffff,1.0,1.0,0.0
83a825fffffffff,1.0,0.0,0.0
83a826fffffffff,20.0,4.0,0.0
83a828fffffffff,9.0,0.0,0.0
83a829fffffffff,1.0,0.0,0.0
83a82dfffffffff,6.0,0.0,0.0
83a831fffffffff,160.0,4.0,0.0
83a833fffffffff,124.0,28.0,0.0
83a835fffffffff,169.0,33.0,0.0
83a844fffffffff,9.0,0.0,0.0
83a846fffffffff,1.0,0.0,0.0
83a859fffffffff,63.0,0.0,0.0
83a85dfffffffff,6.0,0.0,0.0
83a862fffffffff,4.0,0.0,0.0
83a875fffffffff,1.0,0.0,0.0
83a876fffffffff,1.0,0.0,0.0
83a880fffffffff,11.0,0.0,0.0
83a881fffffffff,138.0,0.0,0.0
83a882fffffffff,26.0,0.0,0.0
83a884fffffffff,21.0,7.0,0.0
83a885fffffffff,2.0,0.0,0.0
83a886fffffffff,3.0,0.0,0.0
83a889fffffffff,10.0,0.0,0.0
83a88bfffffffff,7.0,0.0,0.0
83a88cfffffffff,4.0,0.0,0.0
83a88dfffffffff,7.0,0.0,0.0
83a88efffffffff,4.0,0.0,0.0
83a891fffffffff,175.0,0.0,0.0
83a895fffffffff,8.0,0.0,0.0
83a8a0fffffffff,5.0,0.0,0.0
83a8a1fffffffff,501.0,78.0,0.0
83a8a2fffffffff,140.0,6.0,0.0
83a8a3fffffffff,45.0,14.0,0.0
83a8a5fffffffff,163.0,46.0,0.0
83a8a8fffffffff,4.0,0.0,0.0
83a8a9fffffffff,18.0,0.0,0.0
83a8aafffffffff,2.0,0.0,0.0
83a8acfffffffff,18.0,0.0,0.0
83a8adfffffffff,10.0,0.0,0.0
83a8aefffffffff,6.0,0.0,0.0
83a8c0fffffffff,36.0,0.0,0.0
83a8c2fffffffff,20.0,0.0,0.0
83a8c4fffffffff,4.0,0.0,0.0
83a8cafffffffff,2.0,0.0,0.0
83a8ccfffffffff,1.0,0.0,0.0
83a8cefffffffff,2.0,0.0,0.0
83a8d0fffffffff,2.0,0.0,0.0
83a8d1fffffffff,7.0,0.0,0.0
83a8d9fffffffff,2.0,0.0,0.0
83a8dafffffffff,3.0,0.0,0.0
83a8defffffffff,7.0,0.0,0.0
83a8e1fffffffff,1.0,0.0,0.0
83a8f4fffffffff,9.0,0.0,0.0
83a8f6fffffffff,1.0,0.0,0.0
83a90efffffffff,4.0,0.0,0.0
83a918fffffffff,4.0,2.0,0.0
83a919fffffffff,19.0,0.0,0.0
83a91bfffffffff,47.0,8.0,0.0
83a91dfffffffff,20.0,1.0,0.0
83a92efffffffff,5.0,0.0,0.0
83a942fffffffff,22.0,0.0,0.0
83a943fffffffff,25.0,0.0,0.0
83a946fffffffff,13.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0
83a950fffffffff,31.0,0.0,0.0
83a951fffffffff,32.0,0.0,0.0
83a952fffffffff,4.0,0.0,0.0
83a953fffffffff,1039.0,0.0,0.0
83a955fffffffff,19.0,0.0,0.0
83a95afffffffff,14.0,0.0,0.0
83a95cfffffffff,58.0,0.0,0.0
83a95efffffffff,153.0,0.0,0.0
