cell_id,Megaceryle torquata,Megaceryle torquata torquata/stictipennis,Megaceryle torquata stellata
828a4ffffffffff,14.0,0.0,0.0
828a57fffffffff,71.0,0.0,0.0
828a6ffffffffff,2002.0,0.0,0.0
828a77fffffffff,50.0,0.0,0.0
828a87fffffffff,31.0,4.0,0.0
828a8ffffffffff,74.0,4.0,0.0
828a97fffffffff,9.0,0.0,0.0
828a9ffffffffff,43.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0
828aaffffffffff,200.0,15.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828ac7fffffffff,6.0,0.0,0.0
828ad7fffffffff,2.0,0.0,0.0
828adffffffffff,190.0,8.0,0.0
828ae7fffffffff,13.0,0.0,0.0
828aeffffffffff,9.0,0.0,0.0
828af7fffffffff,828.0,73.0,0.0
828b07fffffffff,24.0,0.0,0.0
828b0ffffffffff,217.0,0.0,0.0
828b17fffffffff,22.0,0.0,0.0
828b1ffffffffff,21.0,0.0,0.0
828b27fffffffff,326.0,0.0,0.0
828b2ffffffffff,194.0,0.0,0.0
828b37fffffffff,34.0,0.0,0.0
828b47fffffffff,810.0,0.0,0.0
828b4ffffffffff,17.0,0.0,0.0
828b57fffffffff,84.0,1.0,0.0
828b5ffffffffff,3.0,2.0,0.0
828b67fffffffff,632.0,0.0,0.0
828b6ffffffffff,235.0,0.0,0.0
828b77fffffffff,143.0,0.0,0.0
828b87fffffffff,60.0,1.0,0.0
828b8ffffffffff,46.0,0.0,0.0
828b97fffffffff,2.0,0.0,0.0
828b9ffffffffff,761.0,18.0,0.0
828ba7fffffffff,65.0,1.0,0.0
828bb7fffffffff,29.0,0.0,0.0
828e67fffffffff,8.0,0.0,0.0
828f0ffffffffff,537.0,31.0,0.0
828f27fffffffff,23.0,0.0,0.0
828f2ffffffffff,1385.0,71.0,0.0
828f47fffffffff,542.0,31.0,0.0
828f4ffffffffff,161.0,0.0,0.0
828f57fffffffff,484.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f67fffffffff,547.0,0.0,0.0
828f6ffffffffff,344.0,20.0,0.0
828f77fffffffff,438.0,25.0,0.0
82a597fffffffff,30.0,1.0,0.0
82a807fffffffff,348.0,4.0,0.0
82a80ffffffffff,35.0,0.0,0.0
82a817fffffffff,2823.0,50.0,0.0
82a81ffffffffff,1127.0,4.0,0.0
82a827fffffffff,120.0,0.0,0.0
82a82ffffffffff,95.0,0.0,0.0
82a837fffffffff,422.0,18.0,0.0
82a847fffffffff,826.0,1.0,0.0
82a84ffffffffff,23.0,0.0,0.0
82a857fffffffff,50.0,0.0,0.0
82a85ffffffffff,5651.0,231.0,0.0
82a867fffffffff,108.0,0.0,0.0
82a86ffffffffff,63.0,0.0,0.0
82a877fffffffff,81.0,0.0,0.0
82a887fffffffff,185.0,5.0,0.0
82a88ffffffffff,140.0,4.0,0.0
82a897fffffffff,106.0,10.0,0.0
82a89ffffffffff,8.0,0.0,0.0
82a8a7fffffffff,1323.0,19.0,0.0
82a8affffffffff,208.0,0.0,0.0
82a8b7fffffffff,50.0,0.0,0.0
82a8c7fffffffff,96.0,2.0,0.0
82a8cffffffffff,29.0,8.0,0.0
82a8d7fffffffff,221.0,45.0,0.0
82a8dffffffffff,24.0,0.0,0.0
82a8e7fffffffff,12.0,1.0,0.0
82a8effffffffff,4.0,0.0,0.0
82a8f7fffffffff,29.0,3.0,0.0
82a907fffffffff,188.0,9.0,0.0
82a90ffffffffff,156.0,0.0,0.0
82a91ffffffffff,253.0,2.0,0.0
82a927fffffffff,19.0,0.0,0.0
82a92ffffffffff,217.0,1.0,0.0
82a947fffffffff,2193.0,0.0,0.0
82a94ffffffffff,1744.0,0.0,0.0
82a957fffffffff,1035.0,0.0,0.0
82a95ffffffffff,326.0,0.0,0.0
82a967fffffffff,737.0,2.0,0.0
82a96ffffffffff,711.0,0.0,0.0
82a977fffffffff,247.0,0.0,0.0
82b247fffffffff,152.0,0.0,0.0
82b24ffffffffff,129.0,0.0,0.0
82b25ffffffffff,499.0,0.0,0.0
82b267fffffffff,57.0,0.0,0.0
82b26ffffffffff,55.0,0.0,0.0
82b277fffffffff,204.0,0.0,0.0
82b2cffffffffff,4.0,0.0,0.0
82b2dffffffffff,11.0,0.0,0.0
82b2effffffffff,5.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0
82b347fffffffff,194.0,0.0,0.0
82b34ffffffffff,82.0,0.0,0.0
82b357fffffffff,56.0,0.0,0.0
82b35ffffffffff,452.0,0.0,0.0
82b367fffffffff,16.0,0.0,0.0
82b36ffffffffff,126.0,0.0,0.0
82c207fffffffff,41.0,0.0,0.0
82c21ffffffffff,123.0,0.0,0.0
82c22ffffffffff,94.0,0.0,0.0
82c2c7fffffffff,346.0,0.0,0.0
82c2cffffffffff,495.0,0.0,0.0
82c2d7fffffffff,73.0,0.0,0.0
82c2dffffffffff,34.0,0.0,0.0
82c2e7fffffffff,1133.0,0.0,0.0
82c2effffffffff,149.0,0.0,0.0
82c2f7fffffffff,729.0,0.0,0.0
82c34ffffffffff,7.0,0.0,0.0
82c357fffffffff,23.0,0.0,0.0
82ce17fffffffff,25.0,0.0,0.0
82ce87fffffffff,736.0,0.0,0.0
82ce8ffffffffff,775.0,0.0,5.0
82ce9ffffffffff,144.0,0.0,1.0
82cea7fffffffff,261.0,0.0,8.0
82ceaffffffffff,1417.0,0.0,39.0
82cf17fffffffff,58.0,0.0,22.0
82cf8ffffffffff,126.0,0.0,3.0
82cf9ffffffffff,2.0,0.0,0.0
82cfaffffffffff,17.0,0.0,0.0
82df47fffffffff,118.0,0.0,0.0
82df6ffffffffff,142.0,0.0,55.0
