cell_id,Indicator minor,Indicator minor conirostris/ussheri,Indicator minor [minor Group]
847a483ffffffff,4.0,0.0,2.0
847a489ffffffff,14.0,0.0,14.0
847a48bffffffff,5.0,0.0,5.0
847a48dffffffff,1.0,0.0,1.0
847a491ffffffff,1.0,0.0,1.0
847a4b5ffffffff,4.0,0.0,4.0
847a4c1ffffffff,7.0,0.0,7.0
847a4c5ffffffff,2.0,0.0,2.0
847a4c7ffffffff,2.0,0.0,2.0
847a4c9ffffffff,2.0,0.0,2.0
847a4cbffffffff,55.0,34.0,10.0
847a4cdffffffff,4.0,0.0,4.0
847a4d1ffffffff,19.0,0.0,19.0
847a4d5ffffffff,1.0,0.0,1.0
847a4d9ffffffff,4.0,0.0,4.0
847a4dbffffffff,4.0,0.0,4.0
847a4ddffffffff,54.0,28.0,24.0
847a4e3ffffffff,4.0,0.0,4.0
847a5adffffffff,7.0,0.0,7.0
847a601ffffffff,2.0,0.0,2.0
847a603ffffffff,1.0,0.0,1.0
847a609ffffffff,17.0,0.0,17.0
847a60bffffffff,3.0,0.0,1.0
847a615ffffffff,2.0,0.0,2.0
847a619ffffffff,2.0,0.0,2.0
847a61bffffffff,2.0,0.0,2.0
847a61dffffffff,10.0,0.0,6.0
847a637ffffffff,4.0,0.0,4.0
847a641ffffffff,11.0,0.0,11.0
847a643ffffffff,2.0,0.0,2.0
847a651ffffffff,4.0,0.0,4.0
847a653ffffffff,32.0,0.0,28.0
847a657ffffffff,44.0,0.0,44.0
847a659ffffffff,4.0,0.0,3.0
847a65dffffffff,2.0,0.0,2.0
847a681ffffffff,16.0,0.0,7.0
847a683ffffffff,41.0,0.0,38.0
847a685ffffffff,1.0,0.0,1.0
847a687ffffffff,2.0,0.0,0.0
847a689ffffffff,2.0,0.0,2.0
847a68bffffffff,3.0,0.0,3.0
847a695ffffffff,2.0,0.0,2.0
847a6a1ffffffff,40.0,0.0,38.0
847a6a3ffffffff,1.0,0.0,0.0
847a6a5ffffffff,4.0,0.0,4.0
847a6a9ffffffff,1.0,0.0,1.0
847a6adffffffff,33.0,0.0,28.0
847a6b5ffffffff,4.0,0.0,4.0
847a6b7ffffffff,10.0,0.0,10.0
847a6bbffffffff,5.0,0.0,5.0
847a6c7ffffffff,1.0,0.0,1.0
847a6d1ffffffff,9.0,0.0,8.0
847a6d3ffffffff,1.0,0.0,1.0
847a6d9ffffffff,2.0,0.0,2.0
847a6dbffffffff,2.0,0.0,2.0
847a6e1ffffffff,2.0,0.0,2.0
847a6e5ffffffff,120.0,0.0,103.0
847a6e9ffffffff,2.0,0.0,2.0
847a6ebffffffff,1.0,0.0,1.0
847ac15ffffffff,10.0,0.0,10.0
847ac81ffffffff,64.0,0.0,56.0
847ac87ffffffff,2.0,0.0,2.0
847ac8bffffffff,11.0,0.0,9.0
847aca3ffffffff,2.0,0.0,2.0
847acb5ffffffff,5.0,0.0,5.0
847accdffffffff,2.0,0.0,2.0
847acd5ffffffff,33.0,0.0,30.0
847acd7ffffffff,1.0,0.0,1.0
847ad93ffffffff,4.0,0.0,4.0
847ad99ffffffff,2.0,0.0,2.0
847ae9bffffffff,1.0,0.0,0.0
847aea7ffffffff,2.0,0.0,0.0
847aeabffffffff,1.0,0.0,0.0
847aeb3ffffffff,1.0,0.0,1.0
847aed3ffffffff,3.0,0.0,3.0
847aed9ffffffff,1.0,0.0,0.0
847aedbffffffff,1.0,0.0,0.0
847b485ffffffff,1.0,0.0,1.0
847b487ffffffff,8.0,0.0,8.0
847b4a5ffffffff,8.0,0.0,8.0
847b4abffffffff,2.0,0.0,2.0
847b4b1ffffffff,1.0,0.0,1.0
847b4b3ffffffff,2.0,0.0,2.0
847b4b7ffffffff,7.0,0.0,4.0
847b4b9ffffffff,4.0,0.0,4.0
847b4cbffffffff,1.0,0.0,0.0
847b4d5ffffffff,2.0,0.0,2.0
847b4dbffffffff,5.0,0.0,0.0
847b595ffffffff,1.0,0.0,0.0
847b597ffffffff,17.0,0.0,13.0
847b59bffffffff,1.0,0.0,1.0
847b5b1ffffffff,2.0,0.0,2.0
847b5b7ffffffff,2.0,0.0,2.0
847b6bbffffffff,1.0,0.0,0.0
84828b5ffffffff,2.0,2.0,0.0
84828d1ffffffff,1.0,1.0,0.0
8482d3dffffffff,6.0,6.0,0.0
848320dffffffff,2.0,0.0,2.0
8483263ffffffff,2.0,0.0,2.0
848335bffffffff,3.0,0.0,3.0
8496009ffffffff,5.0,0.0,5.0
8496015ffffffff,5.0,0.0,5.0
849602dffffffff,4.0,0.0,4.0
849603bffffffff,1.0,0.0,1.0
8496047ffffffff,2.0,0.0,2.0
8496095ffffffff,1.0,0.0,1.0
8496097ffffffff,4.0,0.0,4.0
849615dffffffff,9.0,0.0,9.0
8496201ffffffff,8.0,0.0,8.0
8496207ffffffff,1.0,0.0,0.0
8496215ffffffff,2.0,0.0,2.0
8496217ffffffff,5.0,0.0,4.0
849622dffffffff,2.0,0.0,2.0
8496233ffffffff,8.0,0.0,7.0
849623bffffffff,16.0,0.0,10.0
8496245ffffffff,1.0,0.0,1.0
8496263ffffffff,6.0,0.0,6.0
8496283ffffffff,1.0,0.0,0.0
8496287ffffffff,3.0,0.0,3.0
849628bffffffff,2.0,0.0,2.0
849629dffffffff,2.0,0.0,2.0
84962b9ffffffff,6.0,0.0,6.0
84962c9ffffffff,15.0,0.0,15.0
84962cdffffffff,1.0,0.0,1.0
84962d7ffffffff,1.0,0.0,1.0
84962e5ffffffff,8.0,0.0,6.0
8496335ffffffff,8.0,0.0,7.0
8496365ffffffff,6.0,0.0,5.0
8496703ffffffff,1.0,0.0,0.0
8496901ffffffff,12.0,0.0,12.0
8496907ffffffff,19.0,0.0,19.0
849690bffffffff,1.0,0.0,1.0
8496921ffffffff,22.0,0.0,20.0
8496925ffffffff,66.0,0.0,56.0
849692bffffffff,11.0,0.0,7.0
849692dffffffff,14.0,0.0,14.0
8496933ffffffff,2.0,0.0,2.0
8496935ffffffff,15.0,0.0,12.0
849693dffffffff,31.0,0.0,26.0
84969a1ffffffff,4.0,0.0,0.0
84969a5ffffffff,2.0,0.0,2.0
8496a59ffffffff,4.0,0.0,4.0
8496a8bffffffff,2.0,0.0,2.0
8496ac3ffffffff,2.0,0.0,2.0
8496ad7ffffffff,1.0,0.0,0.0
8496ad9ffffffff,2.0,0.0,2.0
8496b09ffffffff,2.0,0.0,2.0
8496b19ffffffff,25.0,0.0,25.0
8496b1bffffffff,8.0,0.0,5.0
8496b47ffffffff,6.0,0.0,6.0
8496b53ffffffff,2.0,0.0,0.0
8496b55ffffffff,1.0,0.0,1.0
8496b57ffffffff,6.0,0.0,4.0
8496b5bffffffff,1.0,0.0,1.0
8496b65ffffffff,3.0,0.0,3.0
8496b69ffffffff,3.0,0.0,3.0
8496b6dffffffff,1.0,0.0,1.0
8497003ffffffff,3.0,0.0,3.0
8497015ffffffff,1.0,0.0,0.0
849702bffffffff,24.0,0.0,24.0
8497035ffffffff,14.0,0.0,13.0
849703dffffffff,6.0,0.0,6.0
8497069ffffffff,2.0,0.0,2.0
84970a7ffffffff,2.0,0.0,2.0
84970d3ffffffff,10.0,0.0,9.0
8497103ffffffff,7.0,0.0,7.0
8497113ffffffff,5.0,0.0,5.0
8497119ffffffff,9.0,0.0,9.0
849711dffffffff,3.0,0.0,3.0
8497139ffffffff,5.0,0.0,5.0
8497199ffffffff,21.0,0.0,20.0
849719bffffffff,6.0,0.0,5.0
84971b9ffffffff,2.0,0.0,2.0
84971c1ffffffff,16.0,0.0,15.0
84971c3ffffffff,7.0,0.0,5.0
84971cbffffffff,5.0,0.0,5.0
84971d7ffffffff,6.0,0.0,6.0
8497245ffffffff,2.0,0.0,2.0
8497283ffffffff,2.0,0.0,2.0
8497289ffffffff,5.0,0.0,5.0
849728dffffffff,1.0,0.0,1.0
8497291ffffffff,3.0,0.0,3.0
8497295ffffffff,1.0,0.0,0.0
84972c5ffffffff,3.0,0.0,3.0
84972cdffffffff,1.0,0.0,0.0
84972d5ffffffff,3.0,0.0,3.0
84972d7ffffffff,1.0,0.0,1.0
84972d9ffffffff,5.0,0.0,4.0
84972dbffffffff,3.0,0.0,2.0
84972e3ffffffff,23.0,0.0,21.0
84972ebffffffff,3.0,0.0,3.0
849731dffffffff,1.0,0.0,0.0
8497357ffffffff,2.0,0.0,2.0
8497415ffffffff,3.0,0.0,3.0
8497417ffffffff,4.0,0.0,3.0
849741bffffffff,1.0,0.0,1.0
8497437ffffffff,2.0,0.0,2.0
849743bffffffff,8.0,0.0,3.0
8497485ffffffff,1.0,0.0,0.0
84974a9ffffffff,74.0,0.0,67.0
84974abffffffff,29.0,0.0,26.0
84974b9ffffffff,7.0,0.0,5.0
84974bbffffffff,1.0,0.0,1.0
84974e1ffffffff,2.0,0.0,0.0
84974e5ffffffff,2.0,0.0,2.0
84974e9ffffffff,16.0,0.0,12.0
84974edffffffff,16.0,0.0,16.0
8497509ffffffff,4.0,0.0,4.0
8497513ffffffff,29.0,0.0,26.0
8497515ffffffff,43.0,0.0,27.0
8497517ffffffff,12.0,0.0,10.0
8497535ffffffff,5.0,0.0,5.0
8497583ffffffff,2.0,0.0,2.0
84975c7ffffffff,25.0,0.0,22.0
84975c9ffffffff,3.0,0.0,3.0
84975cbffffffff,2.0,0.0,2.0
8497725ffffffff,4.0,0.0,4.0
849772dffffffff,2.0,0.0,2.0
849774dffffffff,4.0,0.0,4.0
8497895ffffffff,4.0,0.0,4.0
84978d9ffffffff,6.0,0.0,6.0
84978ddffffffff,2.0,0.0,2.0
8497937ffffffff,2.0,0.0,2.0
8497a89ffffffff,7.0,0.0,6.0
8497a8bffffffff,1.0,0.0,1.0
8497aa3ffffffff,1.0,0.0,1.0
84ac81dffffffff,7.0,0.0,7.0
84ac863ffffffff,3.0,0.0,3.0
84ac867ffffffff,2.0,0.0,2.0
84ac95bffffffff,2.0,0.0,2.0
84ac961ffffffff,4.0,0.0,4.0
84ac96dffffffff,7.0,0.0,7.0
84aca15ffffffff,2.0,0.0,2.0
84aca27ffffffff,4.0,0.0,3.0
84aca3bffffffff,1.0,0.0,0.0
84aca3dffffffff,20.0,0.0,15.0
84aca4bffffffff,2.0,0.0,2.0
84aca6bffffffff,8.0,0.0,6.0
84acb11ffffffff,2.0,0.0,2.0
84acb1bffffffff,5.0,0.0,4.0
84acb33ffffffff,2.0,0.0,0.0
84acb35ffffffff,2.0,0.0,2.0
84ad329ffffffff,12.0,0.0,12.0
84ad361ffffffff,7.0,0.0,7.0
84ad367ffffffff,4.0,0.0,2.0
84ad369ffffffff,13.0,0.0,13.0
84bc091ffffffff,1.0,0.0,0.0
84bc093ffffffff,2.0,0.0,1.0
84bc0bdffffffff,6.0,0.0,6.0
84bc197ffffffff,4.0,0.0,4.0
84bc1b3ffffffff,6.0,0.0,4.0
84bc1b7ffffffff,6.0,0.0,3.0
84bc411ffffffff,2.0,0.0,2.0
84bc455ffffffff,3.0,0.0,3.0
84bc461ffffffff,1.0,0.0,0.0
84bc46dffffffff,7.0,0.0,6.0
84bc481ffffffff,1.0,0.0,1.0
84bc491ffffffff,2.0,0.0,1.0
84bc4d5ffffffff,4.0,0.0,4.0
84bc545ffffffff,2.0,0.0,0.0
84bc559ffffffff,2.0,0.0,2.0
84bc5c9ffffffff,2.0,0.0,2.0
84bc683ffffffff,3.0,0.0,3.0
84bc687ffffffff,14.0,0.0,10.0
84bc697ffffffff,2.0,0.0,2.0
84bc6a3ffffffff,20.0,0.0,18.0
84bc6abffffffff,12.0,0.0,12.0
84bc6b1ffffffff,3.0,0.0,3.0
84bc717ffffffff,3.0,0.0,3.0
84bc731ffffffff,2.0,0.0,2.0
84bc737ffffffff,4.0,0.0,4.0
84bc899ffffffff,2.0,0.0,2.0
84bc89bffffffff,6.0,0.0,6.0
84bc8d3ffffffff,1.0,0.0,1.0
84bc991ffffffff,13.0,0.0,9.0
84bcc15ffffffff,2.0,0.0,0.0
84bcc27ffffffff,1.0,0.0,1.0
84bcc35ffffffff,33.0,0.0,32.0
84bcc37ffffffff,5.0,0.0,4.0
84bcc3bffffffff,1.0,0.0,0.0
84bcc3dffffffff,17.0,0.0,15.0
84bcc49ffffffff,4.0,0.0,4.0
84bcc4bffffffff,2.0,0.0,2.0
84bcc69ffffffff,3.0,0.0,3.0
84bcc6dffffffff,1.0,0.0,1.0
84bcca5ffffffff,6.0,0.0,6.0
84bcca7ffffffff,4.0,0.0,4.0
84bcce1ffffffff,2.0,0.0,0.0
84bcd01ffffffff,34.0,0.0,20.0
84bcd05ffffffff,14.0,0.0,14.0
84bcd07ffffffff,4.0,0.0,3.0
84bcd0bffffffff,7.0,0.0,7.0
84bcd0dffffffff,18.0,0.0,8.0
84bcd11ffffffff,6.0,0.0,6.0
84bcd13ffffffff,3.0,0.0,3.0
84bcd1bffffffff,2.0,0.0,2.0
84bcd1dffffffff,2.0,0.0,2.0
84bcd21ffffffff,18.0,0.0,18.0
84bcd23ffffffff,9.0,0.0,9.0
84bcd27ffffffff,5.0,0.0,4.0
84bcd29ffffffff,35.0,0.0,30.0
84bcd33ffffffff,1.0,0.0,0.0
84bcd37ffffffff,16.0,0.0,11.0
84bcd3dffffffff,9.0,0.0,7.0
84bcd45ffffffff,3.0,0.0,3.0
84bcd47ffffffff,2.0,0.0,2.0
84bcd4bffffffff,5.0,0.0,5.0
84bcd51ffffffff,1.0,0.0,1.0
84bcd63ffffffff,19.0,0.0,15.0
84bcd67ffffffff,6.0,0.0,6.0
84bcd6dffffffff,10.0,0.0,9.0
84bcd81ffffffff,4.0,0.0,4.0
84bcd89ffffffff,4.0,0.0,4.0
84bcda3ffffffff,3.0,0.0,3.0
84bcdc1ffffffff,60.0,0.0,55.0
84bcdc3ffffffff,3.0,0.0,3.0
84bcdc5ffffffff,13.0,0.0,13.0
84bcdc7ffffffff,2.0,0.0,2.0
84bcdc9ffffffff,27.0,0.0,24.0
84bcdcdffffffff,3.0,0.0,3.0
84bcdd1ffffffff,4.0,0.0,3.0
84bcdddffffffff,1.0,0.0,1.0
84bcde5ffffffff,5.0,0.0,5.0
84bcdebffffffff,5.0,0.0,5.0
84bce65ffffffff,5.0,0.0,5.0
84bce67ffffffff,16.0,0.0,16.0
84bce69ffffffff,2.0,0.0,2.0
84bce83ffffffff,1.0,0.0,1.0
84bce85ffffffff,2.0,0.0,1.0
84bcea1ffffffff,3.0,0.0,3.0
84bcf09ffffffff,7.0,0.0,6.0
84bcf19ffffffff,1.0,0.0,0.0
84bcf1bffffffff,3.0,0.0,3.0
84bcf21ffffffff,11.0,0.0,10.0
84bcf29ffffffff,113.0,0.0,97.0
84bcf2dffffffff,4.0,0.0,1.0
84bcf31ffffffff,1.0,0.0,1.0
84bcf43ffffffff,6.0,0.0,6.0
84bcf47ffffffff,11.0,0.0,9.0
84bcf53ffffffff,2.0,0.0,2.0
84bcf59ffffffff,21.0,0.0,16.0
84bcf5bffffffff,87.0,0.0,77.0
84bcf5dffffffff,7.0,0.0,7.0
84bcf61ffffffff,41.0,0.0,32.0
84bcf63ffffffff,34.0,0.0,29.0
84bcf67ffffffff,3.0,0.0,2.0
84bcf6bffffffff,1.0,0.0,0.0
