cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
8448b4dffffffff,13.0,0.0,0.0
8448b5bffffffff,27.0,0.0,0.0
84498dbffffffff,2.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449903ffffffff,3.0,0.0,0.0
8449905ffffffff,1.0,0.0,0.0
8449913ffffffff,7.0,0.0,0.0
8449917ffffffff,3.0,0.0,0.0
844991dffffffff,6.0,0.0,0.0
844993bffffffff,2.0,0.0,2.0
8449961ffffffff,91.0,0.0,15.0
8449967ffffffff,5.0,0.0,1.0
8449969ffffffff,230.0,0.0,5.0
844996dffffffff,56.0,0.0,13.0
8449981ffffffff,42.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449987ffffffff,442.0,0.0,2.0
844998dffffffff,2.0,0.0,0.0
84499a1ffffffff,1.0,0.0,0.0
84499a3ffffffff,6.0,0.0,0.0
84499b1ffffffff,24.0,0.0,0.0
84499b5ffffffff,2.0,0.0,0.0
84499b7ffffffff,3.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0
84499c5ffffffff,15.0,0.0,0.0
84499c7ffffffff,2.0,0.0,0.0
84499e3ffffffff,52.0,0.0,0.0
84499ebffffffff,3.0,0.0,0.0
84499edffffffff,1.0,0.0,0.0
8449a83ffffffff,2.0,0.0,0.0
8449a8bffffffff,1.0,0.0,0.0
8449a91ffffffff,107.0,23.0,0.0
8449a93ffffffff,46.0,13.0,0.0
8449ad7ffffffff,15.0,0.0,0.0
8449b53ffffffff,19.0,0.0,0.0
8449b57ffffffff,8.0,0.0,0.0
84679adffffffff,5.0,0.0,0.0
846d041ffffffff,3.0,0.0,0.0
846d04bffffffff,10.0,0.0,0.0
846d051ffffffff,4.0,0.0,0.0
846d059ffffffff,31.0,0.0,0.0
846d05bffffffff,250.0,0.0,86.0
846d217ffffffff,2.0,0.0,2.0
846d21dffffffff,6.0,0.0,0.0
846d223ffffffff,2.0,0.0,2.0
846d225ffffffff,2.0,0.0,0.0
846d231ffffffff,29.0,0.0,2.0
846d235ffffffff,1.0,0.0,0.0
846d239ffffffff,46.0,0.0,6.0
846d23dffffffff,43.0,0.0,3.0
846d293ffffffff,8.0,0.0,0.0
846d295ffffffff,206.0,0.0,0.0
846d297ffffffff,6.0,0.0,0.0
846d2adffffffff,1.0,0.0,0.0
846d2b9ffffffff,277.0,0.0,7.0
846d2e5ffffffff,2.0,0.0,0.0
846d2e9ffffffff,1.0,0.0,0.0
846d2ebffffffff,15.0,0.0,0.0
846d2edffffffff,1.0,0.0,0.0
846d305ffffffff,6.0,0.0,0.0
846d30dffffffff,81.0,0.0,1.0
846d313ffffffff,2.0,0.0,0.0
846d319ffffffff,3.0,0.0,0.0
846d35dffffffff,8.0,0.0,0.0
846d361ffffffff,3.0,0.0,0.0
846d369ffffffff,9.0,0.0,1.0
846d36dffffffff,13.0,0.0,0.0
846d603ffffffff,7.0,0.0,0.0
846d605ffffffff,37.0,0.0,0.0
846d607ffffffff,20.0,0.0,0.0
846d609ffffffff,14.0,0.0,0.0
846d60bffffffff,4.0,0.0,0.0
846d60dffffffff,13.0,0.0,0.0
846d613ffffffff,45.0,0.0,0.0
846d615ffffffff,12.0,0.0,0.0
846d617ffffffff,202.0,0.0,0.0
846d619ffffffff,7.0,0.0,0.0
846d61bffffffff,10.0,0.0,0.0
846d63bffffffff,6.0,0.0,0.0
846d641ffffffff,2.0,0.0,0.0
846d643ffffffff,9.0,0.0,0.0
846d645ffffffff,35.0,0.0,0.0
846d64dffffffff,9.0,0.0,0.0
846d651ffffffff,469.0,0.0,0.0
846d653ffffffff,19.0,0.0,0.0
846d655ffffffff,99.0,0.0,0.0
846d657ffffffff,22.0,0.0,0.0
846d665ffffffff,60.0,0.0,0.0
846d66bffffffff,23.0,0.0,0.0
846d66dffffffff,35.0,0.0,0.0
846d681ffffffff,457.0,0.0,0.0
846d683ffffffff,422.0,0.0,0.0
846d685ffffffff,106.0,0.0,0.0
846d687ffffffff,187.0,0.0,0.0
846d68bffffffff,46.0,0.0,0.0
846d68dffffffff,104.0,0.0,0.0
846d695ffffffff,115.0,0.0,0.0
846d69dffffffff,30.0,0.0,0.0
846d6abffffffff,24.0,0.0,0.0
846d6b1ffffffff,7.0,0.0,0.0
846d6b9ffffffff,104.0,0.0,0.0
846d6bbffffffff,1034.0,0.0,0.0
846d6bdffffffff,32.0,0.0,0.0
846d6c7ffffffff,1.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6e1ffffffff,2.0,0.0,0.0
846d6e9ffffffff,198.0,0.0,0.0
846d6ebffffffff,13.0,0.0,0.0
846d6edffffffff,89.0,0.0,0.0
846d741ffffffff,75.0,0.0,0.0
846d743ffffffff,8.0,0.0,0.0
846d745ffffffff,69.0,0.0,0.0
846d749ffffffff,68.0,0.0,0.0
846d74bffffffff,162.0,0.0,0.0
846d751ffffffff,3.0,0.0,0.0
846d759ffffffff,5.0,0.0,0.0
846d75bffffffff,7.0,0.0,0.0
846d75dffffffff,10.0,0.0,0.0
