cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
8448aa1ffffffff,1.0,0.0,0.0
8448b1dffffffff,8.0,0.0,0.0
8448b23ffffffff,32.0,0.0,0.0
8448b2bffffffff,30.0,0.0,0.0
8448b31ffffffff,4.0,0.0,0.0
8448b35ffffffff,52.0,0.0,0.0
8448b37ffffffff,356.0,0.0,0.0
8448b3dffffffff,358.0,0.0,0.0
8448b4dffffffff,2.0,0.0,0.0
8448b5bffffffff,22.0,0.0,0.0
8448c51ffffffff,9.0,0.0,0.0
8448c59ffffffff,849.0,0.0,0.0
8448c5bffffffff,73.0,0.0,0.0
8448c5dffffffff,58.0,0.0,0.0
8448e01ffffffff,2.0,0.0,0.0
8448e33ffffffff,29.0,0.0,0.0
8448e37ffffffff,5.0,0.0,0.0
8448e59ffffffff,4.0,0.0,0.0
8448e89ffffffff,124.0,0.0,0.0
8448e8dffffffff,2720.0,0.0,0.0
8448ea9ffffffff,4.0,0.0,0.0
8448ec3ffffffff,58.0,0.0,0.0
8448ec5ffffffff,30.0,0.0,0.0
8448ec7ffffffff,607.0,0.0,0.0
8448ee1ffffffff,1712.0,0.0,0.0
8448ee3ffffffff,105.0,0.0,0.0
8448ee5ffffffff,34.0,0.0,0.0
8448ee7ffffffff,33.0,0.0,0.0
8448ee9ffffffff,353.0,0.0,0.0
8448eebffffffff,2712.0,0.0,0.0
8448eedffffffff,15.0,0.0,0.0
8449801ffffffff,7.0,0.0,0.0
8449803ffffffff,1.0,0.0,0.0
8449809ffffffff,4.0,0.0,0.0
844980bffffffff,3.0,0.0,0.0
8449823ffffffff,13.0,0.0,0.0
8449825ffffffff,4.0,0.0,0.0
8449829ffffffff,3.0,0.0,0.0
844982bffffffff,11.0,0.0,0.0
844982dffffffff,7.0,0.0,0.0
8449831ffffffff,1.0,0.0,0.0
8449855ffffffff,4.0,0.0,0.0
8449865ffffffff,4.0,0.0,0.0
844986dffffffff,2.0,0.0,0.0
844988dffffffff,6.0,0.0,0.0
8449899ffffffff,2.0,0.0,0.0
84498c7ffffffff,2.0,0.0,0.0
84498ebffffffff,1.0,0.0,0.0
84498edffffffff,3.0,0.0,0.0
8449907ffffffff,1.0,0.0,0.0
8449941ffffffff,4.0,0.0,0.0
8449943ffffffff,3.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0
8449949ffffffff,1.0,0.0,0.0
844994bffffffff,102.0,0.0,0.0
8449951ffffffff,11.0,0.0,0.0
8449953ffffffff,6.0,0.0,0.0
8449959ffffffff,273.0,26.0,0.0
844995bffffffff,50.0,2.0,0.0
844995dffffffff,4.0,0.0,0.0
8449961ffffffff,141.0,0.0,0.0
844996dffffffff,19.0,0.0,0.0
84499d1ffffffff,1.0,0.0,0.0
8449a83ffffffff,11.0,0.0,0.0
8449a85ffffffff,3.0,0.0,0.0
8449a87ffffffff,2.0,0.0,0.0
8449a97ffffffff,2.0,0.0,0.0
8449aa1ffffffff,63.0,0.0,0.0
8449aa3ffffffff,4.0,0.0,0.0
8449aa9ffffffff,1.0,0.0,0.0
8449aabffffffff,3.0,0.0,0.0
8449b0bffffffff,3.0,0.0,0.0
8449b33ffffffff,4.0,0.0,0.0
8449b37ffffffff,34.0,0.0,0.0
8449b3bffffffff,6.0,0.0,0.0
846790dffffffff,3.0,0.0,0.0
846d23dffffffff,13.0,0.0,0.0
846d253ffffffff,21.0,0.0,0.0
846d257ffffffff,5.0,0.0,0.0
846d299ffffffff,22.0,0.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d2ebffffffff,2.0,0.0,0.0
846d321ffffffff,2.0,0.0,0.0
846d323ffffffff,2.0,0.0,0.0
846d32bffffffff,240.0,4.0,0.0
846d32dffffffff,1.0,0.0,0.0
846d33dffffffff,21.0,0.0,0.0
846d343ffffffff,3.0,0.0,0.0
846d365ffffffff,2.0,0.0,0.0
846d681ffffffff,44.0,0.0,0.0
