cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
84444e5ffffffff,2.0,0.0,0.0
84444e7ffffffff,8.0,0.0,0.0
8444501ffffffff,286.0,0.0,16.0
8444509ffffffff,988.0,0.0,14.0
844450dffffffff,885.0,0.0,62.0
8444543ffffffff,1.0,0.0,0.0
844454bffffffff,1.0,0.0,0.0
8444551ffffffff,109.0,0.0,0.0
8444555ffffffff,1839.0,0.0,0.0
8444557ffffffff,2.0,0.0,0.0
8444559ffffffff,25.0,0.0,0.0
844455bffffffff,438.0,0.0,0.0
844455dffffffff,18.0,0.0,0.0
8444563ffffffff,5.0,0.0,0.0
84445d1ffffffff,2.0,0.0,0.0
84445d5ffffffff,3.0,0.0,0.0
84445ddffffffff,1.0,0.0,0.0
8444633ffffffff,1390.0,0.0,0.0
8444637ffffffff,139.0,0.0,0.0
8444685ffffffff,1.0,0.0,1.0
8444693ffffffff,25.0,0.0,0.0
84446b9ffffffff,2.0,0.0,0.0
84446c1ffffffff,1420.0,0.0,6.0
84446c3ffffffff,356.0,0.0,2.0
84446c5ffffffff,4412.0,0.0,507.0
84446c7ffffffff,153.0,0.0,7.0
84446c9ffffffff,580.0,0.0,7.0
84446cbffffffff,837.0,0.0,7.0
84446cdffffffff,6764.0,0.0,1144.0
84446d5ffffffff,9.0,0.0,0.0
84446d9ffffffff,7.0,0.0,0.0
84446ddffffffff,1782.0,0.0,13.0
84446e1ffffffff,46.0,0.0,1.0
84446e5ffffffff,299.0,0.0,0.0
84446e9ffffffff,678.0,0.0,22.0
84446ebffffffff,601.0,0.0,44.0
84446edffffffff,580.0,0.0,0.0
8444711ffffffff,18.0,0.0,0.0
8444713ffffffff,29.0,0.0,0.0
8444715ffffffff,62.0,0.0,0.0
8444717ffffffff,97.0,0.0,0.0
8444731ffffffff,321.0,0.0,0.0
8444733ffffffff,148.0,0.0,0.0
8444735ffffffff,105.0,0.0,0.0
8444737ffffffff,10.0,0.0,0.0
844473bffffffff,2112.0,0.0,0.0
844473dffffffff,54.0,0.0,0.0
8444a11ffffffff,172.0,13.0,0.0
8444a13ffffffff,1699.0,110.0,0.0
8444a19ffffffff,549.0,69.0,0.0
8444a1bffffffff,255.0,30.0,0.0
8444a51ffffffff,3.0,0.0,0.0
8444a53ffffffff,49.0,8.0,0.0
8444a57ffffffff,2.0,0.0,0.0
8444a5bffffffff,4.0,0.0,0.0
8444a81ffffffff,1988.0,114.0,0.0
8444a83ffffffff,2816.0,120.0,0.0
8444a85ffffffff,13.0,4.0,0.0
8444a87ffffffff,227.0,2.0,0.0
8444a89ffffffff,225.0,50.0,0.0
8444a8bffffffff,192.0,41.0,0.0
8444a8dffffffff,1546.0,48.0,0.0
8444a91ffffffff,515.0,44.0,0.0
8444a93ffffffff,2162.0,239.0,0.0
8444a95ffffffff,1292.0,156.0,0.0
8444a97ffffffff,205.0,6.0,0.0
8444a99ffffffff,335.0,18.0,0.0
8444a9bffffffff,233.0,20.0,0.0
8444a9dffffffff,397.0,82.0,0.0
8444ab9ffffffff,317.0,20.0,0.0
8444abbffffffff,3531.0,355.0,0.0
8444ac1ffffffff,153.0,36.0,0.0
8444ac3ffffffff,147.0,22.0,0.0
8444ac5ffffffff,1726.0,386.0,0.0
8444ac7ffffffff,276.0,13.0,0.0
8444ac9ffffffff,740.0,42.0,0.0
8444acbffffffff,79.0,8.0,0.0
8444acdffffffff,630.0,87.0,0.0
8444ad1ffffffff,135.0,22.0,0.0
8444ad3ffffffff,516.0,47.0,0.0
8444ad5ffffffff,201.0,38.0,0.0
8444ad7ffffffff,379.0,19.0,0.0
8444ad9ffffffff,534.0,37.0,0.0
8444adbffffffff,56.0,9.0,0.0
8444addffffffff,217.0,2.0,0.0
8444ae3ffffffff,84.0,7.0,0.0
8444ae9ffffffff,6433.0,605.0,0.0
8444aebffffffff,756.0,91.0,0.0
8444d01ffffffff,28.0,0.0,0.0
8444d03ffffffff,165.0,0.0,0.0
8444d07ffffffff,121.0,0.0,0.0
8444d0bffffffff,2121.0,0.0,0.0
8444d23ffffffff,631.0,0.0,0.0
8444d2bffffffff,416.0,0.0,0.0
8444d35ffffffff,2.0,0.0,0.0
8444d3bffffffff,18.0,0.0,0.0
8444d3dffffffff,43.0,0.0,0.0
8444d51ffffffff,329.0,0.0,0.0
8444d55ffffffff,7.0,0.0,0.0
8444d57ffffffff,18.0,0.0,0.0
8444d59ffffffff,4.0,0.0,0.0
8444d5dffffffff,2606.0,0.0,0.0
8444f01ffffffff,8.0,0.0,0.0
8444f05ffffffff,141.0,0.0,0.0
8444f07ffffffff,41.0,0.0,0.0
8444f09ffffffff,11.0,0.0,0.0
8444f0dffffffff,5.0,0.0,0.0
8444f31ffffffff,860.0,0.0,0.0
8444f35ffffffff,1114.0,0.0,0.0
8444f37ffffffff,30.0,0.0,0.0
8444f3dffffffff,10.0,0.0,0.0
8444f41ffffffff,453.0,0.0,0.0
8444f43ffffffff,3183.0,100.0,0.0
8444f45ffffffff,9.0,0.0,0.0
8444f47ffffffff,9.0,0.0,0.0
8444f49ffffffff,77.0,4.0,0.0
8444f4bffffffff,16.0,0.0,0.0
8444f4dffffffff,33.0,0.0,0.0
8444f55ffffffff,102.0,0.0,0.0
8444f57ffffffff,8.0,0.0,0.0
8444f5dffffffff,20.0,2.0,0.0
8444f61ffffffff,3.0,0.0,0.0
8444f63ffffffff,47.0,0.0,0.0
8444f69ffffffff,18.0,0.0,0.0
8444f6bffffffff,6.0,0.0,0.0
8444f6dffffffff,211.0,0.0,0.0
844549bffffffff,2.0,0.0,0.0
84456dbffffffff,5.0,0.0,0.0
8448805ffffffff,8.0,0.0,0.0
844880dffffffff,456.0,0.0,0.0
8448815ffffffff,2.0,0.0,0.0
8448821ffffffff,3.0,0.0,0.0
8448823ffffffff,21.0,0.0,0.0
8448825ffffffff,383.0,0.0,1.0
8448827ffffffff,22.0,0.0,0.0
844882bffffffff,23.0,0.0,0.0
844882dffffffff,3.0,0.0,0.0
8448831ffffffff,1.0,0.0,0.0
8448837ffffffff,2.0,0.0,0.0
8448839ffffffff,19.0,0.0,0.0
844884dffffffff,1.0,0.0,0.0
8448861ffffffff,16.0,0.0,0.0
8448863ffffffff,27.0,0.0,0.0
8448865ffffffff,1.0,0.0,0.0
8448867ffffffff,11.0,0.0,0.0
8448869ffffffff,64.0,0.0,0.0
844886bffffffff,144.0,0.0,0.0
844886dffffffff,12.0,0.0,0.0
8448901ffffffff,4.0,0.0,0.0
8448903ffffffff,609.0,0.0,13.0
8448907ffffffff,754.0,0.0,6.0
844890bffffffff,2145.0,0.0,151.0
8448911ffffffff,4.0,0.0,0.0
8448913ffffffff,22.0,0.0,0.0
8448915ffffffff,45.0,0.0,0.0
844891bffffffff,187.0,0.0,0.0
844891dffffffff,46.0,0.0,0.0
8448923ffffffff,424.0,0.0,6.0
8448927ffffffff,105.0,0.0,10.0
844892bffffffff,20.0,0.0,0.0
8448931ffffffff,12.0,0.0,0.0
8448933ffffffff,23.0,0.0,0.0
8448935ffffffff,163.0,0.0,0.0
8448937ffffffff,319.0,0.0,3.0
8448939ffffffff,97.0,0.0,0.0
844893bffffffff,31.0,0.0,0.0
844893dffffffff,230.0,0.0,0.0
8448951ffffffff,1408.0,0.0,68.0
8448953ffffffff,86.0,0.0,3.0
8448955ffffffff,3670.0,0.0,172.0
8448957ffffffff,274.0,0.0,9.0
8448959ffffffff,784.0,0.0,13.0
844895bffffffff,109.0,0.0,0.0
844895dffffffff,96.0,0.0,0.0
84489edffffffff,5.0,0.0,0.0
8448a21ffffffff,5.0,0.0,0.0
8448a27ffffffff,7.0,0.0,0.0
8448b03ffffffff,2.0,0.0,0.0
8448b13ffffffff,1601.0,0.0,50.0
8448b15ffffffff,2362.0,0.0,162.0
8448b17ffffffff,154.0,0.0,10.0
8448b19ffffffff,10.0,0.0,0.0
8448b1bffffffff,11.0,0.0,0.0
8448b23ffffffff,7947.0,0.0,1011.0
8448b2bffffffff,1551.0,0.0,136.0
8448b31ffffffff,778.0,0.0,34.0
8448b33ffffffff,4.0,0.0,0.0
8448b35ffffffff,182.0,0.0,3.0
8448b37ffffffff,373.0,0.0,0.0
8448b39ffffffff,12660.0,0.0,826.0
8448b3bffffffff,65.0,0.0,5.0
8448b3dffffffff,3145.0,0.0,350.0
8448b47ffffffff,2.0,0.0,0.0
8448b4dffffffff,13.0,0.0,0.0
8448b51ffffffff,12.0,0.0,0.0
8448b59ffffffff,1.0,0.0,0.0
8448b5bffffffff,2.0,0.0,0.0
844993dffffffff,1.0,0.0,0.0
8449981ffffffff,1.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449987ffffffff,2.0,0.0,0.0
