cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
839cb5fffffffff,80.0,10.0,0.0,0.0,0.0
839cc2fffffffff,9.0,0.0,0.0,0.0,0.0
839cd1fffffffff,7.0,4.0,0.0,0.0,0.0
839cd3fffffffff,285.0,143.0,0.0,0.0,0.0
839ce2fffffffff,5.0,0.0,3.0,0.0,0.0
839ce4fffffffff,11.0,0.0,2.0,0.0,0.0
839ce6fffffffff,6.0,0.0,3.0,0.0,0.0
839ce9fffffffff,33.0,0.0,0.0,0.0,0.0
839cf1fffffffff,27.0,0.0,10.0,0.0,0.0
839cf5fffffffff,80.0,0.0,39.0,0.0,0.0
839d01fffffffff,251.0,0.0,39.0,0.0,0.0
839d08fffffffff,3.0,0.0,0.0,0.0,0.0
839d09fffffffff,1.0,0.0,0.0,0.0,0.0
839d0afffffffff,19.0,0.0,0.0,0.0,0.0
839d0bfffffffff,358.0,0.0,83.0,0.0,0.0
839d0cfffffffff,8.0,0.0,0.0,0.0,0.0
839d0efffffffff,56.0,0.0,6.0,0.0,0.0
839d21fffffffff,1.0,0.0,1.0,0.0,0.0
839d2afffffffff,16.0,0.0,3.0,0.0,0.0
839d2bfffffffff,2.0,0.0,0.0,0.0,0.0
839d91fffffffff,1.0,1.0,0.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0,0.0,0.0
