cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
831f82fffffffff,29.0,0.0,0.0,0.0,0.0
831f83fffffffff,57.0,0.0,0.0,0.0,0.0
831f88fffffffff,2.0,0.0,0.0,0.0,0.0
831f89fffffffff,2.0,0.0,0.0,0.0,0.0
831f8cfffffffff,1.0,0.0,0.0,0.0,0.0
831f8dfffffffff,44.0,19.0,0.0,0.0,0.0
831f8efffffffff,19.0,2.0,0.0,0.0,0.0
831f90fffffffff,2.0,2.0,0.0,0.0,0.0
831f91fffffffff,87.0,21.0,0.0,0.0,0.0
831f93fffffffff,4.0,0.0,0.0,0.0,0.0
831f94fffffffff,7.0,2.0,0.0,0.0,0.0
831f95fffffffff,3.0,2.0,0.0,0.0,0.0
831f96fffffffff,2.0,0.0,0.0,0.0,0.0
831f98fffffffff,83.0,2.0,0.0,0.0,0.0
831f99fffffffff,23.0,0.0,0.0,0.0,0.0
831f9afffffffff,42.0,0.0,0.0,0.0,0.0
831f9bfffffffff,14.0,0.0,0.0,0.0,0.0
831f9cfffffffff,3.0,0.0,0.0,0.0,0.0
831f9dfffffffff,21.0,0.0,0.0,0.0,0.0
831fa8fffffffff,3.0,0.0,0.0,0.0,0.0
831fa9fffffffff,5.0,0.0,0.0,0.0,0.0
831faafffffffff,61.0,0.0,0.0,0.0,0.0
831fabfffffffff,44.0,0.0,0.0,0.0,0.0
831fb0fffffffff,4.0,2.0,0.0,0.0,0.0
831fb1fffffffff,2.0,0.0,0.0,0.0,0.0
831fb2fffffffff,26.0,0.0,0.0,0.0,0.0
831fb4fffffffff,6.0,2.0,0.0,0.0,0.0
831fb6fffffffff,6.0,0.0,0.0,0.0,0.0
83200afffffffff,2.0,2.0,0.0,0.0,0.0
83200efffffffff,2.0,0.0,0.0,0.0,0.0
832010fffffffff,5.0,0.0,0.0,0.0,0.0
832012fffffffff,2.0,0.0,0.0,0.0,0.0
832016fffffffff,14.0,4.0,0.0,0.0,0.0
832018fffffffff,2.0,0.0,0.0,0.0,0.0
83201bfffffffff,3.0,0.0,0.0,0.0,0.0
83201dfffffffff,21.0,7.0,0.0,0.0,0.0
83209afffffffff,5.0,0.0,0.0,0.0,0.0
83209bfffffffff,8.0,0.0,0.0,0.0,0.0
83209efffffffff,3.0,0.0,0.0,0.0,0.0
8320a4fffffffff,2.0,0.0,0.0,0.0,0.0
8320a5fffffffff,4.0,0.0,0.0,0.0,0.0
8320e0fffffffff,5.0,0.0,0.0,0.0,0.0
