cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
83815afffffffff,2.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838160fffffffff,1.0,0.0,0.0
838162fffffffff,19.0,0.0,0.0
838163fffffffff,40.0,1.0,0.0
838164fffffffff,2.0,0.0,0.0
838166fffffffff,3.0,0.0,0.0
838171fffffffff,78.0,15.0,0.0
838172fffffffff,2.0,0.0,0.0
838174fffffffff,4.0,0.0,0.0
838181fffffffff,4.0,0.0,4.0
838183fffffffff,12.0,0.0,4.0
838188fffffffff,18.0,0.0,14.0
83818afffffffff,6.0,0.0,6.0
83818bfffffffff,9.0,0.0,9.0
83818cfffffffff,7.0,0.0,7.0
83818efffffffff,4.0,0.0,4.0
838199fffffffff,3.0,0.0,3.0
83819dfffffffff,3.0,0.0,3.0
8381a8fffffffff,2.0,0.0,0.0
8381aafffffffff,10.0,0.0,10.0
8381acfffffffff,3.0,0.0,3.0
8381adfffffffff,137.0,0.0,109.0
838a00fffffffff,29.0,2.0,0.0
838a01fffffffff,15.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,66.0,10.0,0.0
838a06fffffffff,1.0,0.0,0.0
838a10fffffffff,3.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a1afffffffff,5.0,0.0,0.0
838a1bfffffffff,1.0,1.0,0.0
838a21fffffffff,8.0,1.0,0.0
838a24fffffffff,2.0,2.0,0.0
838a25fffffffff,8.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0
838a2efffffffff,5.0,1.0,0.0
838a31fffffffff,29.0,4.0,0.0
838a33fffffffff,4.0,0.0,0.0
838a35fffffffff,1.0,1.0,0.0
838a45fffffffff,505.0,0.0,0.0
838a63fffffffff,43.0,1.0,0.0
838a68fffffffff,17.0,0.0,0.0
838a69fffffffff,83.0,0.0,0.0
838a6dfffffffff,593.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0
838a70fffffffff,18.0,0.0,0.0
838a73fffffffff,13.0,0.0,0.0
838a75fffffffff,3.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0
838a8cfffffffff,45.0,9.0,0.0
838a90fffffffff,3.0,0.0,0.0
838a9efffffffff,1.0,0.0,0.0
838aa8fffffffff,4.0,0.0,0.0
838aa9fffffffff,13.0,3.0,0.0
838aaafffffffff,5.0,0.0,0.0
838aabfffffffff,30.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838ad1fffffffff,28.0,3.0,0.0
838adafffffffff,44.0,10.0,0.0
838adbfffffffff,24.0,2.0,0.0
838adcfffffffff,33.0,4.0,0.0
838adefffffffff,2.0,0.0,0.0
838ae5fffffffff,8.0,0.0,0.0
838af0fffffffff,2.0,0.0,0.0
838af2fffffffff,2.0,0.0,0.0
838af4fffffffff,17.0,1.0,0.0
838af6fffffffff,200.0,31.0,0.0
838b00fffffffff,4.0,0.0,0.0
838b01fffffffff,4.0,0.0,0.0
838b04fffffffff,11.0,0.0,0.0
838b05fffffffff,10.0,0.0,0.0
838b06fffffffff,5.0,0.0,0.0
838b08fffffffff,13.0,0.0,0.0
838b09fffffffff,2.0,0.0,0.0
838b0bfffffffff,5.0,0.0,0.0
838b0cfffffffff,123.0,0.0,0.0
838b0dfffffffff,50.0,0.0,0.0
838b10fffffffff,4.0,0.0,0.0
838b11fffffffff,10.0,0.0,0.0
838b12fffffffff,2.0,0.0,0.0
838b1afffffffff,1.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1efffffffff,18.0,2.0,0.0
838b20fffffffff,8.0,0.0,0.0
838b21fffffffff,8.0,0.0,0.0
838b22fffffffff,261.0,0.0,0.0
838b23fffffffff,17.0,0.0,0.0
838b26fffffffff,41.0,0.0,0.0
838b2afffffffff,94.0,0.0,0.0
838b2bfffffffff,4.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b2efffffffff,7.0,0.0,0.0
838b31fffffffff,40.0,0.0,0.0
838b34fffffffff,6.0,0.0,0.0
838b36fffffffff,10.0,0.0,0.0
838b40fffffffff,111.0,0.0,0.0
838b42fffffffff,29.0,0.0,0.0
