cell_id,Cinnyris ornatus,Cinnyris ornatus [ornatus Group],Cinnyris ornatus rhizophorae
83658afffffffff,468.0,4.0,0.0
83658bfffffffff,863.0,6.0,0.0
83658efffffffff,612.0,0.0,0.0
836590fffffffff,27.0,0.0,0.0
836591fffffffff,427.0,1.0,0.0
836592fffffffff,6.0,0.0,0.0
836593fffffffff,13.0,0.0,0.0
836594fffffffff,5.0,0.0,0.0
836595fffffffff,39.0,0.0,0.0
836596fffffffff,3.0,0.0,0.0
836598fffffffff,115.0,4.0,0.0
836599fffffffff,815.0,7.0,0.0
83659afffffffff,39.0,0.0,0.0
83659bfffffffff,44.0,0.0,0.0
83659cfffffffff,617.0,0.0,0.0
83659dfffffffff,19.0,1.0,0.0
83659efffffffff,31.0,0.0,0.0
8365a2fffffffff,17.0,0.0,0.0
8365aafffffffff,4.0,0.0,0.0
8365b0fffffffff,350.0,0.0,0.0
8365b1fffffffff,3.0,0.0,0.0
8365b2fffffffff,61.0,0.0,0.0
8365b3fffffffff,153.0,0.0,0.0
8365b4fffffffff,22.0,0.0,0.0
8365b5fffffffff,87.0,0.0,0.0
8365b6fffffffff,16.0,0.0,0.0
836802fffffffff,151.0,0.0,0.0
836810fffffffff,31.0,0.0,0.0
836811fffffffff,438.0,2.0,0.0
836812fffffffff,11.0,0.0,0.0
836813fffffffff,1.0,0.0,0.0
836815fffffffff,347.0,0.0,0.0
836816fffffffff,8.0,0.0,0.0
836818fffffffff,151.0,0.0,0.0
83681afffffffff,4.0,0.0,0.0
83681bfffffffff,10.0,0.0,0.0
83681cfffffffff,326.0,2.0,0.0
83681dfffffffff,17.0,0.0,0.0
83681efffffffff,3.0,0.0,0.0
836892fffffffff,2.0,0.0,0.0
8368a4fffffffff,2.0,0.0,0.0
8368a5fffffffff,19.0,1.0,0.0
8368acfffffffff,30.0,0.0,0.0
836914fffffffff,6.0,0.0,0.0
836930fffffffff,1.0,0.0,0.0
836932fffffffff,1.0,0.0,0.0
836934fffffffff,14.0,1.0,0.0
83699afffffffff,30.0,0.0,0.0
838c10fffffffff,222.0,4.0,0.0
838c12fffffffff,5.0,0.0,0.0
838c13fffffffff,34.0,0.0,0.0
838c14fffffffff,3.0,0.0,0.0
838c16fffffffff,2.0,0.0,0.0
838c1afffffffff,3.0,0.0,0.0
838c88fffffffff,4.0,0.0,0.0
838c8afffffffff,2.0,0.0,0.0
838c8bfffffffff,2.0,0.0,0.0
838c8cfffffffff,1.0,0.0,0.0
838c96fffffffff,24.0,0.0,0.0
838c99fffffffff,2.0,0.0,0.0
838cadfffffffff,64.0,2.0,0.0
838cd2fffffffff,5.0,0.0,0.0
838cd3fffffffff,2.0,0.0,0.0
838cd5fffffffff,3.0,0.0,0.0
838cdcfffffffff,2.0,0.0,0.0
838cdefffffffff,1.0,0.0,0.0
838cf5fffffffff,13.0,0.0,0.0
838d80fffffffff,20.0,0.0,0.0
838d85fffffffff,10.0,0.0,0.0
838d8cfffffffff,67.0,0.0,0.0
838d8dfffffffff,2.0,0.0,0.0
838d92fffffffff,4.0,0.0,0.0
838da2fffffffff,25.0,0.0,0.0
838da3fffffffff,3.0,0.0,0.0
838da6fffffffff,20.0,0.0,0.0
838daafffffffff,3.0,0.0,0.0
838dabfffffffff,9.0,0.0,0.0
838db0fffffffff,5.0,0.0,0.0
838db1fffffffff,3.0,0.0,0.0
838db4fffffffff,15.0,0.0,0.0
838db5fffffffff,570.0,9.0,0.0
839426fffffffff,8.0,0.0,0.0
839512fffffffff,5.0,0.0,0.0
839518fffffffff,28.0,0.0,0.0
83951afffffffff,39.0,0.0,0.0
83951efffffffff,141.0,0.0,0.0
8395a4fffffffff,572.0,3.0,0.0
8395a5fffffffff,39.0,1.0,0.0
8395a9fffffffff,10.0,0.0,0.0
