cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
846794bffffffff,17.0,0.0,0.0
846795dffffffff,17.0,0.0,0.0
8467961ffffffff,1.0,0.0,0.0
8467969ffffffff,2.0,0.0,0.0
8467b21ffffffff,5.0,0.0,0.0
8467b27ffffffff,7.0,0.0,0.0
8467b2bffffffff,6.0,0.0,0.0
846d041ffffffff,15.0,0.0,8.0
846d043ffffffff,111.0,0.0,19.0
846d045ffffffff,3.0,0.0,0.0
846d049ffffffff,1.0,0.0,0.0
846d04bffffffff,66.0,0.0,8.0
846d04dffffffff,23.0,0.0,0.0
846d051ffffffff,37.0,0.0,6.0
846d053ffffffff,153.0,0.0,46.0
846d059ffffffff,4.0,0.0,0.0
846d05bffffffff,83.0,0.0,18.0
846d05dffffffff,34.0,0.0,9.0
846d069ffffffff,30.0,0.0,0.0
846d06dffffffff,28.0,0.0,5.0
846d141ffffffff,54.0,0.0,7.0
846d143ffffffff,28.0,0.0,2.0
846d145ffffffff,1.0,0.0,0.0
846d149ffffffff,1.0,0.0,0.0
846d14bffffffff,11.0,0.0,0.0
846d14dffffffff,1.0,0.0,0.0
846d159ffffffff,889.0,0.0,127.0
846d15dffffffff,89.0,0.0,11.0
846d283ffffffff,7.0,0.0,2.0
846d287ffffffff,81.0,0.0,10.0
846d291ffffffff,94.0,0.0,3.0
846d293ffffffff,30.0,0.0,5.0
846d295ffffffff,1681.0,0.0,24.0
846d297ffffffff,154.0,0.0,11.0
846d299ffffffff,117.0,0.0,48.0
846d29bffffffff,6.0,0.0,2.0
846d2a1ffffffff,158.0,0.0,41.0
846d2a3ffffffff,114.0,0.0,5.0
846d2a9ffffffff,79.0,0.0,2.0
846d2abffffffff,36.0,0.0,8.0
846d2adffffffff,29.0,0.0,0.0
846d2b1ffffffff,4.0,0.0,0.0
846d2b3ffffffff,35.0,0.0,0.0
846d2b5ffffffff,2.0,0.0,0.0
846d2b9ffffffff,1559.0,0.0,88.0
846d2bbffffffff,43.0,0.0,2.0
846d2bdffffffff,61.0,0.0,14.0
846d311ffffffff,4.0,0.0,0.0
846d313ffffffff,196.0,0.0,9.0
846d317ffffffff,19.0,0.0,4.0
846d333ffffffff,22.0,0.0,0.0
846d337ffffffff,366.0,0.0,38.0
846d601ffffffff,84.0,0.0,0.0
846d603ffffffff,19.0,0.0,0.0
846d605ffffffff,209.0,0.0,0.0
846d607ffffffff,156.0,0.0,0.0
846d609ffffffff,122.0,0.0,0.0
846d60bffffffff,6.0,0.0,0.0
846d60dffffffff,392.0,0.0,0.0
846d611ffffffff,14.0,0.0,0.0
846d613ffffffff,539.0,0.0,0.0
846d615ffffffff,30.0,0.0,0.0
846d617ffffffff,1616.0,0.0,0.0
846d619ffffffff,37.0,0.0,0.0
846d61bffffffff,44.0,0.0,0.0
846d639ffffffff,339.0,0.0,0.0
846d63bffffffff,10.0,0.0,0.0
846d641ffffffff,1235.0,0.0,0.0
846d643ffffffff,57.0,0.0,0.0
846d645ffffffff,1281.0,0.0,0.0
846d647ffffffff,6.0,0.0,0.0
846d649ffffffff,16.0,0.0,0.0
846d64bffffffff,29.0,0.0,0.0
846d64dffffffff,28.0,0.0,0.0
846d651ffffffff,49.0,0.0,0.0
846d653ffffffff,276.0,0.0,0.0
846d655ffffffff,111.0,0.0,0.0
846d657ffffffff,251.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65dffffffff,4.0,0.0,0.0
846d661ffffffff,8.0,0.0,0.0
846d663ffffffff,163.0,0.0,0.0
846d665ffffffff,147.0,0.0,0.0
846d667ffffffff,71.0,0.0,0.0
846d669ffffffff,2.0,0.0,0.0
846d66bffffffff,144.0,0.0,0.0
846d66dffffffff,229.0,0.0,0.0
846d681ffffffff,482.0,0.0,0.0
846d683ffffffff,905.0,0.0,0.0
846d685ffffffff,205.0,0.0,0.0
846d687ffffffff,660.0,0.0,0.0
846d689ffffffff,45.0,0.0,0.0
846d68bffffffff,48.0,0.0,0.0
846d68dffffffff,219.0,0.0,0.0
846d691ffffffff,69.0,0.0,0.0
846d693ffffffff,1070.0,0.0,0.0
846d695ffffffff,1341.0,0.0,0.0
846d697ffffffff,2389.0,0.0,0.0
846d69bffffffff,72.0,0.0,0.0
846d69dffffffff,56.0,0.0,0.0
846d6abffffffff,176.0,0.0,0.0
846d6b1ffffffff,53.0,0.0,0.0
846d6b9ffffffff,268.0,0.0,0.0
846d6bbffffffff,1004.0,0.0,0.0
846d6bdffffffff,96.0,0.0,0.0
846d6c3ffffffff,43.0,0.0,0.0
846d6c5ffffffff,6.0,0.0,0.0
846d6c7ffffffff,89.0,0.0,0.0
846d6c9ffffffff,78.0,0.0,0.0
846d6cbffffffff,4.0,0.0,0.0
846d6cdffffffff,14.0,0.0,0.0
846d6d1ffffffff,2.0,0.0,0.0
846d6d5ffffffff,40.0,0.0,0.0
846d6ddffffffff,8.0,0.0,0.0
846d6e1ffffffff,10.0,0.0,0.0
846d6e9ffffffff,1423.0,0.0,0.0
846d6ebffffffff,87.0,0.0,0.0
846d6edffffffff,142.0,0.0,0.0
846d741ffffffff,411.0,0.0,0.0
846d743ffffffff,146.0,0.0,0.0
846d745ffffffff,140.0,0.0,0.0
846d747ffffffff,80.0,0.0,0.0
846d749ffffffff,47.0,0.0,0.0
846d74bffffffff,1375.0,0.0,0.0
846d74dffffffff,11.0,0.0,0.0
846d751ffffffff,92.0,0.0,0.0
846d759ffffffff,45.0,0.0,0.0
846d75bffffffff,88.0,0.0,0.0
846d75dffffffff,472.0,0.0,0.0
846d769ffffffff,134.0,0.0,5.0
846d76dffffffff,65.0,0.0,15.0
