cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
8465855ffffffff,1.0,0.0,0.0,0.0,0.0
8465859ffffffff,5.0,0.0,0.0,0.0,0.0
8465867ffffffff,1.0,0.0,0.0,0.0,0.0
8465893ffffffff,2.0,0.0,0.0,0.0,0.0
84658a3ffffffff,1.0,0.0,0.0,0.0,0.0
84658adffffffff,3.0,0.0,0.0,0.0,0.0
84658e7ffffffff,1.0,0.0,0.0,0.0,0.0
8465911ffffffff,10.0,0.0,0.0,0.0,0.0
8465913ffffffff,2.0,0.0,0.0,0.0,0.0
846591bffffffff,20.0,0.0,0.0,0.0,0.0
846591dffffffff,29.0,0.0,0.0,0.0,0.0
8465955ffffffff,1.0,0.0,0.0,0.0,0.0
8465959ffffffff,5.0,0.0,0.0,0.0,0.0
846595dffffffff,3.0,0.0,0.0,0.0,0.0
8465961ffffffff,3.0,0.0,0.0,0.0,0.0
8465969ffffffff,7.0,0.0,0.0,0.0,0.0
846598bffffffff,3.0,0.0,0.0,0.0,0.0
8465991ffffffff,7.0,0.0,0.0,0.0,0.0
8465993ffffffff,369.0,4.0,0.0,0.0,0.0
8465999ffffffff,1.0,0.0,0.0,0.0,0.0
846599bffffffff,2.0,0.0,0.0,0.0,0.0
846599dffffffff,5.0,0.0,0.0,0.0,0.0
84659c1ffffffff,2.0,0.0,0.0,0.0,0.0
84659c9ffffffff,4.0,0.0,0.0,0.0,0.0
84659dbffffffff,2.0,0.0,0.0,0.0,0.0
8465b01ffffffff,340.0,1.0,0.0,0.0,0.0
8465b0bffffffff,6.0,0.0,0.0,0.0,0.0
8465b17ffffffff,1.0,0.0,0.0,0.0,0.0
8465b33ffffffff,4.0,0.0,0.0,0.0,0.0
8465b39ffffffff,6.0,0.0,0.0,0.0,0.0
8465b3dffffffff,19.0,0.0,0.0,0.0,0.0
8468423ffffffff,12.0,0.0,0.0,0.0,0.0
846842bffffffff,9.0,0.0,0.0,0.0,0.0
8468433ffffffff,2.0,0.0,0.0,0.0,0.0
8468435ffffffff,110.0,0.0,0.0,0.0,0.0
8468439ffffffff,16.0,0.0,0.0,0.0,0.0
846843dffffffff,2.0,0.0,0.0,0.0,0.0
8468447ffffffff,28.0,0.0,0.0,0.0,0.0
84684e5ffffffff,162.0,0.0,0.0,0.0,0.0
846856bffffffff,2.0,0.0,0.0,0.0,0.0
8468583ffffffff,2.0,0.0,0.0,0.0,0.0
84685c7ffffffff,1.0,0.0,0.0,0.0,0.0
84685d1ffffffff,24.0,0.0,0.0,0.0,0.0
84685d7ffffffff,1.0,0.0,0.0,0.0,0.0
84685dbffffffff,1.0,0.0,0.0,0.0,0.0
84685e7ffffffff,3.0,0.0,0.0,0.0,0.0
84685e9ffffffff,4.0,0.0,0.0,0.0,0.0
84685edffffffff,2.0,0.0,0.0,0.0,0.0
84686e9ffffffff,8.0,0.0,0.0,0.0,0.0
8468c27ffffffff,2.0,0.0,0.0,0.0,0.0
8468c81ffffffff,2.0,0.0,0.0,0.0,0.0
8468c89ffffffff,1.0,0.0,0.0,0.0,0.0
8468c8bffffffff,79.0,0.0,0.0,0.0,4.0
8468c8dffffffff,1.0,0.0,0.0,0.0,0.0
8468ca9ffffffff,25.0,0.0,0.0,0.0,0.0
8468ce7ffffffff,71.0,0.0,0.0,0.0,0.0
8468d23ffffffff,22.0,0.0,0.0,0.0,0.0
8468d29ffffffff,20.0,0.0,0.0,0.0,0.0
8468d2bffffffff,35.0,0.0,0.0,0.0,0.0
8468d85ffffffff,8.0,0.0,0.0,0.0,0.0
8468d87ffffffff,4.0,0.0,0.0,0.0,0.0
8468d8bffffffff,1.0,0.0,0.0,0.0,0.0
8468ddbffffffff,4.0,0.0,0.0,0.0,0.0
8469345ffffffff,3.0,0.0,0.0,0.0,0.0
8469433ffffffff,2.0,0.0,0.0,0.0,0.0
8469439ffffffff,183.0,0.0,0.0,0.0,0.0
846943bffffffff,1.0,0.0,0.0,0.0,0.0
8469451ffffffff,4.0,0.0,0.0,0.0,0.0
846945dffffffff,1.0,0.0,0.0,0.0,0.0
84694a5ffffffff,4.0,0.0,0.0,0.0,0.0
84694e1ffffffff,8.0,0.0,0.0,0.0,0.0
84694e5ffffffff,9.0,0.0,0.0,0.0,0.0
84694e7ffffffff,2.0,0.0,0.0,0.0,0.0
84694edffffffff,4.0,0.0,0.0,0.0,0.0
8469583ffffffff,4.0,0.0,0.0,0.0,0.0
8469589ffffffff,1.0,0.0,0.0,0.0,0.0
846958bffffffff,8.0,0.0,0.0,0.0,0.0
846959dffffffff,8.0,0.0,0.0,0.0,0.0
84695d1ffffffff,1.0,0.0,0.0,0.0,0.0
8469683ffffffff,2.0,0.0,0.0,0.0,0.0
8469685ffffffff,12.0,0.0,0.0,0.0,0.0
84696a5ffffffff,3.0,0.0,0.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0,0.0
84696c3ffffffff,2.0,0.0,0.0,0.0,0.0
84696d3ffffffff,1.0,0.0,0.0,0.0,0.0
84696d7ffffffff,3.0,0.0,0.0,0.0,0.0
849500bffffffff,2.0,0.0,0.0,0.0,0.0
8495055ffffffff,2.0,0.0,0.0,0.0,0.0
8495217ffffffff,2.0,0.0,0.0,0.0,0.0
84952d5ffffffff,3.0,0.0,0.0,0.0,0.0
84952d9ffffffff,1.0,0.0,0.0,0.0,0.0
8495605ffffffff,4.0,0.0,0.0,0.0,0.0
8495661ffffffff,4.0,0.0,0.0,0.0,1.0
8495725ffffffff,6.0,0.0,0.0,0.0,0.0
