cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
8466da7ffffffff,7.0,0.0,0.0,2.0
8466da9ffffffff,1.0,0.0,0.0,0.0
8466dadffffffff,150.0,0.0,0.0,11.0
8466de1ffffffff,1966.0,0.0,0.0,137.0
8466de3ffffffff,1.0,0.0,0.0,0.0
8466de9ffffffff,31.0,0.0,0.0,0.0
8466debffffffff,31.0,0.0,0.0,3.0
8466dedffffffff,32.0,0.0,0.0,2.0
8466e01ffffffff,1.0,0.0,0.0,0.0
8466e03ffffffff,37.0,0.0,0.0,0.0
8466e07ffffffff,24.0,0.0,0.0,0.0
8466e09ffffffff,49.0,0.0,1.0,0.0
8466e0bffffffff,34.0,0.0,0.0,0.0
8466e0dffffffff,13.0,0.0,0.0,0.0
8466e27ffffffff,2.0,0.0,0.0,0.0
8466e2dffffffff,60.0,0.0,0.0,0.0
8466e3dffffffff,7.0,0.0,0.0,0.0
8466e41ffffffff,25.0,0.0,0.0,0.0
8466e45ffffffff,3.0,0.0,0.0,0.0
8466e47ffffffff,286.0,0.0,14.0,0.0
8466e49ffffffff,14.0,0.0,0.0,0.0
8466e51ffffffff,4.0,0.0,0.0,0.0
8466e55ffffffff,40.0,0.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0,0.0
8466e59ffffffff,46.0,0.0,0.0,0.0
8466e5dffffffff,3.0,0.0,0.0,0.0
8466e61ffffffff,85.0,0.0,1.0,0.0
8466e63ffffffff,31.0,0.0,0.0,0.0
8466e65ffffffff,3664.0,0.0,149.0,0.0
8466e67ffffffff,434.0,0.0,13.0,0.0
8466e69ffffffff,226.0,0.0,5.0,0.0
8466e6dffffffff,2549.0,0.0,30.0,0.0
8466f03ffffffff,133.0,0.0,3.0,0.0
8466f0bffffffff,22.0,0.0,0.0,0.0
8466f11ffffffff,2.0,0.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0,0.0
8466f15ffffffff,359.0,0.0,11.0,0.0
8466f17ffffffff,46.0,0.0,0.0,0.0
8466f19ffffffff,58.0,0.0,0.0,0.0
8466f1bffffffff,1.0,0.0,0.0,0.0
8466f1dffffffff,7303.0,0.0,178.0,0.0
8466f33ffffffff,3.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0
8466f3bffffffff,8.0,0.0,0.0,0.0
8466f51ffffffff,50.0,0.0,0.0,0.0
8466f53ffffffff,352.0,0.0,1.0,0.0
8466f57ffffffff,1071.0,0.0,12.0,0.0
8466f59ffffffff,215.0,0.0,1.0,0.0
8466f5bffffffff,234.0,0.0,0.0,0.0
8466f5dffffffff,20.0,0.0,0.0,0.0
8467413ffffffff,211.0,20.0,0.0,0.0
8467417ffffffff,48.0,0.0,0.0,0.0
8467425ffffffff,5.0,0.0,0.0,0.0
8467433ffffffff,2.0,0.0,0.0,0.0
8467437ffffffff,172.0,10.0,0.0,0.0
846743bffffffff,8.0,0.0,0.0,0.0
84674c7ffffffff,15.0,0.0,0.0,0.0
84674ddffffffff,2.0,0.0,0.0,0.0
84674e9ffffffff,116.0,3.0,0.0,0.0
84674ebffffffff,12.0,0.0,0.0,0.0
84674edffffffff,328.0,30.0,0.0,0.0
8467519ffffffff,74.0,3.0,0.0,0.0
84675a5ffffffff,33.0,5.0,0.0,0.0
84675adffffffff,53.0,0.0,0.0,0.0
84675c1ffffffff,32.0,0.0,0.0,0.0
84675c7ffffffff,10.0,0.0,0.0,0.0
84675c9ffffffff,21.0,0.0,0.0,0.0
84675cbffffffff,41.0,0.0,0.0,0.0
84675ddffffffff,5.0,0.0,0.0,0.0
84675e3ffffffff,9.0,0.0,0.0,0.0
84675e7ffffffff,12.0,0.0,0.0,0.0
84675ebffffffff,61.0,3.0,0.0,0.0
848b211ffffffff,3.0,0.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0,0.0
848b2c5ffffffff,18.0,0.0,0.0,1.0
848b2cdffffffff,2.0,0.0,0.0,0.0
848b2e9ffffffff,1.0,0.0,0.0,0.0
848b611ffffffff,2.0,0.0,0.0,2.0
848b617ffffffff,1268.0,0.0,0.0,65.0
848b639ffffffff,16.0,0.0,0.0,0.0
848b63bffffffff,4.0,0.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0,0.0
848b6cbffffffff,4.0,0.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0,0.0
848b75dffffffff,3.0,0.0,0.0,0.0
848e643ffffffff,5.0,0.0,0.0,0.0
848e649ffffffff,53.0,0.0,0.0,0.0
848e64bffffffff,8.0,0.0,0.0,0.0
848e651ffffffff,26.0,0.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0,0.0
848f0d9ffffffff,7.0,0.0,0.0,0.0
848f0dbffffffff,644.0,0.0,49.0,0.0
848f291ffffffff,84.0,0.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0,0.0
848f295ffffffff,94.0,0.0,0.0,0.0
848f297ffffffff,17.0,0.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0,0.0
848f2b3ffffffff,2.0,0.0,0.0,0.0
848f2bbffffffff,115.0,0.0,0.0,0.0
848f2cbffffffff,3.0,0.0,0.0,0.0
848f2d3ffffffff,4.0,0.0,0.0,0.0
848f2d5ffffffff,11.0,0.0,0.0,0.0
848f2ddffffffff,4.0,0.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0,0.0
848f407ffffffff,2.0,0.0,0.0,0.0
848f431ffffffff,2.0,0.0,0.0,0.0
848f439ffffffff,84.0,0.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0,0.0
848f463ffffffff,11.0,0.0,0.0,0.0
848f465ffffffff,84.0,0.0,0.0,0.0
848f467ffffffff,28.0,0.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0,0.0
848f4e5ffffffff,7.0,0.0,0.0,0.0
848f5ddffffffff,8.0,0.0,0.0,0.0
848f705ffffffff,94.0,0.0,0.0,19.0
848f721ffffffff,49.0,0.0,0.0,5.0
848f727ffffffff,4.0,0.0,0.0,0.0
848f729ffffffff,599.0,0.0,0.0,82.0
848f72bffffffff,86.0,0.0,0.0,14.0
848f733ffffffff,279.0,0.0,0.0,1.0
848f737ffffffff,11.0,0.0,0.0,0.0
848f745ffffffff,7.0,0.0,0.0,0.0
848f74dffffffff,9.0,0.0,0.0,0.0
848f763ffffffff,26.0,0.0,0.0,0.0
848f765ffffffff,11.0,0.0,0.0,0.0
848f769ffffffff,1.0,0.0,0.0,0.0
848f76bffffffff,70.0,0.0,0.0,0.0
848f76dffffffff,2.0,0.0,0.0,0.0
84b3253ffffffff,4.0,0.0,0.0,0.0
84b3257ffffffff,2.0,0.0,0.0,0.0
