cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
84a8429ffffffff,1.0,0.0,0.0
84a842bffffffff,3.0,0.0,0.0
84a8439ffffffff,3.0,0.0,0.0
84a845bffffffff,8.0,0.0,0.0
84a8463ffffffff,1.0,0.0,0.0
84a84a3ffffffff,1.0,0.0,0.0
84a84e7ffffffff,5.0,0.0,0.0
84a84edffffffff,1.0,0.0,0.0
84a8591ffffffff,315.0,0.0,0.0
84a8599ffffffff,326.0,0.0,0.0
84a859bffffffff,5.0,0.0,0.0
84a85b9ffffffff,5.0,0.0,0.0
84a85d3ffffffff,627.0,0.0,0.0
84a85d7ffffffff,53.0,0.0,0.0
84a8633ffffffff,5.0,0.0,0.0
84a86adffffffff,3.0,0.0,0.0
84a8ce3ffffffff,1.0,0.0,0.0
84a8cebffffffff,5.0,0.0,0.0
