cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
8445305ffffffff,4.0,0.0,0.0
8445309ffffffff,15.0,0.0,0.0
8445319ffffffff,8.0,0.0,0.0
844532bffffffff,8.0,0.0,0.0
8445343ffffffff,37.0,0.0,0.0
844534dffffffff,2.0,0.0,0.0
8445351ffffffff,38.0,0.0,0.0
8445355ffffffff,3.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0
8445363ffffffff,5.0,0.0,0.0
8445365ffffffff,22.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0
8445649ffffffff,5.0,0.0,0.0
8445767ffffffff,1.0,0.0,0.0
8449b19ffffffff,5.0,0.0,0.0
8449b53ffffffff,19.0,0.0,0.0
8449b57ffffffff,11.0,0.0,0.0
846608dffffffff,3.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0
84660a7ffffffff,29.0,0.0,0.0
8466105ffffffff,3.0,0.0,0.0
8466107ffffffff,184.0,0.0,0.0
846610bffffffff,4.0,0.0,0.0
8466117ffffffff,11.0,0.0,0.0
846611dffffffff,5.0,0.0,0.0
8466129ffffffff,5.0,0.0,0.0
8466131ffffffff,39.0,0.0,0.0
8466139ffffffff,201.0,0.0,0.0
846613bffffffff,8.0,0.0,0.0
846613dffffffff,2.0,0.0,0.0
8466163ffffffff,77.0,0.0,0.0
8466165ffffffff,41.0,0.0,0.0
8466167ffffffff,10.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
84661a5ffffffff,18.0,0.0,0.0
84661a7ffffffff,8.0,0.0,0.0
84661adffffffff,33.0,1.0,0.0
84661b1ffffffff,13.0,0.0,0.0
84661c9ffffffff,4.0,0.0,0.0
84661cdffffffff,40.0,0.0,0.0
84661ebffffffff,21.0,0.0,0.0
8466a01ffffffff,7.0,0.0,0.0
8466a05ffffffff,3.0,0.0,0.0
8466a0bffffffff,78.0,0.0,0.0
8466a51ffffffff,1751.0,0.0,0.0
8466a55ffffffff,17.0,0.0,0.0
8466a57ffffffff,50.0,0.0,0.0
8466a59ffffffff,5.0,0.0,0.0
8466a5bffffffff,43.0,0.0,0.0
8466a5dffffffff,23.0,0.0,0.0
8466a65ffffffff,21.0,0.0,0.0
8466a67ffffffff,5.0,0.0,0.0
8466b01ffffffff,133.0,0.0,0.0
8466b09ffffffff,104.0,0.0,0.0
8466b0bffffffff,288.0,0.0,0.0
8466b1dffffffff,8.0,0.0,0.0
8466b41ffffffff,55.0,0.0,0.0
8466b43ffffffff,21.0,0.0,0.0
8466b45ffffffff,53.0,0.0,0.0
8466b47ffffffff,95.0,0.0,0.0
8466b49ffffffff,302.0,0.0,0.0
8466b4bffffffff,10.0,0.0,0.0
8466b4dffffffff,90.0,0.0,0.0
8466b51ffffffff,2.0,0.0,0.0
8466b55ffffffff,138.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8466b59ffffffff,35.0,0.0,0.0
8466b5bffffffff,56.0,0.0,0.0
8466b5dffffffff,7.0,0.0,0.0
8466b69ffffffff,9.0,0.0,0.0
8466d01ffffffff,3.0,2.0,0.0
8466d07ffffffff,60.0,4.0,0.0
8466d0bffffffff,17.0,0.0,0.0
8466d0dffffffff,2.0,0.0,0.0
8466d23ffffffff,35.0,7.0,0.0
8466d27ffffffff,3.0,0.0,0.0
8466d31ffffffff,24.0,3.0,0.0
8466d35ffffffff,244.0,38.0,0.0
8466d3dffffffff,2.0,0.0,0.0
8466d55ffffffff,14.0,0.0,0.0
8466f01ffffffff,6.0,4.0,0.0
8466f03ffffffff,235.0,0.0,0.0
8466f0bffffffff,153.0,2.0,0.0
8466f1dffffffff,9.0,0.0,0.0
8466f35ffffffff,14.0,0.0,0.0
846792dffffffff,4.0,0.0,0.0
8467937ffffffff,2.0,0.0,0.0
846793bffffffff,7.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0
8467961ffffffff,28.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
84679a1ffffffff,260.0,0.0,0.0
84679a3ffffffff,40.0,0.0,0.0
84679a5ffffffff,2316.0,0.0,0.0
84679a7ffffffff,290.0,0.0,0.0
84679adffffffff,38.0,0.0,0.0
84679b3ffffffff,12.0,0.0,0.0
84679b5ffffffff,113.0,0.0,0.0
84679b7ffffffff,387.0,0.0,0.0
846d059ffffffff,2.0,0.0,0.0
846d05bffffffff,15.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0
846d21bffffffff,30.0,0.0,0.0
846d21dffffffff,39.0,6.0,0.0
846d223ffffffff,1.0,0.0,0.0
846d22bffffffff,3.0,0.0,0.0
846d23dffffffff,12.0,0.0,0.0
846d257ffffffff,1.0,0.0,0.0
846d2c1ffffffff,3.0,0.0,0.0
846d2c3ffffffff,6.0,2.0,0.0
846d2c7ffffffff,4.0,0.0,0.0
846d2c9ffffffff,120.0,14.0,0.0
846d2cbffffffff,14.0,6.0,0.0
846d2d1ffffffff,17.0,0.0,0.0
846d2d9ffffffff,4.0,0.0,0.0
846d2dbffffffff,2.0,0.0,0.0
846d2ddffffffff,4.0,0.0,0.0
846d303ffffffff,5.0,0.0,0.0
846d30dffffffff,35.0,0.0,0.0
846d319ffffffff,10.0,2.0,0.0
846d31bffffffff,8.0,0.0,0.0
846d337ffffffff,44.0,10.0,0.0
846d34bffffffff,5.0,0.0,0.0
846d35dffffffff,20.0,0.0,0.0
846d605ffffffff,4.0,0.0,0.0
846d613ffffffff,8.0,0.0,0.0
846d617ffffffff,53.0,0.0,0.0
846d61bffffffff,2.0,0.0,0.0
846d639ffffffff,5.0,0.0,0.0
846d64bffffffff,5.0,0.0,0.0
846d651ffffffff,333.0,0.0,0.0
846d653ffffffff,171.0,0.0,0.0
846d655ffffffff,38.0,0.0,0.0
846d657ffffffff,6.0,0.0,0.0
846d659ffffffff,5.0,0.0,0.0
846d65bffffffff,4.0,0.0,0.0
846d65dffffffff,2.0,0.0,0.0
846d66dffffffff,14.0,0.0,0.0
846d681ffffffff,254.0,0.0,0.0
846d683ffffffff,31.0,0.0,0.0
846d685ffffffff,99.0,0.0,0.0
846d687ffffffff,7.0,0.0,0.0
846d689ffffffff,37.0,0.0,0.0
846d68bffffffff,464.0,0.0,0.0
846d68dffffffff,88.0,0.0,0.0
846d691ffffffff,86.0,0.0,0.0
846d693ffffffff,170.0,0.0,0.0
846d695ffffffff,72.0,0.0,0.0
846d697ffffffff,1409.0,0.0,0.0
846d699ffffffff,248.0,0.0,0.0
846d69bffffffff,398.0,0.0,0.0
846d69dffffffff,1503.0,0.0,0.0
846d6abffffffff,4.0,0.0,0.0
846d6b1ffffffff,3.0,0.0,0.0
846d6b3ffffffff,2.0,0.0,0.0
846d6b9ffffffff,22.0,0.0,0.0
846d6bbffffffff,379.0,0.0,0.0
846d6bdffffffff,16.0,0.0,0.0
846d6d1ffffffff,15.0,0.0,0.0
846d6d3ffffffff,123.0,0.0,0.0
846d6d5ffffffff,7.0,0.0,0.0
846d6d7ffffffff,13.0,0.0,0.0
846d6e9ffffffff,15.0,0.0,0.0
846d6ebffffffff,26.0,0.0,0.0
846d6edffffffff,17.0,0.0,0.0
846d743ffffffff,13.0,0.0,0.0
846d745ffffffff,14.0,0.0,0.0
846d74bffffffff,2.0,0.0,0.0
846d75bffffffff,2.0,0.0,0.0
848f2cdffffffff,51.0,0.0,0.0
