cell_id,Buteo platypterus,Buteo platypterus platypterus,Buteo platypterus [antillarum Group]
8248a7fffffffff,13.0,0.0,0.0
8248b7fffffffff,383.0,12.0,0.0
8248c7fffffffff,56.0,0.0,0.0
8248cffffffffff,15.0,0.0,0.0
8248d7fffffffff,65.0,2.0,0.0
8248dffffffffff,89.0,0.0,0.0
8248effffffffff,115.0,0.0,0.0
8248f7fffffffff,11.0,0.0,0.0
824987fffffffff,2.0,2.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,154.0,44.0,0.0
82499ffffffffff,5.0,0.0,0.0
8249b7fffffffff,11.0,7.0,0.0
824cc7fffffffff,300.0,0.0,44.0
824ceffffffffff,28.0,0.0,5.0
824d4ffffffffff,1.0,0.0,0.0
825e47fffffffff,18.0,0.0,11.0
825e67fffffffff,3.0,0.0,3.0
825e77fffffffff,3.0,0.0,3.0
825f07fffffffff,5.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0
825f5ffffffffff,17.0,2.0,1.0
825f77fffffffff,7.0,0.0,0.0
826617fffffffff,17.0,1.0,0.0
82661ffffffffff,46.0,0.0,0.0
826627fffffffff,5.0,0.0,0.0
82662ffffffffff,4.0,2.0,0.0
8266a7fffffffff,155.0,2.0,0.0
8266b7fffffffff,54.0,23.0,0.0
8266c7fffffffff,5.0,0.0,0.0
8266d7fffffffff,7.0,3.0,0.0
8266dffffffffff,42.0,20.0,0.0
8266e7fffffffff,120.0,2.0,0.0
8266f7fffffffff,2.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0
826757fffffffff,3.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
82679ffffffffff,32.0,3.0,0.0
826d07fffffffff,2.0,0.0,0.0
826d17fffffffff,5.0,0.0,0.0
826d27fffffffff,19.0,2.0,0.0
826d2ffffffffff,47.0,0.0,0.0
826d37fffffffff,42.0,1.0,0.0
826d67fffffffff,37.0,15.0,0.0
826d6ffffffffff,51.0,9.0,0.0
826d77fffffffff,5.0,0.0,0.0
828a07fffffffff,8.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0
828a87fffffffff,2.0,0.0,0.0
828af7fffffffff,2.0,2.0,0.0
828b2ffffffffff,6.0,0.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b67fffffffff,5.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0
828b77fffffffff,3.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f0ffffffffff,4.0,0.0,0.0
828f2ffffffffff,5.0,1.0,0.0
828f57fffffffff,14.0,0.0,0.0
828f77fffffffff,3.0,0.0,0.0
82a817fffffffff,4.0,0.0,0.0
82a82ffffffffff,3.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82b277fffffffff,3.0,0.0,0.0
82b32ffffffffff,2.0,0.0,2.0
82b347fffffffff,26.0,0.0,0.0
82b35ffffffffff,12.0,0.0,0.0
