cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
834004fffffffff,3.0,0.0,0.0
83400afffffffff,12.0,0.0,0.0
83400cfffffffff,22.0,0.0,0.0
834012fffffffff,2.0,0.0,0.0
834013fffffffff,9.0,0.0,0.0
83401dfffffffff,26.0,0.0,0.0
834020fffffffff,4.0,0.0,0.0
834022fffffffff,6.0,0.0,0.0
83402afffffffff,2.0,0.0,0.0
83402dfffffffff,22.0,0.0,0.0
834030fffffffff,14.0,0.0,0.0
834034fffffffff,12.0,0.0,0.0
834036fffffffff,2.0,0.0,0.0
834040fffffffff,2.0,0.0,0.0
834045fffffffff,4.0,0.0,0.0
83404cfffffffff,35.0,0.0,0.0
83404dfffffffff,36.0,0.0,0.0
83404efffffffff,14.0,0.0,0.0
834052fffffffff,18.0,0.0,0.0
834059fffffffff,10.0,0.0,0.0
83405dfffffffff,1.0,0.0,0.0
834066fffffffff,6.0,0.0,0.0
83406bfffffffff,3.0,0.0,0.0
834071fffffffff,5.0,0.0,0.0
834083fffffffff,2.0,0.0,0.0
834088fffffffff,2.0,0.0,0.0
834089fffffffff,13.0,0.0,0.0
83408dfffffffff,5.0,0.0,0.0
834095fffffffff,2.0,0.0,0.0
8340a4fffffffff,2.0,0.0,0.0
8340a6fffffffff,4.0,0.0,0.0
8340a8fffffffff,4.0,0.0,0.0
8340acfffffffff,2.0,0.0,0.0
8340aefffffffff,9.0,0.0,0.0
8340b5fffffffff,101.0,0.0,0.0
8340c2fffffffff,10.0,0.0,0.0
8340c4fffffffff,13.0,1.0,0.0
8340c5fffffffff,105.0,3.0,0.0
8340c6fffffffff,55.0,1.0,0.0
8340e1fffffffff,180.0,6.0,0.0
8340e3fffffffff,89.0,0.0,0.0
8340e5fffffffff,18.0,1.0,0.0
8340ecfffffffff,19.0,0.0,0.0
8340eefffffffff,40.0,0.0,0.0
8340f1fffffffff,6.0,0.0,0.0
8340f3fffffffff,2.0,0.0,0.0
834103fffffffff,89.0,0.0,0.0
834112fffffffff,2.0,0.0,0.0
834113fffffffff,1.0,0.0,0.0
834118fffffffff,22.0,0.0,0.0
834119fffffffff,7.0,0.0,0.0
83411afffffffff,11.0,0.0,0.0
83411bfffffffff,8.0,0.0,0.0
83411cfffffffff,265.0,47.0,0.0
83411dfffffffff,18.0,0.0,0.0
834143fffffffff,4.0,0.0,0.0
834152fffffffff,1.0,0.0,0.0
834153fffffffff,7.0,0.0,0.0
834154fffffffff,9.0,0.0,0.0
834159fffffffff,35.0,0.0,0.0
83415afffffffff,1.0,0.0,0.0
83415cfffffffff,11.0,0.0,0.0
83415efffffffff,26.0,0.0,0.0
834180fffffffff,1.0,0.0,0.0
834183fffffffff,21.0,0.0,0.0
834185fffffffff,9.0,0.0,0.0
834186fffffffff,2.0,0.0,0.0
834189fffffffff,4.0,0.0,0.0
83418afffffffff,2.0,0.0,0.0
83418cfffffffff,1.0,0.0,0.0
83418efffffffff,2.0,0.0,0.0
834190fffffffff,12.0,0.0,0.0
834191fffffffff,44.0,1.0,0.0
834192fffffffff,115.0,1.0,0.0
834193fffffffff,2.0,0.0,0.0
834194fffffffff,10.0,1.0,0.0
834195fffffffff,3.0,0.0,0.0
834196fffffffff,3.0,1.0,0.0
834199fffffffff,2.0,0.0,0.0
83419afffffffff,2.0,0.0,0.0
83419bfffffffff,2.0,0.0,0.0
83419dfffffffff,21.0,0.0,0.0
8341a0fffffffff,12.0,0.0,0.0
8341a3fffffffff,2.0,0.0,0.0
8341a4fffffffff,569.0,16.0,0.0
8341a5fffffffff,312.0,22.0,0.0
8341a9fffffffff,2.0,0.0,0.0
8341abfffffffff,7.0,0.0,0.0
8341adfffffffff,3.0,0.0,0.0
8341b0fffffffff,2.0,0.0,0.0
8341b2fffffffff,8.0,0.0,0.0
8341b3fffffffff,19.0,1.0,0.0
8341b4fffffffff,2795.0,143.0,0.0
8341b5fffffffff,2422.0,110.0,0.0
8341b6fffffffff,25.0,1.0,0.0
834269fffffffff,46.0,0.0,0.0
834b26fffffffff,4.0,0.0,0.0
834b30fffffffff,23.0,0.0,0.0
834b32fffffffff,11.0,1.0,0.0
834b34fffffffff,16.0,0.0,0.0
834b35fffffffff,22.0,0.0,0.0
834b84fffffffff,13.0,0.0,0.0
834b86fffffffff,2.0,0.0,0.0
834ba0fffffffff,1216.0,0.0,113.0
834ba1fffffffff,6.0,0.0,0.0
834ba2fffffffff,1813.0,0.0,59.0
834ba3fffffffff,66.0,0.0,2.0
834ba5fffffffff,9.0,0.0,0.0
834bb1fffffffff,42.0,0.0,4.0
