cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
8466d35ffffffff,197.0,0.0,26.0,0.0,0.0,0.0
8466d37ffffffff,7.0,0.0,1.0,0.0,0.0,0.0
8466d3dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466da9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466dadffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8466dc3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,27.0,0.0,0.0,0.0,1.0,0.0
8466de3ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466de7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466debffffffff,61.0,0.0,0.0,0.0,5.0,0.0
8466e0bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466e0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466e41ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
8466e47ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466e51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466e57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466e59ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8466e65ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466e67ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466e69ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466f03ffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8466f0bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466f57ffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8466f5dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846d059ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
846d05bffffffff,368.0,164.0,0.0,0.0,0.0,0.0
846d207ffffffff,19.0,2.0,0.0,0.0,0.0,0.0
846d237ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846d283ffffffff,172.0,18.0,0.0,0.0,0.0,0.0
846d287ffffffff,165.0,44.0,0.0,0.0,0.0,0.0
846d289ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
846d28dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d291ffffffff,96.0,9.0,0.0,0.0,0.0,0.0
846d295ffffffff,269.0,11.0,0.0,0.0,0.0,0.0
846d2a9ffffffff,119.0,21.0,0.0,0.0,0.0,0.0
846d2abffffffff,64.0,6.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,670.0,28.0,0.0,0.0,0.0,0.0
846d2c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d2c7ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
846d2d1ffffffff,301.0,35.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,96.0,30.0,0.0,0.0,0.0,0.0
846d2d5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846d2d7ffffffff,769.0,415.0,0.0,0.0,0.0,0.0
846d2e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d2ebffffffff,29.0,3.0,0.0,0.0,0.0,0.0
846d305ffffffff,45.0,5.0,0.0,0.0,0.0,0.0
846d307ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
846d337ffffffff,135.0,9.0,0.0,0.0,0.0,0.0
846d36dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
846d651ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
846d653ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
846d65dffffffff,13.0,0.0,0.0,0.0,0.0,0.0
846d66dffffffff,34.0,0.0,0.0,0.0,0.0,0.0
848a459ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848a699ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848a6d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848af63ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
848af67ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
848b401ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848b40dffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848b44bffffffff,23.0,0.0,0.0,0.0,0.0,0.0
848b44dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848b4e5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
848b4e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848b617ffffffff,35.0,0.0,0.0,0.0,0.0,4.0
848b627ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848b633ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848b637ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848b63bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
848b683ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848b6e7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
848b6edffffffff,5.0,0.0,0.0,0.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848f291ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848f295ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
848f401ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848f4e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848f72bffffffff,38.0,0.0,0.0,0.0,10.0,0.0
