cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
847acabffffffff,2.0,0.0,0.0
847acb5ffffffff,1.0,0.0,0.0
847acd5ffffffff,5.0,1.0,0.0
847acd7ffffffff,3.0,3.0,0.0
847ad99ffffffff,2.0,0.0,0.0
847b487ffffffff,2.0,0.0,0.0
847b489ffffffff,1.0,0.0,0.0
847b4b1ffffffff,1.0,0.0,0.0
847b4cbffffffff,2.0,0.0,0.0
847b6bbffffffff,4.0,0.0,0.0
8482a09ffffffff,3.0,0.0,0.0
8482a0bffffffff,2.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8482a83ffffffff,2.0,0.0,0.0
8482d3dffffffff,3.0,0.0,0.0
8483263ffffffff,3.0,0.0,1.0
848332bffffffff,3.0,0.0,0.0
848333dffffffff,10.0,0.0,3.0
8496149ffffffff,4.0,0.0,0.0
8496207ffffffff,3.0,0.0,0.0
8496219ffffffff,3.0,0.0,0.0
849621dffffffff,1.0,0.0,0.0
849622bffffffff,6.0,0.0,0.0
8496263ffffffff,2.0,0.0,0.0
8496335ffffffff,30.0,5.0,0.0
8496907ffffffff,19.0,0.0,0.0
8496921ffffffff,47.0,0.0,0.0
8496925ffffffff,91.0,8.0,0.0
849692bffffffff,7.0,0.0,0.0
849692dffffffff,6.0,0.0,0.0
8496931ffffffff,2.0,0.0,0.0
8496935ffffffff,28.0,9.0,0.0
8496937ffffffff,23.0,0.0,0.0
849693dffffffff,8.0,4.0,0.0
8496a39ffffffff,2.0,0.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0
8497053ffffffff,2.0,0.0,0.0
8497057ffffffff,3.0,0.0,0.0
8497099ffffffff,1.0,0.0,0.0
84970a7ffffffff,1.0,0.0,0.0
84970c5ffffffff,3.0,0.0,0.0
84970d3ffffffff,2.0,0.0,0.0
8497119ffffffff,1.0,0.0,0.0
849711dffffffff,16.0,0.0,0.0
8497131ffffffff,1.0,0.0,0.0
8497139ffffffff,1.0,0.0,0.0
8497199ffffffff,2.0,0.0,0.0
849719bffffffff,1.0,0.0,0.0
84971c1ffffffff,3.0,0.0,0.0
84971c3ffffffff,2.0,0.0,0.0
84971cbffffffff,2.0,0.0,0.0
849728dffffffff,8.0,2.0,0.0
8497291ffffffff,2.0,0.0,0.0
84972c5ffffffff,6.0,0.0,0.0
84972cdffffffff,4.0,0.0,0.0
84972d5ffffffff,6.0,6.0,0.0
84972d9ffffffff,1.0,0.0,0.0
84972e3ffffffff,17.0,2.0,0.0
849731dffffffff,2.0,0.0,0.0
8497357ffffffff,2.0,0.0,0.0
84974b9ffffffff,4.0,0.0,0.0
84974edffffffff,2.0,0.0,0.0
8497513ffffffff,2.0,2.0,0.0
8497515ffffffff,6.0,0.0,0.0
8497517ffffffff,1.0,0.0,0.0
8497557ffffffff,1.0,0.0,0.0
84975c7ffffffff,8.0,0.0,0.0
8497725ffffffff,6.0,0.0,0.0
84978d9ffffffff,1.0,0.0,0.0
84bc0bdffffffff,1.0,0.0,0.0
84bc421ffffffff,1.0,0.0,0.0
84bc447ffffffff,3.0,0.0,0.0
84bc46dffffffff,1.0,0.0,0.0
84bc523ffffffff,1.0,0.0,0.0
84bc543ffffffff,2.0,2.0,0.0
84bc717ffffffff,2.0,0.0,0.0
84bc731ffffffff,3.0,0.0,0.0
84bc737ffffffff,3.0,0.0,0.0
84bc73bffffffff,3.0,0.0,0.0
84bcc23ffffffff,1.0,1.0,0.0
84bcc25ffffffff,1.0,0.0,0.0
84bcc2bffffffff,1.0,1.0,0.0
84bcc3dffffffff,2.0,2.0,0.0
84bcc4bffffffff,6.0,2.0,0.0
84bcc4dffffffff,3.0,3.0,0.0
84bcc65ffffffff,22.0,0.0,0.0
84bcc69ffffffff,1.0,0.0,0.0
84bcc6dffffffff,42.0,13.0,0.0
84bcd01ffffffff,1.0,0.0,0.0
84bcd05ffffffff,3.0,0.0,0.0
84bcd07ffffffff,5.0,0.0,0.0
84bcd09ffffffff,2.0,2.0,0.0
84bcd15ffffffff,2.0,0.0,0.0
84bcd19ffffffff,4.0,4.0,0.0
84bcd21ffffffff,2.0,0.0,0.0
84bcd27ffffffff,6.0,0.0,0.0
84bcd29ffffffff,11.0,2.0,0.0
84bcd33ffffffff,2.0,0.0,0.0
84bcd43ffffffff,4.0,0.0,0.0
84bcd4bffffffff,6.0,0.0,0.0
84bcd57ffffffff,4.0,0.0,0.0
84bcd63ffffffff,5.0,1.0,0.0
84bcd67ffffffff,9.0,3.0,0.0
84bcd85ffffffff,1.0,1.0,0.0
84bcd89ffffffff,1.0,0.0,0.0
84bcdc1ffffffff,5.0,2.0,0.0
84bcdc7ffffffff,4.0,0.0,0.0
84bcdc9ffffffff,1.0,1.0,0.0
84bcdcdffffffff,1.0,1.0,0.0
84bcdd1ffffffff,2.0,0.0,0.0
84bcdddffffffff,2.0,0.0,0.0
84bcde5ffffffff,3.0,0.0,0.0
84bcdebffffffff,1.0,0.0,0.0
84bce0dffffffff,2.0,2.0,0.0
84bce15ffffffff,1.0,0.0,0.0
84bce21ffffffff,9.0,5.0,0.0
84bce23ffffffff,2.0,0.0,0.0
84bce27ffffffff,2.0,2.0,0.0
84bce29ffffffff,69.0,11.0,0.0
84bce2bffffffff,3.0,0.0,0.0
84bce2dffffffff,2.0,0.0,0.0
84bce35ffffffff,1.0,0.0,0.0
84bce37ffffffff,2.0,0.0,0.0
84bce61ffffffff,3.0,0.0,0.0
84bce63ffffffff,7.0,7.0,0.0
84bce65ffffffff,6.0,0.0,0.0
84bce67ffffffff,1.0,0.0,0.0
84bce83ffffffff,4.0,0.0,0.0
84bcea1ffffffff,4.0,0.0,0.0
84bcee3ffffffff,1.0,0.0,0.0
84bcf09ffffffff,3.0,0.0,0.0
84bcf0bffffffff,1.0,1.0,0.0
84bcf17ffffffff,3.0,0.0,0.0
84bcf29ffffffff,13.0,0.0,0.0
84bcf33ffffffff,5.0,0.0,0.0
84bcf37ffffffff,1.0,0.0,0.0
84bcf3bffffffff,2.0,2.0,0.0
84bcf59ffffffff,1.0,0.0,0.0
84bcf5bffffffff,36.0,17.0,0.0
84bcf5dffffffff,5.0,0.0,0.0
84bcf61ffffffff,15.0,5.0,0.0
84bcf63ffffffff,13.0,0.0,0.0
