cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
8412f19ffffffff,4.0,0.0,0.0
8412f1bffffffff,29.0,0.0,3.0
8412f21ffffffff,2.0,0.0,0.0
8412f25ffffffff,12.0,0.0,0.0
8412f27ffffffff,10.0,0.0,0.0
8412f29ffffffff,12.0,0.0,0.0
8412f2bffffffff,4.0,0.0,0.0
8412f33ffffffff,2.0,0.0,0.0
8412f37ffffffff,11.0,0.0,0.0
8412f61ffffffff,6.0,0.0,0.0
8412f65ffffffff,27.0,0.0,0.0
8412f67ffffffff,6.0,0.0,0.0
8412f6dffffffff,128.0,0.0,0.0
8413823ffffffff,2.0,0.0,0.0
8413825ffffffff,2.0,0.0,0.0
8413993ffffffff,2.0,0.0,0.0
8413995ffffffff,1.0,0.0,0.0
841399bffffffff,2.0,0.0,0.0
8426801ffffffff,494.0,178.0,0.0
8426803ffffffff,315.0,48.0,0.0
8426805ffffffff,14.0,0.0,0.0
8426807ffffffff,62.0,3.0,0.0
8426809ffffffff,94.0,3.0,0.0
842680bffffffff,72.0,10.0,0.0
842680dffffffff,44.0,19.0,0.0
8426811ffffffff,1728.0,105.0,0.0
8426813ffffffff,7727.0,687.0,0.0
8426815ffffffff,163.0,31.0,0.0
8426817ffffffff,2668.0,556.0,0.0
8426819ffffffff,8039.0,1106.0,0.0
842681bffffffff,3368.0,268.0,0.0
842681dffffffff,252.0,27.0,0.0
8426823ffffffff,26.0,2.0,0.0
8426825ffffffff,2.0,0.0,0.0
8426827ffffffff,16.0,0.0,0.0
842682bffffffff,30.0,0.0,0.0
842682dffffffff,14.0,0.0,0.0
8426831ffffffff,287.0,104.0,0.0
8426833ffffffff,567.0,243.0,0.0
8426835ffffffff,43.0,8.0,0.0
8426837ffffffff,102.0,12.0,0.0
8426839ffffffff,57.0,2.0,0.0
842683bffffffff,551.0,48.0,0.0
842683dffffffff,82.0,0.0,0.0
8426841ffffffff,6.0,0.0,0.0
8426843ffffffff,147.0,5.0,0.0
8426847ffffffff,76.0,6.0,0.0
8426849ffffffff,1.0,0.0,0.0
842684bffffffff,32.0,1.0,0.0
8426851ffffffff,38.0,4.0,0.0
8426853ffffffff,969.0,85.0,0.0
8426855ffffffff,125.0,16.0,0.0
8426857ffffffff,1285.0,219.0,0.0
8426859ffffffff,818.0,38.0,0.0
842685bffffffff,528.0,5.0,0.0
842685dffffffff,308.0,24.0,0.0
8426865ffffffff,1.0,0.0,0.0
8426867ffffffff,4.0,2.0,0.0
8426881ffffffff,720.0,68.0,0.0
8426885ffffffff,740.0,140.0,0.0
8426887ffffffff,190.0,20.0,0.0
8426889ffffffff,245.0,1.0,0.0
842688bffffffff,3.0,0.0,0.0
842688dffffffff,920.0,31.0,0.0
8426891ffffffff,8.0,0.0,0.0
8426893ffffffff,12.0,0.0,0.0
8426897ffffffff,1.0,0.0,0.0
8426899ffffffff,2.0,0.0,0.0
842689dffffffff,4.0,0.0,0.0
84268a1ffffffff,18.0,2.0,0.0
84268a3ffffffff,31.0,4.0,0.0
84268a5ffffffff,150.0,8.0,0.0
84268a7ffffffff,70.0,4.0,0.0
84268a9ffffffff,153.0,28.0,0.0
84268abffffffff,266.0,30.0,0.0
84268adffffffff,58.0,4.0,0.0
84268b1ffffffff,36.0,4.0,0.0
84268b3ffffffff,73.0,6.0,0.0
84268b5ffffffff,93.0,6.0,0.0
84268b7ffffffff,98.0,25.0,0.0
84268b9ffffffff,65.0,2.0,0.0
84268bbffffffff,308.0,4.0,0.0
84268bdffffffff,183.0,22.0,0.0
84268c1ffffffff,814.0,9.0,0.0
84268c3ffffffff,10.0,0.0,0.0
84268c5ffffffff,1635.0,23.0,0.0
84268c7ffffffff,6101.0,74.0,0.0
84268cbffffffff,5.0,0.0,0.0
84268cdffffffff,1308.0,117.0,0.0
84268d7ffffffff,7.0,0.0,0.0
84268ddffffffff,5.0,0.0,0.0
84268e1ffffffff,312.0,37.0,0.0
84268e3ffffffff,78.0,6.0,0.0
84268e5ffffffff,266.0,33.0,0.0
84268e7ffffffff,499.0,56.0,0.0
84268e9ffffffff,309.0,8.0,0.0
84268ebffffffff,1285.0,13.0,0.0
84268edffffffff,570.0,41.0,0.0
8426901ffffffff,27.0,0.0,0.0
8426903ffffffff,33.0,0.0,0.0
8426905ffffffff,190.0,0.0,0.0
8426907ffffffff,79.0,0.0,0.0
8426909ffffffff,252.0,0.0,0.0
842690bffffffff,9.0,0.0,0.0
842690dffffffff,274.0,0.0,0.0
8426913ffffffff,2.0,0.0,0.0
8426915ffffffff,4.0,0.0,0.0
842691bffffffff,14.0,2.0,0.0
842691dffffffff,4.0,0.0,0.0
8426923ffffffff,2.0,0.0,0.0
8426927ffffffff,8.0,0.0,0.0
8426929ffffffff,24.0,0.0,0.0
842692bffffffff,67.0,0.0,0.0
8426931ffffffff,2.0,0.0,0.0
8426935ffffffff,7.0,0.0,0.0
8426937ffffffff,7.0,0.0,0.0
8426939ffffffff,7.0,0.0,0.0
842693dffffffff,25.0,0.0,0.0
8426941ffffffff,2.0,0.0,0.0
