cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
830f51fffffffff,2.0,0.0,0.0
830f55fffffffff,2.0,0.0,0.0
830f56fffffffff,3.0,0.0,0.0
830fa5fffffffff,2.0,0.0,0.0
831126fffffffff,22.0,0.0,2.0
831170fffffffff,2.0,0.0,0.0
831801fffffffff,82.0,0.0,11.0
831804fffffffff,7.0,0.0,0.0
831805fffffffff,148.0,0.0,24.0
83180cfffffffff,34.0,0.0,2.0
831820fffffffff,18.0,0.0,5.0
831821fffffffff,1.0,0.0,0.0
831823fffffffff,51.0,0.0,13.0
831824fffffffff,4.0,0.0,0.0
831825fffffffff,25.0,0.0,1.0
831828fffffffff,15.0,0.0,1.0
831829fffffffff,11.0,0.0,0.0
83182afffffffff,7.0,0.0,0.0
83182cfffffffff,360.0,0.0,1.0
83182dfffffffff,3.0,0.0,0.0
83182efffffffff,42.0,0.0,5.0
831901fffffffff,41.0,0.0,2.0
831905fffffffff,4.0,0.0,0.0
831908fffffffff,283.0,0.0,33.0
831909fffffffff,176.0,0.0,2.0
83190afffffffff,11.0,0.0,0.0
83190bfffffffff,109.0,0.0,8.0
83190cfffffffff,164.0,0.0,5.0
83190dfffffffff,1.0,0.0,0.0
83190efffffffff,144.0,0.0,10.0
83191dfffffffff,6.0,0.0,0.0
831922fffffffff,4.0,0.0,0.0
831926fffffffff,223.0,0.0,0.0
831928fffffffff,183.0,0.0,16.0
831929fffffffff,19.0,0.0,0.0
83192afffffffff,58.0,0.0,14.0
83192bfffffffff,73.0,0.0,20.0
83192cfffffffff,83.0,0.0,0.0
83192dfffffffff,3.0,0.0,0.0
831950fffffffff,167.0,0.0,4.0
831951fffffffff,14.0,0.0,7.0
831952fffffffff,95.0,0.0,13.0
831953fffffffff,81.0,0.0,3.0
831954fffffffff,1.0,0.0,0.0
831956fffffffff,234.0,0.0,133.0
83195efffffffff,2.0,0.0,0.0
831976fffffffff,6.0,0.0,0.0
831a84fffffffff,50.0,0.0,0.0
831aa0fffffffff,1046.0,0.0,26.0
831aa2fffffffff,823.0,0.0,13.0
831aa3fffffffff,2062.0,0.0,10.0
831aa4fffffffff,367.0,0.0,22.0
831aa6fffffffff,21.0,0.0,0.0
831ab0fffffffff,20.0,0.0,0.0
831ab4fffffffff,5.0,0.0,0.0
831ab5fffffffff,26.0,0.0,0.0
831b20fffffffff,1.0,0.0,0.0
831b21fffffffff,1.0,0.0,0.0
831b23fffffffff,1.0,0.0,0.0
831b25fffffffff,3.0,0.0,0.0
831b80fffffffff,4.0,0.0,0.0
831b82fffffffff,110.0,0.0,1.0
831b83fffffffff,51.0,0.0,0.0
831b84fffffffff,3.0,0.0,0.0
831b8afffffffff,43.0,0.0,0.0
831b91fffffffff,22.0,0.0,0.0
831b92fffffffff,49.0,0.0,0.0
831b93fffffffff,30.0,0.0,0.0
831b98fffffffff,49.0,0.0,0.0
831b99fffffffff,28.0,0.0,0.0
831b9afffffffff,13.0,0.0,0.0
831b9cfffffffff,18.0,0.0,4.0
831b9dfffffffff,8.0,0.0,0.0
831b9efffffffff,85.0,0.0,4.0
831bb5fffffffff,4.0,0.0,0.0
831f00fffffffff,7.0,0.0,5.0
831f04fffffffff,9.0,0.0,0.0
831f05fffffffff,5.0,0.0,2.0
831f20fffffffff,8.0,0.0,0.0
831f21fffffffff,13.0,0.0,1.0
831f22fffffffff,8.0,0.0,0.0
831f23fffffffff,5.0,0.0,2.0
831f24fffffffff,34.0,0.0,12.0
831f25fffffffff,17.0,0.0,0.0
831f28fffffffff,23.0,0.0,0.0
831f29fffffffff,7.0,0.0,2.0
831f2afffffffff,40.0,0.0,25.0
831f2dfffffffff,4.0,0.0,0.0
831f2efffffffff,3.0,0.0,0.0
831f31fffffffff,1.0,0.0,0.0
831f33fffffffff,106.0,0.0,0.0
832a30fffffffff,3540.0,0.0,63.0
832a31fffffffff,532.0,0.0,10.0
832a34fffffffff,11051.0,0.0,0.0
832b00fffffffff,11.0,0.0,0.0
832b01fffffffff,22.0,0.0,0.0
832b03fffffffff,275.0,0.0,0.0
832b04fffffffff,4.0,0.0,0.0
832b05fffffffff,66.0,0.0,0.0
832b06fffffffff,19.0,0.0,0.0
832b0afffffffff,3158.0,0.0,0.0
832b0cfffffffff,1787.0,0.0,0.0
832b0efffffffff,681.0,0.0,0.0
832b12fffffffff,2208.0,0.0,0.0
832b14fffffffff,488.0,0.0,0.0
832b16fffffffff,9133.0,0.0,0.0
832b18fffffffff,10457.0,0.0,0.0
832b19fffffffff,590.0,0.0,0.0
832b1afffffffff,2009.0,0.0,0.0
832b1bfffffffff,4126.0,0.0,0.0
832b1cfffffffff,1402.0,0.0,0.0
832b1dfffffffff,1346.0,0.0,0.0
832b20fffffffff,26.0,0.0,0.0
832b21fffffffff,234.0,0.0,0.0
832b22fffffffff,96.0,0.0,0.0
832b23fffffffff,1462.0,0.0,0.0
832b24fffffffff,85.0,0.0,0.0
832b25fffffffff,164.0,0.0,0.0
832b26fffffffff,8.0,0.0,0.0
832b28fffffffff,120.0,0.0,0.0
