cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
8448e61ffffffff,4.0,0.0,0.0,0.0
8448e63ffffffff,53.0,4.0,0.0,0.0
8448e69ffffffff,8.0,0.0,0.0,0.0
8448e6bffffffff,2.0,0.0,0.0,0.0
8449801ffffffff,175.0,68.0,0.0,0.0
8449809ffffffff,53.0,13.0,0.0,0.0
844980bffffffff,1.0,0.0,0.0,0.0
844980dffffffff,3.0,0.0,0.0,0.0
8449829ffffffff,17.0,0.0,0.0,0.0
844982dffffffff,8.0,0.0,0.0,0.0
844983bffffffff,10.0,0.0,0.0,0.0
8449853ffffffff,4.0,2.0,0.0,0.0
8449855ffffffff,20.0,0.0,0.0,0.0
8449857ffffffff,5.0,0.0,0.0,0.0
8449861ffffffff,344.0,37.0,0.0,0.0
8449863ffffffff,72.0,2.0,0.0,0.0
8449865ffffffff,172.0,16.0,0.0,0.0
8449867ffffffff,1.0,0.0,0.0,0.0
8449869ffffffff,1.0,1.0,0.0,0.0
844986dffffffff,9.0,0.0,0.0,0.0
844988dffffffff,5.0,0.0,0.0,0.0
8449893ffffffff,9.0,0.0,0.0,0.0
84498c7ffffffff,6.0,0.0,0.0,0.0
84498c9ffffffff,11.0,0.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0,0.0
84498dbffffffff,8.0,0.0,0.0,0.0
8449901ffffffff,5.0,0.0,0.0,0.0
8449903ffffffff,7.0,0.0,0.0,0.0
8449909ffffffff,1.0,0.0,0.0,0.0
844990bffffffff,20.0,0.0,0.0,0.0
844990dffffffff,8.0,0.0,0.0,0.0
8449911ffffffff,1.0,0.0,0.0,0.0
8449913ffffffff,7.0,0.0,0.0,0.0
8449917ffffffff,24.0,0.0,0.0,0.0
8449919ffffffff,2.0,0.0,0.0,0.0
844991dffffffff,17.0,3.0,0.0,0.0
8449945ffffffff,1.0,0.0,0.0,0.0
8449951ffffffff,1.0,0.0,0.0,0.0
8449959ffffffff,1175.0,244.0,0.0,0.0
844995bffffffff,49.0,0.0,0.0,0.0
844995dffffffff,42.0,12.0,0.0,0.0
8449961ffffffff,38.0,6.0,0.0,0.0
8449963ffffffff,256.0,65.0,0.0,0.0
8449969ffffffff,200.0,2.0,0.0,0.0
844996bffffffff,39.0,0.0,0.0,0.0
8449981ffffffff,1.0,0.0,0.0,0.0
8449987ffffffff,81.0,0.0,0.0,0.0
84499b1ffffffff,1.0,0.0,0.0,0.0
84499b7ffffffff,1.0,0.0,0.0,0.0
84499c1ffffffff,10.0,0.0,0.0,0.0
84499c5ffffffff,29.0,4.0,0.0,0.0
84499cbffffffff,1.0,0.0,0.0,0.0
84499cdffffffff,43.0,1.0,0.0,0.0
8449a81ffffffff,100.0,3.0,0.0,0.0
8449a83ffffffff,22.0,2.0,0.0,0.0
8449a85ffffffff,495.0,86.0,0.0,0.0
8449a87ffffffff,5.0,0.0,0.0,0.0
8449a8dffffffff,4.0,0.0,0.0,0.0
8449a91ffffffff,32.0,9.0,0.0,0.0
8449a93ffffffff,44.0,1.0,0.0,0.0
8449a95ffffffff,11.0,0.0,0.0,0.0
8449a97ffffffff,18.0,5.0,0.0,0.0
8449aa1ffffffff,43.0,4.0,0.0,0.0
8449aa3ffffffff,3.0,0.0,0.0,0.0
8449aa9ffffffff,19.0,5.0,0.0,0.0
8449aabffffffff,6.0,0.0,0.0,0.0
8449ab1ffffffff,138.0,6.0,0.0,0.0
8449ab3ffffffff,3.0,0.0,0.0,0.0
8449ab5ffffffff,40.0,0.0,0.0,0.0
8449ab7ffffffff,2.0,0.0,0.0,0.0
8449ab9ffffffff,13.0,0.0,0.0,0.0
8449abbffffffff,20.0,0.0,0.0,0.0
8449abdffffffff,3.0,0.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0,0.0
8449b19ffffffff,40.0,31.0,0.0,0.0
8449b1dffffffff,38.0,12.0,0.0,0.0
8449b29ffffffff,1.0,0.0,0.0,0.0
8449b2dffffffff,112.0,3.0,0.0,0.0
8449b33ffffffff,141.0,19.0,0.0,0.0
8449b37ffffffff,76.0,28.0,0.0,0.0
8449b57ffffffff,26.0,15.0,0.0,0.0
8449b65ffffffff,1.0,0.0,0.0,0.0
8449b67ffffffff,4.0,0.0,0.0,0.0
8466131ffffffff,13.0,0.0,2.0,0.0
8466139ffffffff,25.0,0.0,0.0,0.0
84661adffffffff,7.0,0.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0,0.0
8466a01ffffffff,3.0,0.0,0.0,0.0
8466a0bffffffff,210.0,0.0,10.0,0.0
8466a29ffffffff,2.0,0.0,0.0,0.0
8466a2dffffffff,9.0,0.0,0.0,0.0
8466a57ffffffff,610.0,0.0,52.0,0.0
8466b41ffffffff,819.0,0.0,0.0,0.0
8466b43ffffffff,13.0,0.0,0.0,0.0
8466b45ffffffff,2385.0,0.0,0.0,0.0
8466b47ffffffff,3.0,0.0,0.0,0.0
8466b49ffffffff,145.0,0.0,0.0,0.0
8466b4dffffffff,1448.0,0.0,0.0,0.0
8466b51ffffffff,1019.0,0.0,124.0,0.0
8466b53ffffffff,7.0,0.0,0.0,0.0
8466b55ffffffff,17.0,0.0,0.0,0.0
8466b5bffffffff,109.0,0.0,8.0,0.0
8466b5dffffffff,37.0,0.0,0.0,0.0
8466c6dffffffff,2.0,0.0,0.0,0.0
8466d07ffffffff,55.0,0.0,0.0,22.0
8466d0dffffffff,9.0,0.0,0.0,0.0
8466d23ffffffff,4.0,0.0,0.0,2.0
8466f03ffffffff,280.0,0.0,0.0,11.0
8466f0bffffffff,8.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0,0.0
84679a7ffffffff,147.0,0.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0,0.0
846d05bffffffff,596.0,291.0,0.0,0.0
846d207ffffffff,72.0,17.0,0.0,0.0
846d215ffffffff,4.0,0.0,0.0,0.0
846d217ffffffff,2.0,0.0,0.0,0.0
846d237ffffffff,2.0,2.0,0.0,0.0
846d239ffffffff,8.0,3.0,0.0,0.0
846d23bffffffff,588.0,121.0,0.0,0.0
846d281ffffffff,18.0,0.0,0.0,0.0
846d283ffffffff,880.0,306.0,0.0,0.0
846d285ffffffff,6.0,0.0,0.0,0.0
846d287ffffffff,74.0,32.0,0.0,0.0
846d289ffffffff,10.0,0.0,0.0,0.0
846d28dffffffff,24.0,0.0,0.0,0.0
846d291ffffffff,222.0,65.0,0.0,0.0
846d295ffffffff,193.0,16.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0,0.0
846d299ffffffff,64.0,3.0,0.0,0.0
846d29bffffffff,29.0,9.0,0.0,0.0
846d29dffffffff,2.0,0.0,0.0,0.0
846d2a9ffffffff,175.0,54.0,0.0,0.0
846d2abffffffff,108.0,17.0,0.0,0.0
846d2b9ffffffff,304.0,42.0,0.0,0.0
846d2c7ffffffff,24.0,0.0,0.0,0.0
846d2d1ffffffff,7.0,0.0,0.0,0.0
846d2d3ffffffff,244.0,93.0,0.0,0.0
846d2d7ffffffff,513.0,273.0,0.0,0.0
846d2e3ffffffff,27.0,3.0,0.0,0.0
846d2e5ffffffff,2.0,0.0,0.0,0.0
846d2e7ffffffff,7.0,0.0,0.0,0.0
846d2e9ffffffff,6.0,4.0,0.0,0.0
846d2ebffffffff,15.0,2.0,0.0,0.0
846d305ffffffff,215.0,23.0,0.0,0.0
846d307ffffffff,25.0,0.0,0.0,0.0
846d30dffffffff,57.0,7.0,0.0,0.0
846d321ffffffff,2.0,0.0,0.0,0.0
846d323ffffffff,2.0,0.0,0.0,0.0
846d325ffffffff,16.0,10.0,0.0,0.0
846d32bffffffff,1167.0,247.0,0.0,0.0
846d32dffffffff,1.0,0.0,0.0,0.0
846d335ffffffff,108.0,30.0,0.0,0.0
846d337ffffffff,438.0,127.0,0.0,0.0
846d33dffffffff,2.0,0.0,0.0,0.0
846d361ffffffff,1.0,0.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0,0.0
846d369ffffffff,7.0,0.0,0.0,0.0
846d36dffffffff,17.0,0.0,0.0,0.0
846d645ffffffff,7.0,0.0,0.0,0.0
846d64dffffffff,64.0,0.0,0.0,0.0
846d653ffffffff,2.0,0.0,0.0,0.0
846d65dffffffff,27.0,3.0,0.0,0.0
846d66dffffffff,54.0,0.0,0.0,0.0
846d691ffffffff,560.0,0.0,0.0,0.0
846d693ffffffff,9.0,0.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0,0.0
846d69bffffffff,1728.0,0.0,0.0,0.0
846d69dffffffff,1782.0,0.0,0.0,0.0
