cell_id,Myiothlypis luteoviridis,Myiothlypis luteoviridis [luteoviridis Group],Myiothlypis luteoviridis striaticeps,Myiothlypis luteoviridis euophrys
848f551ffffffff,4.0,0.0,0.0,0.0
848f553ffffffff,96.0,0.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0,0.0
848f559ffffffff,103.0,0.0,0.0,0.0
848f55bffffffff,24.0,0.0,0.0,0.0
848f55dffffffff,3.0,0.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0,0.0
848f59bffffffff,10.0,0.0,0.0,0.0
848f5c1ffffffff,1.0,0.0,0.0,0.0
848f5cbffffffff,3.0,0.0,0.0,0.0
848f5cdffffffff,3.0,0.0,0.0,0.0
848f5d3ffffffff,1.0,0.0,0.0,0.0
848f5d7ffffffff,5.0,0.0,0.0,0.0
848f5ddffffffff,15.0,0.0,0.0,0.0
848f721ffffffff,448.0,33.0,0.0,0.0
848f727ffffffff,14.0,0.0,0.0,0.0
848f729ffffffff,4.0,0.0,0.0,0.0
848f72dffffffff,27.0,4.0,0.0,0.0
848f733ffffffff,122.0,0.0,0.0,0.0
848f737ffffffff,3.0,0.0,0.0,0.0
848f745ffffffff,8.0,0.0,0.0,0.0
848f761ffffffff,3.0,0.0,0.0,0.0
848f767ffffffff,49.0,8.0,0.0,0.0
848f769ffffffff,3.0,1.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0,0.0
84b3253ffffffff,124.0,0.0,0.0,5.0
84b3257ffffffff,5.0,0.0,0.0,0.0
