cell_id,Hemitriccus minor,Hemitriccus minor pallens,Hemitriccus minor minor/snethlageae,Hemitriccus minor [undescribed form]
848aa51ffffffff,1.0,0.0,0.0,0.0
848aa8bffffffff,8.0,0.0,0.0,0.0
848aa9dffffffff,3.0,0.0,0.0,0.0
848aaa3ffffffff,18.0,0.0,0.0,0.0
848aaa5ffffffff,7.0,0.0,0.0,0.0
848aaadffffffff,14.0,0.0,0.0,0.0
848aab1ffffffff,1.0,0.0,0.0,0.0
848aab9ffffffff,3.0,0.0,0.0,0.0
848aac9ffffffff,1.0,0.0,0.0,0.0
848aacbffffffff,8.0,0.0,0.0,0.0
848aad5ffffffff,2.0,0.0,0.0,0.0
848aaddffffffff,2.0,0.0,0.0,0.0
848ac55ffffffff,1.0,0.0,0.0,0.0
848adbbffffffff,3.0,0.0,0.0,0.0
848adc1ffffffff,1.0,0.0,0.0,0.0
848adc5ffffffff,2.0,0.0,0.0,0.0
848ae5bffffffff,1.0,0.0,0.0,0.0
848ae6dffffffff,1.0,0.0,0.0,0.0
848af03ffffffff,1.0,1.0,0.0,0.0
848af09ffffffff,121.0,17.0,0.0,0.0
848af0bffffffff,8.0,4.0,0.0,0.0
848af0dffffffff,1.0,1.0,0.0,0.0
848af11ffffffff,7.0,2.0,0.0,0.0
848af13ffffffff,1.0,1.0,0.0,0.0
848af19ffffffff,7.0,0.0,0.0,0.0
848af1dffffffff,16.0,1.0,0.0,0.0
848af29ffffffff,2.0,0.0,0.0,0.0
848af41ffffffff,6.0,5.0,0.0,0.0
848af43ffffffff,1.0,0.0,0.0,0.0
848af45ffffffff,6.0,0.0,0.0,0.0
848af47ffffffff,1.0,1.0,0.0,0.0
848af61ffffffff,1.0,0.0,0.0,0.0
848af63ffffffff,2.0,0.0,0.0,0.0
848af67ffffffff,4.0,0.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,0.0,0.0
848b105ffffffff,1.0,0.0,0.0,0.0
848b1a5ffffffff,2.0,0.0,0.0,0.0
848b527ffffffff,1.0,0.0,0.0,0.0
848b52dffffffff,1.0,0.0,0.0,0.0
848b53dffffffff,7.0,0.0,0.0,0.0
848b567ffffffff,1.0,0.0,0.0,0.0
848b5cdffffffff,4.0,0.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0,0.0
848b82bffffffff,2.0,0.0,0.0,0.0
848b833ffffffff,1.0,0.0,0.0,0.0
848b835ffffffff,1.0,0.0,0.0,0.0
848b839ffffffff,2.0,0.0,0.0,0.0
848b849ffffffff,19.0,0.0,0.0,0.0
848b863ffffffff,2.0,0.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0,0.0
848b96dffffffff,1.0,0.0,0.0,0.0
848b999ffffffff,1.0,0.0,0.0,0.0
848b9d1ffffffff,16.0,0.0,0.0,0.0
848b9d5ffffffff,54.0,0.0,0.0,0.0
848b9d7ffffffff,3.0,0.0,0.0,0.0
848b9e9ffffffff,1.0,0.0,0.0,0.0
848ba09ffffffff,11.0,0.0,0.0,0.0
848ba47ffffffff,3.0,0.0,0.0,0.0
848baddffffffff,1.0,0.0,0.0,0.0
84a8591ffffffff,1.0,0.0,0.0,0.0
84a8c97ffffffff,13.0,0.0,0.0,0.0
84a8ce3ffffffff,1.0,0.0,0.0,0.0
