cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
846d225ffffffff,2.0,0.0,0.0,2.0
846d22bffffffff,1.0,0.0,0.0,0.0
846d23dffffffff,280.0,0.0,0.0,272.0
846d257ffffffff,2.0,0.0,0.0,0.0
846d2c1ffffffff,11.0,0.0,6.0,0.0
846d2c5ffffffff,6.0,0.0,2.0,0.0
846d2c9ffffffff,131.0,0.0,20.0,0.0
846d2cbffffffff,6.0,0.0,0.0,0.0
846d2cdffffffff,2.0,0.0,2.0,0.0
846d2d1ffffffff,86.0,0.0,0.0,0.0
846d2d5ffffffff,2.0,0.0,0.0,0.0
846d2d9ffffffff,9.0,0.0,0.0,0.0
846d2dbffffffff,6.0,0.0,0.0,0.0
846d303ffffffff,8.0,0.0,0.0,0.0
846d305ffffffff,41.0,5.0,0.0,0.0
846d30dffffffff,53.0,12.0,0.0,0.0
846d319ffffffff,141.0,0.0,0.0,126.0
846d34bffffffff,43.0,0.0,0.0,43.0
846d35dffffffff,406.0,0.0,0.0,399.0
846d361ffffffff,4.0,0.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0,0.0
846d369ffffffff,15.0,0.0,0.0,0.0
846d36dffffffff,39.0,4.0,0.0,0.0
