cell_id,Neochmia phaeton,Neochmia phaeton evangelinae,Neochmia phaeton phaeton
849c62dffffffff,6.0,0.0,0.0
849c663ffffffff,14.0,0.0,0.0
849c667ffffffff,2.0,0.0,0.0
849c753ffffffff,3.0,0.0,0.0
849cc23ffffffff,4.0,0.0,0.0
849cc25ffffffff,4.0,0.0,0.0
849cc2bffffffff,2.0,0.0,0.0
849cd19ffffffff,6.0,0.0,0.0
849cd31ffffffff,31.0,1.0,0.0
849cd33ffffffff,2.0,0.0,0.0
849ce9bffffffff,62.0,0.0,0.0
849d085ffffffff,1.0,0.0,0.0
849d087ffffffff,2.0,0.0,0.0
849d0abffffffff,9.0,0.0,0.0
849d0b1ffffffff,1.0,0.0,0.0
849d0b5ffffffff,175.0,0.0,0.0
849d0b7ffffffff,8.0,0.0,0.0
849d0bdffffffff,53.0,0.0,0.0
849d2a1ffffffff,2.0,0.0,0.0
