cell_id,Cisticola erythrops,Cisticola erythrops [erythrops Group],Cisticola erythrops lepe
837a4cfffffffff,24.0,0.0,0.0
837a4dfffffffff,176.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a63fffffffff,3.0,0.0,0.0
837a65fffffffff,16.0,0.0,0.0
837a68fffffffff,51.0,0.0,0.0
837a69fffffffff,2.0,0.0,0.0
837a6afffffffff,4.0,0.0,0.0
837a6bfffffffff,46.0,0.0,0.0
837a6dfffffffff,8.0,1.0,0.0
837a6efffffffff,258.0,0.0,0.0
837ac8fffffffff,10.0,3.0,0.0
837acafffffffff,5.0,3.0,0.0
837acdfffffffff,47.0,4.0,0.0
837ae8fffffffff,1.0,0.0,0.0
837aebfffffffff,4.0,0.0,0.0
837b48fffffffff,14.0,0.0,0.0
837b4bfffffffff,9.0,0.0,0.0
837b4cfffffffff,4.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0
83828bfffffffff,52.0,0.0,0.0
8382d3fffffffff,2.0,0.0,0.0
8382dbfffffffff,2.0,0.0,0.0
838312fffffffff,7.0,0.0,2.0
838315fffffffff,1.0,0.0,0.0
838320fffffffff,2.0,0.0,0.0
838330fffffffff,2.0,0.0,0.0
838333fffffffff,15.0,0.0,5.0
838398fffffffff,2.0,0.0,0.0
8383acfffffffff,6.0,0.0,4.0
839600fffffffff,30.0,5.0,0.0
839601fffffffff,16.0,3.0,0.0
839602fffffffff,9.0,0.0,0.0
839603fffffffff,12.0,5.0,0.0
839604fffffffff,4.0,0.0,0.0
839605fffffffff,2.0,0.0,0.0
839608fffffffff,7.0,2.0,0.0
839609fffffffff,5.0,1.0,0.0
83960afffffffff,1.0,0.0,0.0
83960bfffffffff,53.0,2.0,0.0
839614fffffffff,2.0,0.0,0.0
839615fffffffff,2.0,0.0,0.0
83961cfffffffff,2.0,0.0,0.0
83961dfffffffff,1.0,0.0,0.0
839620fffffffff,3.0,0.0,0.0
839621fffffffff,21.0,2.0,0.0
839623fffffffff,66.0,13.0,0.0
839624fffffffff,6.0,0.0,0.0
839626fffffffff,10.0,0.0,0.0
839628fffffffff,3.0,0.0,0.0
83962bfffffffff,4.0,0.0,0.0
83962cfffffffff,22.0,4.0,0.0
83962dfffffffff,2.0,2.0,0.0
83962efffffffff,31.0,9.0,0.0
839632fffffffff,1.0,0.0,0.0
839633fffffffff,22.0,5.0,0.0
839636fffffffff,3.0,0.0,0.0
839644fffffffff,1.0,0.0,0.0
839646fffffffff,1.0,0.0,0.0
839662fffffffff,3.0,0.0,0.0
839670fffffffff,1.0,0.0,0.0
839690fffffffff,7.0,0.0,0.0
839692fffffffff,139.0,0.0,0.0
839693fffffffff,170.0,0.0,0.0
8396a8fffffffff,5.0,0.0,0.0
8396acfffffffff,2.0,0.0,0.0
8396b0fffffffff,5.0,0.0,0.0
8396b1fffffffff,2.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
8396b4fffffffff,7.0,2.0,0.0
8396b5fffffffff,3.0,0.0,0.0
8396b6fffffffff,8.0,1.0,0.0
839700fffffffff,2.0,0.0,0.0
839702fffffffff,49.0,0.0,0.0
839703fffffffff,25.0,0.0,0.0
83970afffffffff,6.0,0.0,0.0
839710fffffffff,27.0,0.0,0.0
839711fffffffff,64.0,0.0,0.0
839713fffffffff,6.0,0.0,0.0
839715fffffffff,6.0,0.0,0.0
839719fffffffff,93.0,0.0,0.0
83971cfffffffff,51.0,1.0,0.0
83971dfffffffff,4.0,0.0,0.0
839728fffffffff,17.0,14.0,0.0
839729fffffffff,5.0,0.0,0.0
83972cfffffffff,45.0,18.0,0.0
83972dfffffffff,32.0,12.0,0.0
83972efffffffff,138.0,34.0,0.0
839735fffffffff,2.0,0.0,0.0
83974afffffffff,1.0,0.0,0.0
839750fffffffff,3.0,0.0,0.0
839751fffffffff,172.0,11.0,0.0
839753fffffffff,8.0,8.0,0.0
83975efffffffff,13.0,0.0,0.0
839774fffffffff,2.0,0.0,0.0
839789fffffffff,2.0,0.0,0.0
83978bfffffffff,17.0,0.0,0.0
83978dfffffffff,5.0,0.0,0.0
83978efffffffff,9.0,0.0,0.0
839799fffffffff,2.0,0.0,0.0
8397a3fffffffff,2.0,0.0,0.0
8397a8fffffffff,5.0,0.0,0.0
8397aafffffffff,3.0,0.0,0.0
8397abfffffffff,1.0,0.0,0.0
8397acfffffffff,6.0,0.0,0.0
83bc19fffffffff,1.0,0.0,0.0
83bc1bfffffffff,2.0,0.0,0.0
83bc89fffffffff,22.0,0.0,0.0
83bc99fffffffff,2.0,0.0,0.0
83bcd0fffffffff,69.0,16.0,0.0
83bcd1fffffffff,2.0,1.0,0.0
83bcd2fffffffff,376.0,97.0,0.0
83bcd3fffffffff,25.0,2.0,0.0
83bcd4fffffffff,15.0,10.0,0.0
83bcd6fffffffff,198.0,48.0,0.0
83bcdafffffffff,1.0,0.0,0.0
83bcdbfffffffff,2.0,0.0,0.0
83bce2fffffffff,2.0,0.0,0.0
83bcf0fffffffff,7.0,2.0,0.0
83bcf2fffffffff,163.0,46.0,0.0
83bcf4fffffffff,6.0,0.0,0.0
83bcf5fffffffff,70.0,25.0,0.0
83bcf6fffffffff,32.0,13.0,0.0
