cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
8445287ffffffff,10.0,2.0,0.0
8445289ffffffff,22.0,4.0,0.0
844528dffffffff,6.0,0.0,0.0
84452a5ffffffff,43.0,0.0,0.0
84452a7ffffffff,3.0,2.0,0.0
84452a9ffffffff,65.0,0.0,0.0
84452abffffffff,7.0,2.0,0.0
84452adffffffff,105.0,1.0,0.0
84452b5ffffffff,14.0,2.0,0.0
84452b9ffffffff,44.0,13.0,0.0
84452bdffffffff,19.0,2.0,0.0
84452c3ffffffff,30.0,18.0,0.0
84452c5ffffffff,2.0,0.0,0.0
84452c7ffffffff,87.0,25.0,0.0
84452c9ffffffff,2.0,0.0,0.0
84452d9ffffffff,6.0,4.0,0.0
84452dbffffffff,5.0,0.0,0.0
84452e1ffffffff,498.0,17.0,0.0
84452e3ffffffff,106.0,1.0,0.0
84452e5ffffffff,69.0,6.0,0.0
84452e7ffffffff,19.0,0.0,0.0
84452e9ffffffff,20.0,0.0,0.0
84452ebffffffff,90.0,29.0,0.0
84452edffffffff,78.0,0.0,0.0
8445303ffffffff,3.0,1.0,0.0
8445319ffffffff,4.0,0.0,0.0
844532bffffffff,4.0,0.0,0.0
8445343ffffffff,17.0,0.0,0.0
8445351ffffffff,6.0,4.0,0.0
8445353ffffffff,3.0,0.0,0.0
8445355ffffffff,4.0,0.0,0.0
8445357ffffffff,2.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0
8445365ffffffff,4.0,0.0,0.0
8445721ffffffff,1.0,0.0,0.0
8445727ffffffff,1.0,0.0,0.0
8448029ffffffff,2.0,0.0,0.0
84480adffffffff,41.0,0.0,0.0
844815bffffffff,2.0,0.0,0.0
8448333ffffffff,8.0,0.0,0.0
8448337ffffffff,5.0,0.0,0.0
8448361ffffffff,22.0,2.0,0.0
8448363ffffffff,90.0,3.0,0.0
8448365ffffffff,1.0,0.0,0.0
8448367ffffffff,2.0,0.0,0.0
8448369ffffffff,2.0,0.0,0.0
844836dffffffff,2.0,0.0,0.0
8448e4dffffffff,2.0,0.0,0.0
8449987ffffffff,8.0,0.0,0.0
8449a85ffffffff,1.0,0.0,0.0
8449a91ffffffff,15.0,2.0,0.0
8449a93ffffffff,1.0,0.0,0.0
8449a97ffffffff,3.0,0.0,0.0
8466a67ffffffff,1.0,0.0,0.0
8466b09ffffffff,1.0,0.0,0.0
8466b45ffffffff,3.0,0.0,0.0
8466b49ffffffff,38.0,0.0,0.0
8466b4bffffffff,4.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466b59ffffffff,42.0,0.0,0.0
8467909ffffffff,3.0,0.0,0.0
846790dffffffff,2.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0
846796bffffffff,1.0,0.0,0.0
84679a1ffffffff,10.0,0.0,0.0
84679a5ffffffff,861.0,0.0,0.0
84679a7ffffffff,15.0,0.0,0.0
84679b3ffffffff,2.0,0.0,0.0
84679b5ffffffff,11.0,0.0,0.0
84679b7ffffffff,17.0,0.0,0.0
846d207ffffffff,1.0,0.0,0.0
846d21bffffffff,55.0,13.0,0.0
846d21dffffffff,8.0,0.0,0.0
846d223ffffffff,6.0,0.0,0.0
846d231ffffffff,17.0,7.0,0.0
846d239ffffffff,20.0,13.0,0.0
846d23dffffffff,33.0,2.0,0.0
846d253ffffffff,2.0,0.0,0.0
846d2a9ffffffff,4.0,3.0,0.0
846d2c1ffffffff,5.0,5.0,0.0
846d2c3ffffffff,3.0,3.0,0.0
846d2c9ffffffff,25.0,8.0,0.0
846d2cbffffffff,19.0,4.0,0.0
846d2d1ffffffff,129.0,0.0,0.0
846d2d3ffffffff,2.0,0.0,0.0
846d2d7ffffffff,113.0,0.0,0.0
846d2dbffffffff,5.0,0.0,0.0
846d2ebffffffff,5.0,3.0,0.0
846d30dffffffff,31.0,0.0,0.0
846d319ffffffff,46.0,26.0,0.0
846d337ffffffff,32.0,6.0,0.0
846d35dffffffff,8.0,0.0,0.0
846d609ffffffff,3.0,0.0,0.0
846d645ffffffff,4.0,4.0,0.0
846d64bffffffff,11.0,1.0,0.0
846d651ffffffff,13.0,0.0,0.0
846d653ffffffff,9.0,0.0,0.0
846d655ffffffff,1.0,0.0,0.0
846d681ffffffff,17.0,0.0,0.0
846d683ffffffff,1.0,0.0,0.0
846d68bffffffff,20.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d699ffffffff,64.0,0.0,0.0
846d69bffffffff,30.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0
846d6b9ffffffff,18.0,0.0,0.0
846d6bbffffffff,102.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d3ffffffff,57.0,0.0,0.0
846d6d5ffffffff,2.0,0.0,0.0
