cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
84818dbffffffff,2.0,0.0,0.0
84818e1ffffffff,30.0,3.0,0.0
84818e5ffffffff,3.0,0.0,0.0
84818e7ffffffff,1.0,0.0,0.0
84818edffffffff,4.0,0.0,0.0
8481a93ffffffff,3.0,0.0,0.0
8481aa3ffffffff,2.0,0.0,0.0
8481ac3ffffffff,2.0,0.0,0.0
8481ad1ffffffff,6.0,0.0,0.0
8481ad5ffffffff,3.0,0.0,0.0
8481addffffffff,2.0,0.0,0.0
848b085ffffffff,2.0,0.0,0.0
848b10dffffffff,1.0,0.0,0.0
848b1c5ffffffff,2.0,0.0,0.0
848b1edffffffff,2.0,0.0,0.0
848b203ffffffff,4.0,0.0,0.0
848b205ffffffff,3.0,0.0,0.0
848b221ffffffff,57.0,0.0,0.0
848b225ffffffff,11.0,0.0,0.0
848b227ffffffff,1.0,0.0,0.0
848b229ffffffff,8.0,0.0,0.0
848b22dffffffff,175.0,0.0,0.0
848b261ffffffff,4.0,0.0,0.0
848b267ffffffff,5.0,0.0,0.0
848b269ffffffff,11.0,0.0,0.0
848b2a5ffffffff,4.0,0.0,0.0
848b2a7ffffffff,11.0,0.0,0.0
848b2b3ffffffff,1.0,0.0,0.0
848b315ffffffff,21.0,0.0,0.0
848b319ffffffff,2.0,0.0,0.0
848b31bffffffff,8.0,0.0,0.0
848b363ffffffff,2.0,0.0,0.0
848b36dffffffff,2.0,0.0,0.0
848b761ffffffff,5.0,0.0,0.0
848b76bffffffff,34.0,0.0,0.0
848ba29ffffffff,1.0,0.0,0.0
848ba65ffffffff,4.0,2.0,0.0
848bb53ffffffff,2.0,0.0,0.0
848bb59ffffffff,2.0,0.0,0.0
848f401ffffffff,132.0,27.0,0.0
848f407ffffffff,45.0,7.0,0.0
848f40dffffffff,8.0,0.0,0.0
848f461ffffffff,254.0,35.0,0.0
848f463ffffffff,406.0,52.0,0.0
848f465ffffffff,24.0,0.0,0.0
848f467ffffffff,9.0,0.0,0.0
848f46bffffffff,6.0,0.0,0.0
848f46dffffffff,1.0,0.0,0.0
848f541ffffffff,6.0,0.0,0.0
848f543ffffffff,12.0,0.0,0.0
848f549ffffffff,28.0,6.0,0.0
848f54bffffffff,322.0,53.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f559ffffffff,34.0,0.0,0.0
848f55bffffffff,1.0,0.0,0.0
848f55dffffffff,22.0,0.0,0.0
848f721ffffffff,212.0,29.0,0.0
848f723ffffffff,2.0,0.0,0.0
848f727ffffffff,30.0,8.0,0.0
848f735ffffffff,18.0,3.0,0.0
848f737ffffffff,87.0,4.0,0.0
84a8125ffffffff,1.0,0.0,0.0
84a8127ffffffff,2.0,0.0,0.0
84a8129ffffffff,2.0,0.0,0.0
84a8143ffffffff,2.0,0.0,0.0
84a818dffffffff,2.0,0.0,0.0
84a81a1ffffffff,1.0,0.0,0.0
84a81a5ffffffff,3.0,0.0,0.0
84a81a7ffffffff,2.0,0.0,0.0
84a81adffffffff,4.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,0.0
84a81bdffffffff,4.0,0.0,0.0
84a81e1ffffffff,52.0,0.0,0.0
84a81ebffffffff,1.0,0.0,0.0
84a81edffffffff,7.0,0.0,0.0
84a8403ffffffff,1.0,0.0,0.0
84a840dffffffff,99.0,0.0,0.0
84a8411ffffffff,16.0,0.0,0.0
84a8413ffffffff,11.0,0.0,0.0
84a8415ffffffff,1.0,0.0,0.0
84a8441ffffffff,5.0,0.0,0.0
84a8447ffffffff,1.0,0.0,0.0
84a844dffffffff,10.0,3.0,0.0
84a845bffffffff,29.0,0.0,0.0
84a8461ffffffff,4.0,0.0,0.0
84a8463ffffffff,24.0,0.0,0.0
84a8465ffffffff,2.0,0.0,0.0
84a8495ffffffff,2.0,0.0,0.0
84a84a5ffffffff,3.0,0.0,0.0
84a84b5ffffffff,2.0,0.0,0.0
84a84b9ffffffff,1.0,0.0,0.0
84a84d9ffffffff,3.0,0.0,0.0
84a84e7ffffffff,1.0,0.0,0.0
84a8559ffffffff,5.0,0.0,0.0
84a855dffffffff,9.0,0.0,0.0
84a8591ffffffff,198.0,6.0,0.0
84a8599ffffffff,273.0,17.0,0.0
84a859bffffffff,5.0,0.0,0.0
84a85b3ffffffff,8.0,0.0,0.0
84a85b9ffffffff,2.0,0.0,0.0
84a85d3ffffffff,42.0,0.0,0.0
84a8605ffffffff,31.0,0.0,0.0
84a8607ffffffff,2.0,0.0,0.0
84a860dffffffff,28.0,0.0,0.0
84a8633ffffffff,2.0,0.0,0.0
84a8639ffffffff,10.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8647ffffffff,3.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a866bffffffff,7.0,0.0,0.0
84a8697ffffffff,2.0,0.0,0.0
84a86b9ffffffff,1.0,0.0,0.0
84a86bdffffffff,2.0,0.0,0.0
84a871bffffffff,2.0,0.0,0.0
84a8721ffffffff,1.0,0.0,0.0
84a8731ffffffff,2.0,0.0,0.0
84a8737ffffffff,2.0,2.0,0.0
84a8805ffffffff,69.0,1.0,0.0
84a8807ffffffff,37.0,0.0,0.0
84a8809ffffffff,2.0,0.0,0.0
84a880dffffffff,31.0,0.0,0.0
84a8811ffffffff,77.0,3.0,0.0
84a8815ffffffff,1.0,0.0,0.0
84a8817ffffffff,6.0,0.0,0.0
84a8819ffffffff,5.0,0.0,0.0
84a881bffffffff,64.0,0.0,0.0
84a8825ffffffff,1.0,0.0,0.0
84a8829ffffffff,4.0,0.0,0.0
84a882bffffffff,3.0,0.0,0.0
84a882dffffffff,55.0,0.0,0.0
84a8831ffffffff,8.0,0.0,0.0
84a8835ffffffff,2.0,0.0,0.0
84a883bffffffff,8.0,0.0,0.0
84a883dffffffff,1.0,0.0,0.0
84a8841ffffffff,2.0,0.0,0.0
84a8845ffffffff,2.0,0.0,0.0
84a8847ffffffff,2.0,0.0,0.0
84a8849ffffffff,274.0,6.0,0.0
84a884bffffffff,30.0,2.0,0.0
84a884dffffffff,17.0,0.0,0.0
84a8853ffffffff,11.0,0.0,0.0
84a8857ffffffff,10.0,0.0,0.0
84a8859ffffffff,2.0,0.0,0.0
84a885bffffffff,9.0,0.0,0.0
84a885dffffffff,1.0,0.0,0.0
84a8863ffffffff,59.0,2.0,0.0
84a8865ffffffff,1.0,0.0,0.0
84a8867ffffffff,33.0,0.0,0.0
84a886bffffffff,6.0,0.0,0.0
84a886dffffffff,9.0,0.0,0.0
84a8887ffffffff,4.0,0.0,0.0
84a8889ffffffff,5.0,0.0,0.0
84a88a1ffffffff,2.0,0.0,0.0
84a88a9ffffffff,16.0,0.0,0.0
84a88b1ffffffff,4.0,0.0,0.0
84a88b5ffffffff,5.0,0.0,0.0
84a88bbffffffff,6.0,0.0,0.0
84a88bdffffffff,3.0,0.0,0.0
84a88c3ffffffff,13.0,0.0,0.0
84a88c5ffffffff,2.0,0.0,0.0
84a88c9ffffffff,4.0,0.0,0.0
84a88cdffffffff,7.0,1.0,0.0
84a88d5ffffffff,1.0,0.0,0.0
84a88ddffffffff,182.0,8.0,0.0
84a88e3ffffffff,1.0,0.0,0.0
84a88e7ffffffff,2.0,0.0,0.0
84a88e9ffffffff,115.0,12.0,0.0
84a88ebffffffff,71.0,0.0,0.0
84a8911ffffffff,2.0,0.0,0.0
84a8917ffffffff,4.0,0.0,0.0
84a8919ffffffff,12.0,2.0,0.0
84a891bffffffff,11.0,0.0,0.0
84a8953ffffffff,7.0,0.0,0.0
84a8993ffffffff,2.0,0.0,0.0
84a89adffffffff,2.0,0.0,0.0
84a89b3ffffffff,12.0,0.0,0.0
84a89ddffffffff,2.0,0.0,0.0
84a89e1ffffffff,1.0,0.0,0.0
84a8a03ffffffff,13.0,0.0,0.0
84a8a07ffffffff,24.0,0.0,0.0
84a8a11ffffffff,22.0,0.0,0.0
84a8a13ffffffff,97.0,6.0,0.0
84a8a15ffffffff,62.0,2.0,0.0
84a8a17ffffffff,56.0,2.0,0.0
84a8a1bffffffff,1.0,0.0,0.0
84a8a1dffffffff,7.0,0.0,0.0
84a8a21ffffffff,29.0,0.0,0.0
84a8a23ffffffff,93.0,8.0,0.0
84a8a25ffffffff,2.0,0.0,0.0
84a8a27ffffffff,21.0,1.0,0.0
84a8a2bffffffff,24.0,0.0,0.0
84a8a31ffffffff,26.0,0.0,0.0
84a8a33ffffffff,13.0,0.0,0.0
84a8a35ffffffff,35.0,0.0,0.0
84a8a37ffffffff,1.0,0.0,0.0
84a8a39ffffffff,15.0,0.0,0.0
84a8a3bffffffff,10.0,0.0,0.0
84a8a3dffffffff,31.0,0.0,0.0
84a8a53ffffffff,2.0,0.0,0.0
84a8a85ffffffff,8.0,0.0,0.0
84a8a8bffffffff,1.0,0.0,0.0
84a8a8dffffffff,2.0,0.0,0.0
84a8a91ffffffff,57.0,8.0,0.0
84a8a93ffffffff,14.0,0.0,0.0
84a8a95ffffffff,1.0,1.0,0.0
84a8a97ffffffff,68.0,5.0,0.0
84a8a99ffffffff,3.0,0.0,0.0
84a8aa1ffffffff,2.0,0.0,0.0
84a8aa3ffffffff,1.0,0.0,0.0
84a8aa5ffffffff,6.0,2.0,0.0
84a8aa7ffffffff,13.0,0.0,0.0
84a8aabffffffff,2.0,0.0,0.0
84a8aadffffffff,52.0,0.0,0.0
84a8ab1ffffffff,5.0,0.0,0.0
84a8ab9ffffffff,14.0,0.0,0.0
84a8abdffffffff,2.0,0.0,0.0
84a8ac1ffffffff,5.0,0.0,0.0
84a8ac5ffffffff,34.0,0.0,0.0
84a8ac9ffffffff,3.0,0.0,0.0
84a8acbffffffff,35.0,2.0,0.0
84a8acdffffffff,14.0,1.0,0.0
84a8ad1ffffffff,5.0,0.0,0.0
84a8ad3ffffffff,4.0,0.0,0.0
84a8ad5ffffffff,3.0,0.0,0.0
84a8adbffffffff,4.0,0.0,0.0
84a8addffffffff,6.0,0.0,0.0
84a8ae1ffffffff,14.0,0.0,0.0
84a8ae3ffffffff,20.0,0.0,0.0
84a8ae5ffffffff,80.0,0.0,0.0
84a8ae7ffffffff,9.0,0.0,0.0
84a8aebffffffff,6.0,0.0,0.0
84a8aedffffffff,1.0,0.0,0.0
84a8b11ffffffff,4.0,0.0,0.0
84a8b13ffffffff,5.0,0.0,0.0
84a8b17ffffffff,7.0,0.0,0.0
84a8b1bffffffff,6.0,0.0,0.0
84a8c23ffffffff,7.0,0.0,0.0
84a8c25ffffffff,4.0,4.0,0.0
84a8d05ffffffff,8.0,0.0,0.0
84a8d11ffffffff,19.0,1.0,0.0
84a8d19ffffffff,146.0,1.0,0.0
84a8d1bffffffff,93.0,0.0,0.0
84a8d1dffffffff,2.0,0.0,0.0
84a8d35ffffffff,87.0,0.0,0.0
84a8d37ffffffff,3.0,0.0,0.0
84a8d43ffffffff,27.0,0.0,0.0
84a8d4bffffffff,7.0,0.0,0.0
84a8d53ffffffff,18.0,0.0,0.0
84a8d5bffffffff,2.0,1.0,0.0
84a8d5dffffffff,1.0,0.0,0.0
84a8d69ffffffff,4.0,0.0,0.0
84a8da5ffffffff,6.0,0.0,0.0
84a8de1ffffffff,19.0,2.0,0.0
84a8de7ffffffff,1.0,0.0,0.0
84a8de9ffffffff,17.0,0.0,0.0
84a8e6bffffffff,2.0,0.0,0.0
84a8ecbffffffff,1.0,0.0,0.0
84a8f09ffffffff,1.0,0.0,0.0
84a8f2bffffffff,2.0,0.0,0.0
84a8f41ffffffff,9.0,0.0,0.0
84a8f43ffffffff,6.0,0.0,0.0
84a8f45ffffffff,7.0,0.0,0.0
84a8f4dffffffff,1.0,0.0,0.0
84a8f63ffffffff,2.0,0.0,0.0
84a9483ffffffff,2.0,0.0,0.0
84a94b5ffffffff,6.0,0.0,0.0
84a94e5ffffffff,5.0,0.0,0.0
84a94e7ffffffff,40.0,0.0,0.0
84a9595ffffffff,2.0,0.0,0.0
84a9599ffffffff,8.0,0.0,0.0
84a959bffffffff,1.0,0.0,0.0
84a95dbffffffff,6.0,0.0,0.0
84b262bffffffff,2.0,0.0,0.0
84b262dffffffff,4.0,0.0,0.0
84b2655ffffffff,3.0,0.0,0.0
84b2709ffffffff,16.0,0.0,0.0
84b270bffffffff,1.0,0.0,0.0
84b2743ffffffff,6.0,0.0,0.0
84b2745ffffffff,2.0,0.0,0.0
84b274bffffffff,21.0,0.0,0.0
84b275bffffffff,22.0,0.0,0.0
84b275dffffffff,20.0,0.0,0.0
84b3405ffffffff,4.0,0.0,0.0
84b3407ffffffff,2.0,0.0,0.0
84b3409ffffffff,2.0,0.0,0.0
84b340dffffffff,22.0,0.0,0.0
84b3421ffffffff,102.0,0.0,0.0
84b3423ffffffff,69.0,0.0,0.0
84b3425ffffffff,8.0,0.0,0.0
84b3427ffffffff,36.0,0.0,0.0
84b3429ffffffff,57.0,0.0,0.0
84b342bffffffff,34.0,0.0,0.0
84b3435ffffffff,3.0,0.0,0.0
84b3437ffffffff,4.0,0.0,0.0
84b3439ffffffff,13.0,0.0,0.0
84b343dffffffff,2.0,0.0,0.0
84b3441ffffffff,14.0,0.0,0.0
84b3445ffffffff,4.0,0.0,0.0
84b3447ffffffff,6.0,0.0,0.0
84b3457ffffffff,2.0,0.0,0.0
84b3463ffffffff,3.0,0.0,0.0
84b3467ffffffff,3.0,0.0,0.0
84b3511ffffffff,8.0,0.0,0.0
84b3513ffffffff,151.0,0.0,0.0
84b351bffffffff,24.0,0.0,0.0
84b3585ffffffff,5.0,0.0,0.0
84b3589ffffffff,94.0,0.0,0.0
84b358dffffffff,11.0,0.0,0.0
84b35a1ffffffff,2.0,0.0,0.0
84b35abffffffff,10.0,0.0,0.0
84b35b9ffffffff,3.0,0.0,0.0
84b35c1ffffffff,9.0,0.0,0.0
84b35c3ffffffff,26.0,0.0,0.0
84b35c5ffffffff,165.0,0.0,0.0
84b35c7ffffffff,50.0,0.0,0.0
84b35c9ffffffff,118.0,0.0,0.0
84b35cdffffffff,107.0,0.0,0.0
84b35d5ffffffff,16.0,0.0,0.0
84b35d9ffffffff,1.0,0.0,0.0
84b35ddffffffff,1.0,0.0,0.0
84b35e1ffffffff,60.0,0.0,0.0
84b35e3ffffffff,30.0,0.0,0.0
84b35e9ffffffff,213.0,0.0,0.0
84b35ebffffffff,62.0,0.0,0.0
84b35edffffffff,6.0,0.0,0.0
84b3627ffffffff,1.0,0.0,0.0
84b3629ffffffff,2.0,0.0,0.0
84b362dffffffff,2.0,0.0,0.0
84b3635ffffffff,2.0,0.0,0.0
84b3637ffffffff,2.0,0.0,0.0
84b3661ffffffff,4.0,0.0,0.0
84b3665ffffffff,1.0,0.0,0.0
84b3667ffffffff,3.0,0.0,0.0
84b366dffffffff,61.0,0.0,0.0
84b3699ffffffff,2.0,0.0,0.0
84b36d5ffffffff,1.0,0.0,0.0
84b36d7ffffffff,4.0,0.0,0.0
