cell_id,Picumnus squamulatus,Picumnus squamulatus [squamulatus Group],Picumnus squamulatus obsoletus
8466c21ffffffff,143.0,0.0,0.0
8466c25ffffffff,2.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c29ffffffff,105.0,0.0,0.0
8466c2dffffffff,119.0,0.0,0.0
8466c4bffffffff,11.0,0.0,0.0
8466c5dffffffff,2.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466d1bffffffff,5.0,0.0,0.0
8466e03ffffffff,57.0,0.0,0.0
8466e09ffffffff,1.0,0.0,0.0
8466e0bffffffff,476.0,0.0,0.0
8466e11ffffffff,89.0,0.0,0.0
8466e13ffffffff,2.0,0.0,0.0
8466e15ffffffff,209.0,0.0,0.0
8466e17ffffffff,14.0,0.0,0.0
8466e19ffffffff,8.0,0.0,0.0
8466e1dffffffff,175.0,0.0,0.0
8466e31ffffffff,2.0,0.0,0.0
8466e37ffffffff,2.0,0.0,0.0
8466e39ffffffff,62.0,0.0,0.0
8466e3bffffffff,48.0,0.0,0.0
8466e51ffffffff,64.0,0.0,0.0
8466e53ffffffff,88.0,0.0,0.0
8466e55ffffffff,27.0,0.0,0.0
8466e57ffffffff,2051.0,0.0,0.0
8466e59ffffffff,419.0,0.0,0.0
8466e5bffffffff,55.0,0.0,0.0
8466e5dffffffff,20.0,0.0,0.0
8466ec5ffffffff,2.0,0.0,0.0
8466ecbffffffff,3.0,0.0,0.0
8466ee5ffffffff,157.0,0.0,0.0
8466ee7ffffffff,6.0,0.0,0.0
8466eedffffffff,4.0,0.0,0.0
8467413ffffffff,951.0,3.0,0.0
8467417ffffffff,21.0,0.0,0.0
8467423ffffffff,2.0,0.0,0.0
8467425ffffffff,81.0,3.0,0.0
8467427ffffffff,2.0,0.0,0.0
8467429ffffffff,2.0,0.0,0.0
846742bffffffff,2.0,0.0,0.0
846742dffffffff,2.0,0.0,0.0
8467431ffffffff,1.0,0.0,0.0
8467433ffffffff,51.0,0.0,0.0
8467435ffffffff,2.0,0.0,0.0
8467437ffffffff,99.0,2.0,0.0
846743bffffffff,77.0,0.0,0.0
846743dffffffff,42.0,0.0,0.0
8467481ffffffff,1.0,0.0,0.0
84674a1ffffffff,4.0,0.0,0.0
84674a7ffffffff,33.0,5.0,0.0
84674c1ffffffff,11.0,0.0,0.0
84674c5ffffffff,662.0,42.0,0.0
84674c7ffffffff,13.0,0.0,0.0
84674c9ffffffff,10.0,0.0,0.0
84674cbffffffff,11.0,0.0,0.0
84674cdffffffff,63.0,3.0,0.0
84674d9ffffffff,2.0,0.0,0.0
84674e1ffffffff,69.0,0.0,0.0
84674e5ffffffff,7.0,0.0,0.0
84674e9ffffffff,201.0,0.0,0.0
84674ebffffffff,21.0,0.0,0.0
84674edffffffff,49.0,1.0,0.0
8467519ffffffff,33.0,0.0,0.0
8467525ffffffff,2.0,0.0,0.0
8467531ffffffff,11.0,0.0,0.0
8467537ffffffff,14.0,0.0,0.0
8467585ffffffff,2.0,0.0,0.0
846758dffffffff,4.0,0.0,0.0
8467599ffffffff,18.0,2.0,0.0
84675a1ffffffff,2.0,0.0,0.0
84675a5ffffffff,45.0,2.0,0.0
84675a9ffffffff,30.0,0.0,0.0
84675abffffffff,19.0,0.0,0.0
84675adffffffff,4.0,0.0,0.0
84675b1ffffffff,5.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0
84675b5ffffffff,1.0,0.0,0.0
84675b7ffffffff,1.0,0.0,0.0
84675c1ffffffff,13.0,0.0,0.0
84675c3ffffffff,1.0,0.0,0.0
84675c5ffffffff,1.0,0.0,0.0
84675c7ffffffff,31.0,0.0,0.0
84675c9ffffffff,2.0,0.0,0.0
84675cbffffffff,124.0,0.0,0.0
84675d5ffffffff,2.0,0.0,0.0
84675d9ffffffff,4.0,0.0,0.0
84675ddffffffff,8.0,0.0,0.0
84675e3ffffffff,15.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0
84675ebffffffff,16.0,0.0,0.0
84676b7ffffffff,2.0,0.0,0.0
