cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
845d12bffffffff,122.0,0.0,39.0,0.0
845d13dffffffff,2.0,0.0,0.0,0.0
8461421ffffffff,2.0,0.0,0.0,0.0
846142bffffffff,2.0,0.0,0.0,0.0
8466827ffffffff,3.0,0.0,0.0,0.0
8466965ffffffff,1.0,0.0,0.0,0.0
8466993ffffffff,1.0,0.0,0.0,0.0
8466999ffffffff,4.0,0.0,0.0,0.0
84669d7ffffffff,4.0,0.0,0.0,0.0
846c619ffffffff,238.0,0.0,0.0,0.0
846c651ffffffff,2.0,0.0,0.0,0.0
846c653ffffffff,10.0,0.0,0.0,0.0
846c657ffffffff,24.0,0.0,0.0,0.0
846c659ffffffff,1.0,0.0,0.0,0.0
846c65bffffffff,1.0,0.0,0.0,0.0
846d497ffffffff,3.0,0.0,0.0,0.0
846d4bbffffffff,2.0,0.0,0.0,0.0
846e9d9ffffffff,1.0,0.0,1.0,0.0
8470657ffffffff,37.0,0.0,0.0,0.0
84706d7ffffffff,1.0,0.0,0.0,0.0
84724d9ffffffff,1.0,0.0,0.0,0.0
84726edffffffff,1.0,0.0,0.0,0.0
8472cb9ffffffff,2.0,0.0,0.0,0.0
8473195ffffffff,11.0,0.0,0.0,0.0
84731b1ffffffff,784.0,0.0,0.0,0.0
84731b9ffffffff,335.0,0.0,0.0,0.0
84731bbffffffff,5.0,0.0,0.0,0.0
84731bdffffffff,264.0,0.0,0.0,0.0
8473563ffffffff,5.0,0.0,0.0,0.0
8473a83ffffffff,6.0,0.0,0.0,0.0
8473a93ffffffff,2.0,0.0,0.0,0.0
8473ab5ffffffff,2.0,0.0,0.0,0.0
8476b45ffffffff,2.0,0.0,0.0,0.0
8476b51ffffffff,1.0,0.0,0.0,0.0
8476b59ffffffff,1.0,0.0,0.0,0.0
847709bffffffff,4.0,0.0,0.0,0.0
8477155ffffffff,1.0,0.0,0.0,0.0
8477157ffffffff,2.0,0.0,0.0,0.0
8477311ffffffff,1.0,0.0,0.0,0.0
8477315ffffffff,10.0,0.0,0.0,0.0
8477727ffffffff,4.0,0.0,0.0,0.0
8477a81ffffffff,1.0,0.0,0.0,0.0
8478983ffffffff,4.0,0.0,0.0,2.0
847b269ffffffff,1.0,0.0,0.0,0.0
847b2c1ffffffff,2.0,0.0,0.0,0.0
847b32dffffffff,2.0,0.0,0.0,0.0
8480b45ffffffff,80.0,0.0,0.0,0.0
84845c1ffffffff,1.0,0.0,0.0,0.0
8485a07ffffffff,31.0,0.0,0.0,0.0
8485a0dffffffff,4.0,0.0,0.0,0.0
8485a23ffffffff,14.0,0.0,0.0,0.0
8485a29ffffffff,1.0,0.0,0.0,0.0
8485a2bffffffff,62.0,0.0,0.0,0.0
8485a3dffffffff,22.0,0.0,0.0,0.0
8485b0dffffffff,1.0,0.0,0.0,0.0
8488185ffffffff,2.0,0.0,0.0,0.0
8488369ffffffff,1.0,0.0,0.0,0.0
8488ca3ffffffff,1.0,0.0,0.0,0.0
8489049ffffffff,18.0,0.0,2.0,0.0
848912dffffffff,4.0,0.0,0.0,0.0
84891bbffffffff,3.0,0.0,0.0,0.0
8489225ffffffff,9.0,0.0,0.0,0.0
8489227ffffffff,77.0,0.0,5.0,0.0
8489309ffffffff,21.0,0.0,2.0,0.0
848930dffffffff,2.0,0.0,0.0,0.0
8489319ffffffff,3.0,0.0,0.0,0.0
8489321ffffffff,4.0,0.0,0.0,0.0
8489325ffffffff,10.0,0.0,0.0,0.0
8489341ffffffff,7.0,0.0,0.0,0.0
8489343ffffffff,150.0,0.0,21.0,0.0
8489347ffffffff,1.0,0.0,0.0,0.0
848934bffffffff,3.0,0.0,0.0,0.0
848935dffffffff,1.0,0.0,1.0,0.0
8489b69ffffffff,2.0,0.0,0.0,0.0
848c453ffffffff,47.0,0.0,0.0,0.0
848c45bffffffff,89.0,0.0,2.0,0.0
848c6adffffffff,156.0,0.0,9.0,0.0
849800dffffffff,1.0,0.0,0.0,0.0
84980a9ffffffff,10.0,4.0,0.0,0.0
8498e59ffffffff,3.0,0.0,0.0,0.0
8499a41ffffffff,6.0,3.0,0.0,0.0
8499a49ffffffff,3.0,1.0,0.0,0.0
8499a53ffffffff,1.0,0.0,0.0,0.0
849a021ffffffff,1.0,0.0,0.0,0.0
849a02dffffffff,9.0,0.0,0.0,0.0
849a141ffffffff,27.0,0.0,0.0,0.0
849a151ffffffff,22.0,0.0,0.0,0.0
849a15dffffffff,1.0,0.0,0.0,0.0
849b0a5ffffffff,2.0,0.0,0.0,0.0
849b0a7ffffffff,1.0,0.0,0.0,0.0
849b0cdffffffff,1.0,0.0,0.0,0.0
849b0e7ffffffff,5.0,0.0,2.0,0.0
849b19bffffffff,5.0,0.0,0.0,0.0
849b459ffffffff,2.0,0.0,0.0,0.0
849b6b7ffffffff,4.0,0.0,0.0,0.0
849b713ffffffff,1.0,0.0,0.0,0.0
849b897ffffffff,5.0,0.0,0.0,0.0
849bacbffffffff,2.0,0.0,0.0,0.0
849e087ffffffff,2.0,0.0,2.0,0.0
849e281ffffffff,1.0,0.0,1.0,0.0
849f44dffffffff,1.0,0.0,1.0,0.0
849f551ffffffff,13.0,0.0,0.0,0.0
849f557ffffffff,4.0,0.0,0.0,0.0
849f55dffffffff,8.0,0.0,0.0,0.0
849f621ffffffff,2.0,0.0,0.0,0.0
84a0231ffffffff,2.0,0.0,0.0,0.0
84a0239ffffffff,5.0,0.0,0.0,0.0
84a0259ffffffff,2.0,0.0,0.0,0.0
84a0485ffffffff,2.0,0.0,0.0,0.0
84a0491ffffffff,3.0,0.0,0.0,0.0
84a0493ffffffff,2.0,0.0,0.0,0.0
84a0495ffffffff,20.0,0.0,0.0,0.0
84a0497ffffffff,2.0,0.0,0.0,0.0
84a04b9ffffffff,1.0,0.0,0.0,0.0
84a04c3ffffffff,4.0,0.0,0.0,0.0
84a04c7ffffffff,8.0,0.0,0.0,0.0
84a04ddffffffff,1.0,0.0,0.0,0.0
84a04e1ffffffff,2.0,0.0,0.0,0.0
84a04e9ffffffff,12.0,0.0,0.0,0.0
84a04ebffffffff,4.0,0.0,0.0,0.0
84a0513ffffffff,1.0,0.0,1.0,0.0
84a06b5ffffffff,2.0,0.0,0.0,0.0
84a0c37ffffffff,2.0,0.0,0.0,2.0
84a0cdbffffffff,1.0,0.0,0.0,0.0
84a0d89ffffffff,1.0,0.0,0.0,0.0
84a0d91ffffffff,9.0,0.0,0.0,2.0
84a0d93ffffffff,8.0,0.0,0.0,4.0
84a0d95ffffffff,3.0,0.0,0.0,0.0
84a0dc3ffffffff,12.0,0.0,0.0,5.0
84a0dc9ffffffff,8.0,0.0,0.0,6.0
84a0dd9ffffffff,1.0,0.0,0.0,0.0
84a0dddffffffff,2.0,0.0,0.0,0.0
84a0ea7ffffffff,1.0,0.0,0.0,0.0
84a0eb5ffffffff,2.0,0.0,0.0,0.0
84a1123ffffffff,8.0,0.0,4.0,0.0
84a113dffffffff,2.0,0.0,2.0,0.0
84a1161ffffffff,7.0,0.0,1.0,0.0
84a1165ffffffff,2.0,0.0,2.0,0.0
84a1191ffffffff,2.0,0.0,0.0,0.0
84a1193ffffffff,2.0,0.0,0.0,0.0
84a11bbffffffff,2.0,0.0,0.0,0.0
84a16c9ffffffff,5.0,0.0,0.0,0.0
84a1a41ffffffff,10.0,0.0,7.0,0.0
84a1a4bffffffff,2.0,0.0,0.0,0.0
84a1a4dffffffff,2.0,0.0,0.0,0.0
84a3669ffffffff,8.0,0.0,0.0,0.0
84ab141ffffffff,2.0,0.0,0.0,0.0
84b0283ffffffff,2.0,0.0,0.0,0.0
84b14adffffffff,3.0,0.0,0.0,0.0
84b15d3ffffffff,2.0,0.0,2.0,0.0
84b4aa3ffffffff,2.0,0.0,0.0,0.0
84b4b39ffffffff,3.0,0.0,0.0,0.0
84b4c05ffffffff,5.0,0.0,0.0,0.0
84b4c59ffffffff,59.0,0.0,0.0,0.0
84b4c5bffffffff,1.0,0.0,0.0,0.0
84b4ce9ffffffff,8.0,0.0,0.0,0.0
84b4d37ffffffff,1.0,0.0,0.0,0.0
84b4e27ffffffff,4.0,0.0,0.0,0.0
84b4ee7ffffffff,2.0,0.0,0.0,0.0
84ba615ffffffff,1.0,0.0,0.0,0.0
84ba68bffffffff,1.0,0.0,1.0,0.0
84ba691ffffffff,4.0,0.0,2.0,0.0
84ba697ffffffff,4.0,0.0,1.0,0.0
84ba69dffffffff,570.0,0.0,16.0,0.0
84ba6d7ffffffff,3.0,0.0,2.0,0.0
84be0c7ffffffff,2.0,0.0,0.0,0.0
84be0e3ffffffff,6.0,0.0,0.0,0.0
84be889ffffffff,1.0,0.0,0.0,0.0
84bea05ffffffff,1.0,0.0,0.0,0.0
84bea9dffffffff,1.0,0.0,0.0,0.0
84beab7ffffffff,1.0,0.0,1.0,0.0
84bf86dffffffff,1.0,0.0,0.0,0.0
84bf8b9ffffffff,188.0,0.0,3.0,0.0
