cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
8348ccfffffffff,259.0,0.0,85.0,0.0
8348cdfffffffff,778.0,0.0,131.0,0.0
8348cefffffffff,83.0,0.0,23.0,0.0
8348d0fffffffff,7.0,0.0,3.0,0.0
8348d1fffffffff,213.0,0.0,48.0,0.0
8348d3fffffffff,1.0,0.0,0.0,0.0
8348d4fffffffff,331.0,0.0,73.0,0.0
8348d5fffffffff,46.0,0.0,11.0,0.0
8348d8fffffffff,16535.0,0.0,1484.0,0.0
8348d9fffffffff,23.0,0.0,9.0,0.0
8348dafffffffff,168.0,0.0,11.0,0.0
8348dbfffffffff,324.0,0.0,7.0,0.0
8348dcfffffffff,557.0,0.0,94.0,0.0
8348ddfffffffff,119.0,0.0,17.0,0.0
8348defffffffff,178.0,0.0,2.0,0.0
8348e0fffffffff,23.0,0.0,0.0,2.0
8348e1fffffffff,27.0,0.0,0.0,0.0
8348e2fffffffff,25.0,0.0,0.0,10.0
8348e3fffffffff,422.0,0.0,81.0,2.0
8348e4fffffffff,84.0,0.0,0.0,44.0
8348e5fffffffff,1.0,0.0,0.0,0.0
8348e6fffffffff,74.0,0.0,0.0,25.0
8348e8fffffffff,2621.0,0.0,552.0,0.0
8348eafffffffff,170.0,0.0,56.0,0.0
8348ebfffffffff,615.0,0.0,64.0,0.0
8348ecfffffffff,1065.0,0.0,291.0,0.0
8348edfffffffff,1.0,0.0,0.0,0.0
8348eefffffffff,9572.0,0.0,1965.0,0.0
8348f2fffffffff,3508.0,0.0,600.0,0.0
8348f3fffffffff,3.0,0.0,0.0,0.0
8348f5fffffffff,4.0,0.0,0.0,0.0
8348f6fffffffff,19.0,0.0,4.0,0.0
834980fffffffff,816.0,0.0,0.0,130.0
834981fffffffff,11.0,0.0,0.0,0.0
834982fffffffff,277.0,0.0,0.0,76.0
834983fffffffff,355.0,0.0,0.0,72.0
834985fffffffff,96.0,0.0,0.0,26.0
834986fffffffff,451.0,0.0,0.0,117.0
834988fffffffff,185.0,0.0,0.0,7.0
834989fffffffff,8.0,0.0,0.0,3.0
83498cfffffffff,34.0,0.0,0.0,0.0
83498efffffffff,191.0,0.0,0.0,7.0
834990fffffffff,132.0,0.0,0.0,39.0
834991fffffffff,51.0,0.0,0.0,6.0
834994fffffffff,530.0,0.0,0.0,18.0
834995fffffffff,9144.0,0.0,0.0,3203.0
834996fffffffff,506.0,0.0,0.0,141.0
83499bfffffffff,1.0,0.0,0.0,0.0
83499cfffffffff,27.0,0.0,0.0,2.0
83499dfffffffff,45.0,0.0,0.0,2.0
8349a8fffffffff,219.0,0.0,0.0,40.0
8349a9fffffffff,4.0,0.0,0.0,0.0
8349aafffffffff,548.0,0.0,0.0,108.0
8349abfffffffff,176.0,0.0,0.0,38.0
8349aefffffffff,1.0,0.0,0.0,0.0
8349b0fffffffff,6.0,0.0,0.0,5.0
8349b1fffffffff,10.0,0.0,0.0,2.0
8349b2fffffffff,181.0,0.0,0.0,125.0
8349b3fffffffff,420.0,0.0,0.0,203.0
836d20fffffffff,1.0,0.0,0.0,0.0
836d21fffffffff,74.0,0.0,0.0,33.0
836d23fffffffff,872.0,0.0,0.0,349.0
836d28fffffffff,1390.0,0.0,0.0,338.0
836d29fffffffff,1324.0,0.0,0.0,403.0
836d2afffffffff,11.0,0.0,0.0,7.0
836d2bfffffffff,170.0,0.0,0.0,18.0
836d2efffffffff,40.0,0.0,0.0,16.0
836d30fffffffff,240.0,0.0,0.0,80.0
836d32fffffffff,1835.0,0.0,0.0,757.0
836d33fffffffff,254.0,0.0,0.0,130.0
836d36fffffffff,22.0,0.0,0.0,0.0
