cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
848f5ddffffffff,15.0,0.0,0.0
848f705ffffffff,98.0,0.0,0.0
848f70dffffffff,4.0,0.0,0.0
848f721ffffffff,46.0,1.0,0.0
848f727ffffffff,17.0,0.0,0.0
848f729ffffffff,28.0,0.0,0.0
848f72bffffffff,4.0,0.0,0.0
848f733ffffffff,378.0,11.0,0.0
848f737ffffffff,5.0,0.0,0.0
848f745ffffffff,6.0,0.0,0.0
848f761ffffffff,1.0,0.0,0.0
848f763ffffffff,18.0,0.0,0.0
848f765ffffffff,15.0,3.0,0.0
848f767ffffffff,9.0,0.0,0.0
848f769ffffffff,1.0,0.0,0.0
848f76bffffffff,62.0,0.0,0.0
848f76dffffffff,6.0,0.0,0.0
84b3219ffffffff,2.0,0.0,0.0
84b324bffffffff,3.0,0.0,0.0
84b3253ffffffff,45.0,0.0,9.0
