cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
848f51dffffffff,25.0,0.0,0.0
848f53bffffffff,5.0,0.0,0.0
848f543ffffffff,2.0,0.0,0.0
848f557ffffffff,3.0,0.0,0.0
848f559ffffffff,4.0,0.0,0.0
848f55bffffffff,2.0,0.0,0.0
848f56dffffffff,3.0,0.0,0.0
848f581ffffffff,9.0,0.0,0.0
848f583ffffffff,13.0,0.0,0.0
848f589ffffffff,8.0,0.0,0.0
848f58bffffffff,1.0,0.0,0.0
848f58dffffffff,79.0,0.0,0.0
848f595ffffffff,1.0,0.0,0.0
848f597ffffffff,11.0,0.0,0.0
848f59dffffffff,5.0,0.0,0.0
848f5a3ffffffff,6.0,0.0,0.0
848f5a9ffffffff,3.0,0.0,0.0
848f5b7ffffffff,92.0,0.0,0.0
848f5b9ffffffff,36.0,0.0,0.0
848f5e5ffffffff,3.0,0.0,0.0
848f5e7ffffffff,36.0,0.0,0.0
848f5edffffffff,10.0,0.0,0.0
848f761ffffffff,7.0,0.0,0.0
848f76dffffffff,402.0,14.0,16.0
84b2259ffffffff,2.0,0.0,0.0
84b2289ffffffff,1.0,0.0,0.0
84b228bffffffff,18.0,0.0,0.0
84b229dffffffff,2.0,0.0,0.0
84b22b5ffffffff,17.0,0.0,0.0
84b22b7ffffffff,4.0,0.0,0.0
84b22d9ffffffff,4.0,0.0,0.0
84b2749ffffffff,133.0,0.0,0.0
84b3001ffffffff,24.0,0.0,0.0
84b3009ffffffff,80.0,0.0,0.0
84b301bffffffff,4.0,0.0,0.0
84b3047ffffffff,192.0,0.0,0.0
84b3053ffffffff,6.0,0.0,0.0
84b3059ffffffff,336.0,0.0,0.0
84b305dffffffff,81.0,0.0,0.0
84b3081ffffffff,30.0,0.0,0.0
84b3083ffffffff,12.0,0.0,0.0
84b3087ffffffff,2.0,0.0,0.0
84b308bffffffff,8.0,0.0,0.0
84b309dffffffff,2.0,0.0,0.0
84b30a1ffffffff,7.0,0.0,0.0
84b30a7ffffffff,41.0,0.0,0.0
84b30adffffffff,4.0,0.0,0.0
84b30b3ffffffff,5.0,0.0,0.0
84b30b5ffffffff,44.0,0.0,0.0
84b30bbffffffff,137.0,0.0,0.0
84b30bdffffffff,44.0,0.0,0.0
84b30c5ffffffff,21.0,0.0,0.0
84b30d7ffffffff,7.0,0.0,0.0
84b30ebffffffff,4.0,0.0,0.0
84b30edffffffff,1.0,0.0,0.0
84b31dbffffffff,38.0,0.0,0.0
84b3201ffffffff,7.0,0.0,0.0
84b3203ffffffff,49.0,0.0,0.0
84b3205ffffffff,1.0,0.0,0.0
84b3209ffffffff,23.0,0.0,0.0
84b320bffffffff,127.0,0.0,0.0
84b320dffffffff,85.0,0.0,0.0
84b3219ffffffff,7.0,0.0,0.0
84b321dffffffff,74.0,0.0,0.0
84b3225ffffffff,2.0,0.0,0.0
84b322dffffffff,3.0,0.0,0.0
84b3237ffffffff,4.0,0.0,0.0
84b3241ffffffff,2.0,0.0,0.0
84b3245ffffffff,2.0,0.0,0.0
84b3247ffffffff,16.0,0.0,0.0
84b324dffffffff,1.0,0.0,0.0
84b3255ffffffff,2.0,0.0,0.0
84b3257ffffffff,49.0,0.0,0.0
84b3261ffffffff,215.0,0.0,0.0
84b3263ffffffff,6.0,0.0,0.0
84b3265ffffffff,2.0,0.0,0.0
84b3269ffffffff,7.0,0.0,0.0
84b326bffffffff,8.0,0.0,0.0
84b326dffffffff,16.0,0.0,0.0
84b3289ffffffff,28.0,0.0,0.0
84b32a5ffffffff,57.0,0.0,0.0
84b32c1ffffffff,4.0,0.0,0.0
84b32c5ffffffff,5.0,0.0,0.0
84b32c7ffffffff,28.0,0.0,0.0
84b32d9ffffffff,7.0,0.0,0.0
84b32edffffffff,4.0,0.0,0.0
84b3301ffffffff,10.0,0.0,0.0
84b3303ffffffff,181.0,0.0,0.0
84b3305ffffffff,4.0,0.0,0.0
84b3313ffffffff,100.0,0.0,0.0
84b3317ffffffff,3.0,0.0,0.0
84b3341ffffffff,10.0,0.0,0.0
84b334bffffffff,11.0,0.0,0.0
84b334dffffffff,4.0,0.0,0.0
84b3351ffffffff,4.0,0.0,0.0
84b3355ffffffff,1.0,0.0,0.0
84b3357ffffffff,3.0,0.0,0.0
84b3359ffffffff,20.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
84b3363ffffffff,30.0,0.0,0.0
84b3367ffffffff,7.0,0.0,0.0
84b3511ffffffff,22.0,0.0,0.0
84b3515ffffffff,52.0,0.0,0.0
84b3519ffffffff,82.0,0.0,0.0
84b352dffffffff,23.0,0.0,0.0
84b3531ffffffff,2.0,0.0,0.0
84b3541ffffffff,7.0,0.0,0.0
84b3543ffffffff,7.0,0.0,0.0
84b3545ffffffff,41.0,0.0,0.0
84b3549ffffffff,2.0,0.0,0.0
84b354bffffffff,203.0,0.0,0.0
84b3555ffffffff,3.0,0.0,0.0
84b355bffffffff,10.0,0.0,0.0
84b355dffffffff,290.0,0.0,0.0
84b3561ffffffff,1.0,0.0,0.0
84b3563ffffffff,2.0,0.0,0.0
84b356bffffffff,1.0,0.0,0.0
84b35adffffffff,3.0,0.0,0.0
84b3731ffffffff,1.0,0.0,0.0
84b3769ffffffff,2.0,0.0,0.0
