cell_id,Schiffornis turdina,Schiffornis turdina amazonum,Schiffornis turdina [turdina Group]
848a489ffffffff,3.0,0.0,0.0
848a5a1ffffffff,2.0,0.0,0.0
848a699ffffffff,4.0,0.0,0.0
848a6d3ffffffff,3.0,0.0,0.0
848a6d7ffffffff,5.0,0.0,0.0
848a6d9ffffffff,14.0,0.0,0.0
848a6dbffffffff,16.0,0.0,0.0
848a809ffffffff,13.0,3.0,1.0
848a81bffffffff,15.0,1.0,0.0
848a827ffffffff,2.0,0.0,0.0
848a833ffffffff,1.0,0.0,0.0
848a925ffffffff,2.0,0.0,2.0
848a927ffffffff,3.0,0.0,0.0
848a92dffffffff,1.0,0.0,0.0
848a9cdffffffff,3.0,0.0,0.0
848a9d5ffffffff,1.0,1.0,0.0
848aa51ffffffff,1.0,0.0,0.0
848aa8bffffffff,7.0,0.0,0.0
848aa9dffffffff,8.0,0.0,0.0
848aaa3ffffffff,18.0,0.0,0.0
848aaa5ffffffff,5.0,1.0,0.0
848aaadffffffff,13.0,0.0,0.0
848aab9ffffffff,4.0,0.0,0.0
848aacbffffffff,6.0,0.0,0.0
848aad5ffffffff,2.0,0.0,0.0
848aaddffffffff,8.0,0.0,0.0
848ab21ffffffff,1.0,0.0,1.0
848ae21ffffffff,1.0,0.0,0.0
848af09ffffffff,5.0,2.0,0.0
848af29ffffffff,10.0,2.0,0.0
848af41ffffffff,23.0,21.0,0.0
848af47ffffffff,2.0,0.0,0.0
848af4dffffffff,2.0,2.0,0.0
848af63ffffffff,3.0,0.0,0.0
848af67ffffffff,1.0,0.0,0.0
848b1a5ffffffff,3.0,0.0,0.0
848b1b5ffffffff,1.0,0.0,0.0
848b1dbffffffff,6.0,0.0,0.0
848b211ffffffff,1.0,0.0,0.0
848b213ffffffff,7.0,0.0,1.0
848b229ffffffff,4.0,0.0,4.0
848b22bffffffff,2.0,0.0,0.0
848b239ffffffff,1.0,0.0,1.0
848b23bffffffff,3.0,0.0,0.0
848b23dffffffff,2.0,0.0,0.0
848b2c5ffffffff,2.0,0.0,0.0
848b2c7ffffffff,6.0,0.0,0.0
848b401ffffffff,2.0,0.0,0.0
848b40dffffffff,11.0,1.0,0.0
848b445ffffffff,4.0,0.0,0.0
848b447ffffffff,1.0,0.0,0.0
848b449ffffffff,4.0,0.0,0.0
848b44bffffffff,15.0,1.0,0.0
848b44dffffffff,15.0,0.0,0.0
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,21.0,6.0,0.0
848b493ffffffff,1.0,1.0,0.0
848b527ffffffff,2.0,0.0,0.0
848b53dffffffff,1.0,0.0,0.0
848b567ffffffff,4.0,0.0,0.0
848b617ffffffff,7.0,0.0,0.0
848b633ffffffff,2.0,0.0,0.0
848b637ffffffff,36.0,7.0,0.0
848b639ffffffff,3.0,0.0,0.0
848b6c1ffffffff,2.0,0.0,0.0
848b6e7ffffffff,10.0,0.0,0.0
848b6edffffffff,12.0,0.0,0.0
848b709ffffffff,51.0,0.0,1.0
848b713ffffffff,24.0,1.0,0.0
848b717ffffffff,1.0,0.0,0.0
848b71bffffffff,13.0,0.0,0.0
848b745ffffffff,1.0,0.0,0.0
848b759ffffffff,4.0,0.0,0.0
848b75dffffffff,3.0,0.0,0.0
848b821ffffffff,2.0,0.0,0.0
848b82bffffffff,2.0,0.0,0.0
848b835ffffffff,1.0,0.0,0.0
848b849ffffffff,18.0,3.0,0.0
848b881ffffffff,12.0,4.0,0.0
848b8a1ffffffff,1.0,0.0,0.0
848b8d5ffffffff,1.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0
848b98bffffffff,10.0,2.0,0.0
848b999ffffffff,19.0,0.0,5.0
848b99dffffffff,41.0,1.0,0.0
848b9d1ffffffff,3.0,0.0,0.0
848b9d5ffffffff,412.0,92.0,0.0
848b9d7ffffffff,4.0,0.0,0.0
848b9ddffffffff,1.0,0.0,0.0
848bad5ffffffff,2.0,0.0,0.0
848e643ffffffff,2.0,0.0,0.0
848f461ffffffff,2.0,2.0,0.0
848f46bffffffff,2.0,0.0,0.0
848f489ffffffff,19.0,4.0,0.0
848f619ffffffff,23.0,0.0,0.0
848f655ffffffff,33.0,0.0,0.0
848f657ffffffff,51.0,0.0,0.0
848f6b5ffffffff,4.0,0.0,0.0
848f6ebffffffff,2.0,2.0,0.0
848f71dffffffff,2.0,0.0,0.0
848f733ffffffff,1.0,0.0,0.0
84a5967ffffffff,2.0,0.0,0.0
84a5969ffffffff,255.0,0.0,90.0
84a596dffffffff,4.0,0.0,0.0
84a85b9ffffffff,3.0,0.0,0.0
84a883bffffffff,8.0,0.0,5.0
84a884bffffffff,2.0,0.0,2.0
84a8917ffffffff,175.0,0.0,60.0
84a89e5ffffffff,1.0,0.0,0.0
84a8a13ffffffff,2.0,0.0,2.0
84a8a21ffffffff,15.0,0.0,5.0
84a8a23ffffffff,10.0,0.0,4.0
84a8a27ffffffff,51.0,0.0,21.0
84a8a3dffffffff,25.0,0.0,12.0
84a8b13ffffffff,2.0,0.0,2.0
84a8b1bffffffff,8.0,0.0,2.0
84a8c97ffffffff,16.0,0.0,0.0
84b324bffffffff,10.0,0.0,0.0
