cell_id,Ficedula superciliaris,Ficedula superciliaris superciliaris,Ficedula superciliaris aestigma
843d14bffffffff,1.0,0.0,0.0
843d151ffffffff,103.0,0.0,0.0
843d153ffffffff,1.0,0.0,0.0
843d155ffffffff,21.0,0.0,0.0
843d157ffffffff,40.0,0.0,0.0
843d159ffffffff,7.0,0.0,0.0
843d15dffffffff,47.0,0.0,0.0
843d1a9ffffffff,97.0,0.0,0.0
843d1adffffffff,2.0,0.0,0.0
843d1e5ffffffff,24.0,0.0,0.0
843d1e7ffffffff,415.0,0.0,0.0
843d1e9ffffffff,3.0,0.0,0.0
843d1edffffffff,360.0,0.0,0.0
843d301ffffffff,5.0,0.0,0.0
843d303ffffffff,8.0,0.0,0.0
843d307ffffffff,25.0,0.0,0.0
843d30bffffffff,3.0,0.0,0.0
843d31dffffffff,28.0,0.0,0.0
843d333ffffffff,30.0,0.0,0.0
843d335ffffffff,3.0,0.0,0.0
843d337ffffffff,5.0,0.0,0.0
843d33dffffffff,26.0,0.0,0.0
843d341ffffffff,9.0,0.0,0.0
843d343ffffffff,3.0,0.0,0.0
843d345ffffffff,3.0,0.0,0.0
843d349ffffffff,1.0,0.0,0.0
843d34bffffffff,23.0,0.0,0.0
843d34dffffffff,1.0,0.0,0.0
843d355ffffffff,2.0,0.0,0.0
843d35dffffffff,88.0,0.0,0.0
843d363ffffffff,6.0,0.0,0.0
843d907ffffffff,3.0,0.0,0.0
843d915ffffffff,5.0,0.0,0.0
843d929ffffffff,9.0,0.0,0.0
843d93bffffffff,4.0,0.0,0.0
843d967ffffffff,7.0,0.0,0.0
843d983ffffffff,6.0,0.0,0.0
843d987ffffffff,14.0,0.0,0.0
843d98dffffffff,3.0,0.0,0.0
843d993ffffffff,9.0,0.0,0.0
843d997ffffffff,1.0,0.0,0.0
843d9a7ffffffff,29.0,0.0,0.0
843d9b7ffffffff,131.0,0.0,0.0
843d9b9ffffffff,23.0,0.0,0.0
843d9bbffffffff,5.0,0.0,0.0
843d9d1ffffffff,6.0,0.0,0.0
843d9d3ffffffff,8.0,0.0,0.0
843d9d5ffffffff,3.0,0.0,0.0
843d9dbffffffff,4.0,0.0,0.0
843d9e5ffffffff,91.0,0.0,0.0
843d9e7ffffffff,12.0,0.0,0.0
843d9edffffffff,14.0,0.0,0.0
843da21ffffffff,2.0,0.0,0.0
843da37ffffffff,15.0,0.0,0.0
843da99ffffffff,1.0,0.0,0.0
843dad1ffffffff,1246.0,0.0,0.0
843dad3ffffffff,9.0,0.0,0.0
843dad7ffffffff,1.0,0.0,0.0
843dad9ffffffff,159.0,0.0,0.0
843dadbffffffff,42.0,0.0,0.0
843daddffffffff,57.0,0.0,0.0
843db13ffffffff,2.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0
843db35ffffffff,7.0,0.0,0.0
843db37ffffffff,3.0,0.0,0.0
8440439ffffffff,2.0,0.0,0.0
8440447ffffffff,9.0,0.0,0.0
84404c5ffffffff,1.0,0.0,0.0
84404e7ffffffff,1.0,0.0,0.0
84405c9ffffffff,2.0,0.0,0.0
8440e13ffffffff,9.0,0.0,0.0
8442c27ffffffff,11.0,0.0,0.0
8442ca7ffffffff,6.0,0.0,0.0
8442cc7ffffffff,18.0,0.0,0.0
8442cd1ffffffff,8.0,0.0,0.0
8442ce9ffffffff,2.0,0.0,0.0
8442cebffffffff,3.0,0.0,0.0
8442d93ffffffff,1.0,0.0,0.0
8442d9bffffffff,2.0,0.0,0.0
8442db5ffffffff,2.0,0.0,0.0
8442db7ffffffff,28.0,0.0,0.0
8442dbbffffffff,8.0,0.0,0.0
8442dcdffffffff,1.0,0.0,0.0
8442e97ffffffff,10.0,0.0,0.0
8442eb1ffffffff,2.0,0.0,0.0
8442eb7ffffffff,1.0,0.0,0.0
8442ebbffffffff,5.0,0.0,0.0
8460145ffffffff,8.0,0.0,0.0
846014dffffffff,14.0,0.0,0.0
8460169ffffffff,152.0,0.0,0.0
8460885ffffffff,31.0,0.0,0.0
8460887ffffffff,5.0,0.0,0.0
846088dffffffff,73.0,0.0,0.0
84608a1ffffffff,2.0,0.0,0.0
84608b5ffffffff,93.0,0.0,0.0
84608b9ffffffff,2.0,0.0,0.0
84608bdffffffff,19.0,0.0,0.0
8460901ffffffff,11.0,0.0,0.0
8460911ffffffff,3.0,0.0,0.0
8460913ffffffff,4.0,0.0,0.0
8460915ffffffff,6.0,0.0,0.0
8460925ffffffff,115.0,0.0,0.0
8460927ffffffff,54.0,0.0,0.0
8460931ffffffff,13.0,0.0,0.0
8460939ffffffff,9.0,0.0,0.0
846093bffffffff,12.0,0.0,0.0
846093dffffffff,2.0,0.0,0.0
846094bffffffff,2.0,0.0,0.0
846094dffffffff,10.0,0.0,0.0
8460961ffffffff,53.0,0.0,0.0
8460965ffffffff,117.0,0.0,0.0
8460969ffffffff,2.0,0.0,0.0
84609a9ffffffff,2.0,0.0,0.0
84609b5ffffffff,2.0,0.0,0.0
84609b7ffffffff,12.0,0.0,0.0
84609c7ffffffff,7.0,0.0,0.0
84609dbffffffff,6.0,0.0,0.0
84609e1ffffffff,6.0,0.0,0.0
84609e3ffffffff,4.0,0.0,0.0
84609e9ffffffff,2.0,0.0,0.0
84609ebffffffff,4.0,0.0,0.0
8460a25ffffffff,8.0,0.0,0.0
8460a27ffffffff,38.0,0.0,0.0
8460a61ffffffff,7.0,0.0,0.0
8460b17ffffffff,10.0,0.0,0.0
8460b19ffffffff,10.0,0.0,0.0
8460b27ffffffff,2.0,0.0,0.0
8460b61ffffffff,1.0,0.0,0.0
8460b6dffffffff,2.0,0.0,0.0
8461893ffffffff,9.0,0.0,0.0
846480dffffffff,25.0,0.0,0.0
8464825ffffffff,1.0,0.0,0.0
846482bffffffff,11.0,0.0,0.0
846482dffffffff,3.0,0.0,0.0
8464903ffffffff,2.0,0.0,0.0
8464911ffffffff,354.0,0.0,0.0
8464983ffffffff,2.0,0.0,0.0
